item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
AFODMREA0101,"FOOD RATION, MRS, individual",0,0,0,0,0,yes
APACBAGP100,"BAG, PE plastic, for garbage, 100L, black, 0.07mm",38,4.5,4.5,0.7695,0.058,yes
APACBOXS322,"CARTON BOX 290x250x200mm double corrugation, heavy duty",0,0,0,4,0.45,yes
APACBOXS432,"CARTON BOX 490x340x290mm double corrugation, heavy duty",0,0,0,6,0.98,yes
APACBOXS534,"CARTON BOX 580x380x370mm double corrugation, heavy duty",0,0,0,10,1.53,yes
APACCONT20,"CONTAINER 20ft, ISO 1CC size 6x2.4x2.6m, last trip",0,0,0,37500,2000,yes
APACCONT40,"CONTAINER 40ft, ISO 1AA size 12x2.4x2.6m, last trip",0,0,0,75000,4000,yes
APACFILMDISP,"DISPENSOR, for pallet stretch film rolls, 0.6m, 1 handle",0,0,0,30,1.5,yes
APACFILMPP06,"STRETCH FILM for pallets, white, 25 microns, 0.50x250m",0,0,0,5,2.1,yes
APACSECSADAL,"SECURITY SEALS, adhesive, large, for aircraft doors/hatches",0,0,0,0,0,yes
APACSECSADAS,"SECURITY SEALS, adhesive, small, for suitcases, boxes",13,10.5,13,1.7745,0.6,yes
APACSTRA12R,"STRAP, for boxes, plastic, red colour, 12mmx200m roll",0,0,0,0,0,yes
APACSTRAE12,"STRAPPING MACHINE, table top, electric seal., 9 to 12mm",0,0,0,1120,100,yes
APACSTRAH12,"STRAPPING MACHINE, portable, electric seal., 9 to 12mm",0,0,0,12,5,yes
APACTAPE50BR,"TAPE ADHESIVE, brown, 50mmx60m for packing",0,0,0,0.9,0.4,yes
APACTAPE50DI,"TAPE ADHESIVE, diplomatical, yellow, 50mmx66m, for packing",0,0,0,0.9,0.4,yes
APACTAPE50F,"TAPE ADHESIVE, with red line, for FD, 50mmx66m, pack.",0,0,0,0.9,0.4,yes
APACTAPE50IF,"TAPE ADHESIVE, IFRC logo, 50mmx100m",0,0,0,1,0.6,yes
APACTAPE50RS,"TAPE ADHESIVE, canvas reinforced, 50mmx50m roll, silver",15.2,5.2,15.2,1.2014,0.86,yes
APACTAPEDISP,"TAPE DISPENSOR for 50mm adh. tape, handheld, metal body",0,0,0,3,0.44,yes
APACTRNEHE01,"TRANSPORT NET, helicopter load carrier with accessories",0,0,0,0,0,yes
APACTRUN100,"TRUNK, metal, 80x45x35, lock bar, 2 handles",77,34,46,120.428,8.5,yes
APACWBOX01,"WOODEN BOX, 0.8x1.2x1.2m, pallet base, plywood 6mm",0,0,0,200,33,yes
APACWPAL01,"WOODEN PALLET, 0.8x1.2x0.1m, ISO type, treated",0,0,0,145,20,yes
APERFILTCC10,"WATER FILTER, drip ceramic cartridge, household, 10L",0,0,0,0,0,yes
APERFILTKAP1,"FILTER KATADYN, for outdoor, pocket type",26,8,18,3.744,1,yes
APERFILTKAPC,(filter Katadyn pocket) CARTRIDGE for pocket filter,18.5,8,8,1.184,0.32,yes
APROBOOTR44,"BOOTS, heavy duty plastic rubber, pair, size 44",0,0,0,0,0,yes
APROEARP9,"EAR NOISE PROTECTION, headphone type",0,0,0,2,0.1,yes
APROEARPBAND,"EAR NOISE PROTECTION, banded, 2 plugs head holder, re-usable",19,12,17,4.1,0.42,yes
APROEARPYEFO,"EAR NOISE PROTECTION, plug, yellow foam, pair",0,0,0,1,0.05,yes
APROGLASCLEA,"GLASSES, clear rigid plastic, eyes front + sides protection",0,0,0,1,0.05,yes
APROGLOVHD11,"GLOVE, protection, heavy duty soft leather, size 11, pair",29,3,16,1.392,0.2,yes
APROGLOVRU10,"GLOVE, chemical protection, heavy duty rubber, size 10",39.5,3.5,18,2.4885,0.18,yes
APROGOOGPL,"GOOGLES, plastic, with rubber string, eyes protection",22,5.5,10,1.21,0.04,yes
APROHELM7,"HELMET, builder, plastic, white, size 51-62",0,0,0,8,0.5,yes
APROHELMH62,"HELMET, with ear protect., builder, plast, white, size 51-62",0,0,0,8,0.5,yes
APROJACELVAC,"LIFE VEST, for aircraft passengers, adult/child combination",0,0,0,0,0,yes
APROJACEVLL,"JACKET, sleeveless, high visibility, light type, large",40,1,24,0.96,0.15,yes
APROJACEVWL,"JACKET, high visibility, airport tarmac, winter type, large",65,10,40,26,1.3,yes
APROMASKDGD,"MASK, vapor and dust protection, FPP2 disposable half mask",0,0,0,0,0,yes
APROOVERDIS2,"OVERALL, disposable, white, non woven fireproof, size XXL",36,4,25,3.6,0.2,yes
APROVBOASR14,"SAFETY RAFT, for 14 persons, incl. Survival kits",0,0,0,0,0,yes
ASECBINO2050,"BINOCULARS, 20x50mm, with protective carrying bag",0,0,0,0,0,yes
ASECLOCAAIRT,"LOCATOR, aircraft automatic portable emergency transmitter",0,0,0,0,0,yes
ASECWISO,"WIND SOCK, for wind speed and direction, air-ops",23.5,6,22,3.102,0.54,yes
ASTAPENSMMBK,"MARKER PEN, permanent, medium size, black",14,1.7,1.7,0.0405,0.0137,yes
CCABCOAX8DFB50,"CABLE coaxial, roll 50m, low loss 8D-FB, 50ohms, diam 11.1mm",36,9,36,11.664,8.3,yes
CCABCOAXRG21310,"CABLE coaxial, roll of 100m RG213/U - 50 ohms, diam. 10.3mm",45,25,45,50.625,18.6,yes
CCABCOAXRG58100,"CABLE coaxial, roll of 100m, RG58C/U - 50 ohms, diam. 5mm",26.5,7,26.5,4.9158,3.9,yes
CCABWIREFUS32A,CODAN fuse 32A,0.38,0.16,0.3,0.000018,0.017,yes
CCABWIREFUSHOL,CODAN fuse holder bulkhead including fuse 32A,1.9,0.8,1.5,0.00228,0.113,yes
CCNTBNC-MALCRP,CONNECTOR BNC straight male to crimp f. RG58 cable - 50 ohms,0.38,0.2,0.3,0.03,0.012,yes
CCNTBNC-MALSOL,CONNECTOR BNC straight male to solder for RG58 - 50 ohms,0.2,0.1,0.15,0.03,0.017,yes
CCNTBNC-UHFADA,ADAPTER BNC female / UHF female,0.38,0.2,0.3,0.03,0.022,yes
CCNTFCNCRG6CRP,CONNECTOR F straight male compres. crimp RG6 cable - 75ohms,0,0,0,0.01,0.008,yes
CCNTNNNN8DFB,CONNECTOR N straight male to solder for cable 8D-FB,0.38,0.18,0.34,0.05,0.064,yes
CCNTNNNNFEMCRP,CONNECTOR N str. fem. bulkhead to crimp RG58 cable - 50 ohms,0,0,0,0.06,0.043,yes
CCNTNNNNMALCRP,CONNECTOR N straight male to crimp for cable RG58 - 50 ohms,0,0,0,0.05,0.028,yes
CCNTNNNNMALSOL,CONNECTOR N straight male to solder for cable RG58 - 50 ohms,0.2,0.17,0.15,0.05,0.038,yes
CCNTSPECCRIMP,CABLE crimping tool for coaxial plug's for RG58 & RG213,30,3,12,1.08,0.55,yes
CCNTSPECRG58RE,CONNECTOR reduction RG58 for UHF connector RG213 -rda 07/03,0.2,0.15,0.08,0.04,0.012,yes
CCNTUHF-8DFB,CONNECTOR UHF straight male to solder for 8D-FB cable,0.2,0.1,0.15,0.04,0.02,yes
CCNTUHF-BNCADA,ADAPTER UHF male / BNC female,0.38,0.18,0.34,0.04,0.024,yes
CCNTUHF-F-FADA,ADAPTER UHF female / UHF female,0.38,0.18,0.34,0.04,0.021,yes
CCNTUHF-MALSOL,CONNECTOR UHF straight male to solder for RG 213 cable,0.2,0.17,0.15,0.04,0.026,yes
CCNTUHF-NADA,ADAPTER UHF male / N female,0.2,0.17,0.15,0.04,0.043,yes
