"Organisation","Acronym","Office","Code","Catalog","Asset No","Type","Category","Name","Location","Assigned To","Brand","Model","SN","Supplier","Date","Price","Comments"
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Other","Tent",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Air Compressor",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Computer (Laptops, Monitors, Cables, PC's)",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,1,"Equipment & Tools","Helicopter",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,1,"Equipment & Tools","Helicopter",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Medical supplies","Wheelchair",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Megaphone/Loudspeaker",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Megaphone/Loudspeaker",,,,,,,,,
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Megaphone/Loudspeaker",,,,,,,,,
