"Name","Organisation","Type","Country","Building","Address","Postcode","L1","L2","L3","Lat","Lon","Comments"
"Hutseo 2","Timor-Leste Red Cross Society",,"TL",,,,"Ainaro","Hatu-Udo","Leolima",-9.15373,125.57941,
"Raisoro","Timor-Leste Red Cross Society",,"TL",,,,"Ainaro","Hatu-Udo","Leolima",-9.13087,125.59697,
"Wedauberek","Timor-Leste Red Cross Society",,"TL",,,,"Manufahi","Alas","Mahaquidan",-9.12083,125.85278,
"Lihina","Timor-Leste Red Cross Society",,"TL",,,,"Lautém","Lautém","Iliomar II",-8.73097,126.82159,
"Iratoi","Timor-Leste Red Cross Society",,"TL",,,,"Lautém","Iliomar","Iliomar I",-8.71508,126.89125,
"Bemetan","Timor-Leste Red Cross Society",,"TL",,,,"Manufahi","Same","Betano",-9.15638,125.72526,
"Waicadi","Timor-Leste Red Cross Society",,"TL",,,,"Manatuto","Barique/Natarbora","Aubeon",-8.99122,126.06047,
"Wemaubodak","Timor-Leste Red Cross Society",,"TL",,,,"Manatuto","Barique/Natarbora","Uma Boco",-8.98091,126.05217,
"Comaoli","Timor-Leste Red Cross Society",,"TL",,,,"Viqueque","Uatucarbau","Uani Uma",-8.75537,126.67828,
"Maluro","Timor-Leste Red Cross Society",,"TL",,,,"Viqueque","Viqueque","Watu Dere",-8.94672,126.45034,
"Beaco","Timor-Leste Red Cross Society",,"TL",,,,"Viqueque","Viqueque","Watu Dere",-8.94502,126.44842,
"Aimerliu","Timor-Leste Red Cross Society",,"TL",,,,"Ainaro","Hatu-Udo","Leolima",-9.1349,125.57328,
"Raisoro","Timor-Leste Red Cross Society",,"TL",,,,"Ainaro","Hatu-Udo","Leolima",-9.13087,125.59697,
"Wedauberek","Timor-Leste Red Cross Society",,"TL",,,,"Manufahi","Alas","Mahaquidan",-9.12083,125.85278,
"Besusu","Timor-Leste Red Cross Society",,"TL",,,,"Manufahi","Alas","Uma Berloic",-9.11389,125.89583,
"Lori","Timor-Leste Red Cross Society",,"TL",,,,"Lautém","Lospalos","Lore I",-8.66152,127.02607,
"Vailana","Timor-Leste Red Cross Society",,"TL",,,,"Lautém","Lospalos","Lore I",-8.64702,127.02092,
"Dambohum","Timor-Leste Red Cross Society",,"TL",,,,"Manatuto","Barique/Natarbora","Manehat",-8.91402,125.96817,
"Wemaubodak","Timor-Leste Red Cross Society",,"TL",,,,"Manatuto","Barique/Natarbora","Uma Boco",-8.98091,126.05217,
"Bibiluto","Timor-Leste Red Cross Society",,"TL",,,,"Viqueque","Viqueque","Maluru",-8.92667,126.3996,
"Raitahu","Timor-Leste Red Cross Society",,"TL",,,,"Viqueque","Viqueque","Maluru",-8.92354,126.4014,
