"Name","Description","URL","Layers","Folder","Config","Enabled","Visible","Base","Transparent","Opacity","Format","Queryable","LegendURL","Tiled","Map"
"Maastokarttarasteri 1:50 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","maastokartta_50k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Maastokarttarasteri 1:250 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","maastokartta_250k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Maastokarttarasteri 1:500 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","maastokartta_500k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Ortokuva (väri/mustavalko)","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","ortokuva",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Ortokuva (vääräväri)","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","ortokuva_vaaravari",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Peruskarttarasteri","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","peruskartta",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Taustakarttarasteri 1:5 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","taustakartta_5k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Taustakarttarasteri 1:10 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","taustakartta_10k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Taustakarttarasteri 1:160 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","taustakartta_160k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Vinovalovarjoste 1:5 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","vino_5k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Vinovalovarjoste 1:40 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","vino_40k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Vinovalovarjoste 1:80 000","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","vino_80k",,"FI","True","False","True","False",,"image/jpeg","False",,,
"Yleiskarttarasteri 1:1 milj","Finnish RC","http://rmsgeo.aidiq.com/proxy/service?","yleiskartta_1m",,"FI","True","False","True","False",,"image/jpeg","False",,,
