Country,L1,L2
GN,Boké,Boffa
GN,Boké,Fria
GN,Boké,Gaoual
GN,Boké,Koundara
GN,Conakry,Conakry
GN,Faranah,Dabola
GN,Faranah,Dinguiraye
GN,Faranah,Faranah
GN,Faranah,Kissidougou
GN,Kankan,Kankan
GN,Kankan,Kérouané
GN,Kankan,Kouroussa
GN,Kankan,Mandiana
GN,Kankan,Siguiri
GN,Kindia,Coyah
GN,Kindia,Dubréka
GN,Kindia,Kindia
GN,Kindia,Télimélé
GN,Labé,Koubia
GN,Labé,Labé
GN,Labé,Lélouma
GN,Labé,Mali
GN,Labé,Tougué
GN,Mamou,Dalaba
GN,Mamou,Mamou
GN,Mamou,Pita
GN,Nzérékoré,Beyla
GN,Nzérékoré,Guéckédou
GN,Nzérékoré,Lola
GN,Nzérékoré,Macenta
GN,Nzérékoré,Nzérékoré
GN,Nzérékoré,Yomou
