Name,Profile,Comments
Owner,Informal Settlement,
Tenant,Informal Settlement,
Sub-Tenant,Informal Settlement,
Relative of Owner,Informal Settlement,
Friend of Owner,Informal Settlement,
Relative of Tenant,Informal Settlement,
Friend of Tenant,Informal Settlement,
Relative of Sub-Tenant,Informal Settlement,
Friend of Sub-Tenant,Informal Settlement,
Ownership,Local Government,
Leasehold,Local Government,
Communal,Local Government,
Adverse Possession,Rural Agriculture,
Communal Ownership,Rural Agriculture,
Family Ownership,Rural Agriculture,
Private Ownership,Rural Agriculture,
Tenancy,Rural Agriculture,
