"uid","role"," description","controller","function","table","uacl","oacl","entity","Notes"
"AUTHENTICATED","Authenticated",,"org",,,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis",,,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_arcrest",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_bing",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_coordinate",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_empty",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_feature",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_geojson",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_georss",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_google",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_gpx",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_kml",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_openstretmap",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_theme",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_tms",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_wfs",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_wms",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"gis","layer_xyz",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"pr","pentity",,"READ",,"any",
"AUTHENTICATED","Authenticated",,"pr","person_search",,"READ",,"any","Custom Controller to allow access to PR via JSON for AutoComplete"
"AUTHENTICATED","Authenticated",,"hms",,,"READ",,"any",
"AUTHENTICATED","Authenticated",,"supply",,,"READ",,"any",
"data_entry","Data Entry",,"hms",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"hrm","certificate",,"READ","READ","any",
"data_entry","Data Entry",,"hrm","course",,"READ","READ","any",
"data_entry","Data Entry",,"hrm","human_resource",,"READ",,"any",
"data_entry","Data Entry",,"hrm","job_role",,"READ","READ","any",
"data_entry","Data Entry",,"inv",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"inv","warehouse",,"READ",,"any",
"data_entry","Data Entry",,"org",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"pr",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"req",,,"READ|CREATE","READ|CREATE|UPDATE",,
"data_entry","Data Entry",,"supply",,,"READ|CREATE","READ|CREATE|UPDATE",,
"editor","Data Editor",,"hms",,,"READ|CREATE|UPDATE","READ|CREATE|UPDATE",,
"editor","Data Editor",,"hrm",,,"READ|CREATE|UPDATE","READ|CREATE|UPDATE",,
"editor","Data Editor",,"hrm","certificate",,"READ","READ","any",
"editor","Data Editor",,"hrm","course",,"READ","READ","any",
"editor","Data Editor",,"hrm","human_resource",,"READ",,"any",
"editor","Data Editor",,"hrm","job_role",,"READ","READ","any",
"editor","Data Editor",,"inv",,,"READ|CREATE|UPDATE",,,
"editor","Data Editor",,"inv","warehouse",,"READ|UPDATE",,,
"editor","Data Editor",,"org",,,"READ|UPDATE",,,
"editor","Data Editor",,"pr",,,"READ|CREATE|UPDATE",,,
"editor","Data Editor",,"supply",,,"READ|CREATE|UPDATE",,,
"super","Super Editor",,"hms",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","certificate",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","course",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","human_resource",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"hrm","job_role",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"inv",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"inv","warehouse",,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"org",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"pr",,,"READ|CREATE|UPDATE|DELETE",,,
"super","Super Editor",,"supply",,,"READ|CREATE|UPDATE|DELETE",,,
