item_category_id,name,unit,comments
1,Footwear (Children),piece,
2,Generators,piece,
2,Water Filtration Plants,kit,
2,Dewatering Pumps,kit,
3,Dried Milk,kg,
3,High Nutrition Biscuits,kg,
3,Dates,kg,
3,Food Packets,kit,
3,Tea,kg,
3,Sugar,kg,
3,Vegetable Oil,l,
3,Pulse,,
3,Spices,,
4,Prickly Heat Powder,,
4,Medicine,,
4,Medical Equipment,,
4,ORS,,
4,Mosquito Repellents,,
4,Anti-Rash Cream,,
5,Soap,,
5,Hand Towels,,
5,Tooth Paste,,
5,Female Sanitary Pads,,
5,Diapers,,
5,Clothes Washing Soap,,
5,Hygiene Kit,kit,
6,Water Coolers,piece,
6,Cooking Utensils,kit,
6,Mosquito Nets,piece,
6,Blankets,piece,
6,Bedspreads,piece,
6,Floor Mattress,piece,
6,Candles,pack10,
6,Match Box,pack10,
6,Flashlights,pack10,
6,Batteries,pack10,
7,Tents,piece,
7,Tarpaulin,m3,
8,Boats,piece,
9,Mineral water,l,
9,Water Purification Tablets,kit,
