Catalog,Category Code,Category,Item Name,Unit of Measure,Pack,Pack Quantity,Pack2,Pack2 Quantity,Pack3,Pack3 Quantity,Distributed,Comments
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Childrens Clothing,ea,,,,,,,T,priority
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Furniture,ea,,,,,,,T,
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Household appliance,ea,,,,,,,T,
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Linens,ea,,,,,,,T,priority
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Mens Clothing,ea,,,,,,,T,priority
Standard,CLOTHING,"Appliances, Clothing, and Furniture",Womens Clothing,ea,,,,,,,T,priority
Standard,MATERIALS,Building Materials,Asphalt,cy,,,,,,,T,
Standard,MATERIALS,Building Materials,Blinds,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Cabinet,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Carpeting,sy,,,,,,,T,
Standard,MATERIALS,Building Materials,Concrete,cy,,,,,,,T,
Standard,MATERIALS,Building Materials,Counter Top,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Door,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Drywall,sf,,,,,,,T,
Standard,MATERIALS,Building Materials,Ducting,lf,,,,,,,T,
Standard,MATERIALS,Building Materials,Electrical Materials,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Faucet,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Fencing,lf,,,,,,,T,
Standard,MATERIALS,Building Materials,Grips & Handles,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,HVAC Tools,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Levels,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Loader,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Lumber,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Manholes,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Paint,gal,,,,,,,T,
Standard,MATERIALS,Building Materials,PayLoader,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Pipe,lf,,,,,,,T,
Standard,MATERIALS,Building Materials,Pipe Accessories,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Pipe Repair Kits,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Polymer/Setting Aid,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Roofing Materials,sq,,,,,,,T,
Standard,MATERIALS,Building Materials,Sand,cy,,,,,,,T,
Standard,MATERIALS,Building Materials,Sand Bags,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Screens,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Sink,ea,,,,,,,T,
