Organisation,Acronym,Type,Country,Website,Twitter,Domain
Ministry of Health,MoH,Government,SL,,,
UK Department for International Development,DfID,Bilateral,GB,,,
International Medical Corps,IMC,NGO,,,,
King's Health Partners,,NGO,GB,,,
Medecins Sans Frontieres,MSF,NGO,,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,Red Cross / Red Crescent,,www.ifrc.org,Federation,ifrc.org
Sierra Leone Red Cross Society,,Red Cross / Red Crescent,SL,,,
United Nations Children’s Fund,UNICEF,UN agency,,www.unicef.org,,
World Food Programme,WFP,UN agency,,www.wfp.org,,
World Health Organisation,WHO,UN agency,,www.who.int,,
