Abrv,Name,SubsectorOf
Animal Protection,Animal Protection,
Child Protection,Child Protection,
Coordination,Coordination,
Early Recovery,Early Recovery,
Education,Education,
Emergency Employment Creation ,Emergency Employment Creation ,
Food Security,Food Security,
Health,Health,
Hygiene,Hygiene,
INA,Information and Needs Assessment,
Protection,Protection,
Psycho Social Support,Psycho Social Support,
SAR,Search & Rescue,
Shelter and NFI,Shelter and Non-food Items,
WASH,"Water, Sanitation, and Hygiene",
Protection/GBV,Protection Gender-based Violence,
Unknown,Unknown,
