Country,L1,Demographic,Date,Value,Source,Source URL
LR,Bomi,Annual GrowthRate (%),2008,0.9,Open Data for Africa,opendataforafrica.org
LR,Bomi,Average Household Size,2008,3.4,Open Data for Africa,opendataforafrica.org
LR,Bomi,Population Density,2008,109,Open Data for Africa,opendataforafrica.org
LR,Bomi,Population Total,2008,84119,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 0-4 years - Female",2008,7490,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 0-4 years - Male",2008,7759,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 0-4 years - Total",2008,15249,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 10-14 years - Female",2008,4048,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 10-14 years - Male",2008,4769,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 10-14 years - Total",2008,8817,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 15-19 years - Female",2008,3474,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 15-19 years - Male",2008,3575,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 15-19 years - Total",2008,7049,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 20-24 years - Female",2008,4156,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 20-24 years - Male",2008,3275,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 20-24 years - Total",2008,7431,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 25-29 years - Female",2008,3421,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 25-29 years - Male",2008,3460,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 25-29 years - Total",2008,6881,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 30-34 years - Female",2008,2444,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 30-34 years - Male",2008,2561,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 30-34 years - Total",2008,5005,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 35-39 years - Female",2008,2416,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 35-39 years - Male",2008,2536,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 35-39 years - Total",2008,4952,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 40-44 years - Female",2008,1677,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 40-44 years - Male",2008,2058,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 40-44 years - Total",2008,3735,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 45-49 years - Female",2008,1395,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 45-49 years - Male",2008,1610,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 45-49 years - Total",2008,3005,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 5-9 years - Female",2008,6324,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 5-9 years - Male",2008,6605,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 5-9 years - Total",2008,12929,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 50-54 years - Female",2008,1004,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 50-54 years - Male",2008,1158,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 50-54 years - Total",2008,2162,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 55-59 years - Female",2008,665,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 55-59 years - Male",2008,872,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 55-59 years - Total",2008,1537,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 60-64 years - Female",2008,889,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 60-64 years - Male",2008,814,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 60-64 years - Total",2008,1703,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 65-69 years - Female",2008,645,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 65-69 years - Male",2008,627,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 65-69 years - Total",2008,1272,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 70-74 years - Female",2008,421,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 70-74 years - Male",2008,389,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 70-74 years - Total",2008,810,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 75-79 years - Female",2008,325,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 75-79 years - Male",2008,419,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 75-79 years - Total",2008,744,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 80-84 years - Female",2008,161,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 80-84 years - Male",2008,157,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 80-84 years - Total",2008,318,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 85 years and over - Female",2008,224,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 85 years and over - Male",2008,296,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, 85 years and over - Total",2008,520,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, Female Total",2008,41179,Open Data for Africa,opendataforafrica.org
LR,Bomi,"Population, Male Total",2008,42940,Open Data for Africa,opendataforafrica.org
LR,Bong,Annual GrowthRate (%),2008,1,Open Data for Africa,opendataforafrica.org
LR,Bong,Average Household Size,2008,4.7,Open Data for Africa,opendataforafrica.org
LR,Bong,Population Density,2008,97,Open Data for Africa,opendataforafrica.org
LR,Bong,Population Total,2008,178483,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 0-4 years - Female",2008,29648,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 0-4 years - Male",2008,30787,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 0-4 years - Total",2008,60435,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 10-14 years - Female",2008,15827,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 10-14 years - Male",2008,18714,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 10-14 years - Total",2008,34541,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 15-19 years - Female",2008,14899,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 15-19 years - Male",2008,14529,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 15-19 years - Total",2008,29428,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 20-24 years - Female",2008,16773,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 20-24 years - Male",2008,12583,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 20-24 years - Total",2008,29356,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 25-29 years - Female",2008,14503,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 25-29 years - Male",2008,12185,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 25-29 years - Total",2008,26688,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 30-34 years - Female",2008,11152,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 30-34 years - Male",2008,9337,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 30-34 years - Total",2008,20489,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 35-39 years - Female",2008,10612,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 35-39 years - Male",2008,9553,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 35-39 years - Total",2008,20165,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 45-49 years - Female",2008,5929,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 45-49 years - Male",2008,6424,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 45-49 years - Total",2008,12353,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 5-9 years - Female",2008,24083,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 5-9 years - Male",2008,25617,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 5-9 years - Total",2008,49700,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 50-54 years - Female",2008,4114,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 50-54 years - Male",2008,4158,Open Data for Africa,opendataforafrica.org
LR,Bong,"Population, 50-54 years - Total",2008,8272,Open Data for Africa,opendataforafrica.org
