Project Name,,Country,L1,,
Temporary Shelter Constuction,Shelter,LK,Sabaragamuwa,Ratnapura,Kolonna
House Repairs,Shelter,LK,Western,Kalutara,Walallawita
Well Cleaning,WatSan,LK,Western,Kalutara,Beruwala
Distribution of Drinking Water,WatSan,LK,Western,Kalutara,Bulathsinhala
Distribution of Water Purification Tablets,WatSan,LK,Western,Kalutara,Millaniya
Water Tankers,WatSan,LK,Western,Kalutara,Bulathsinhala
Community Based Hygine Promotion,WatSan,LK,Western,Kalutara,Millaniya
Distribution of Rice,Food Distribution,LK,Western,Kalutara,Walallawita
Distribution of MREs,Food Distribution,LK,Western,Kalutara,Beruwala
Distribution of Meals,Food Distribution,LK,Sabaragamuwa,Ratnapura,Elapatha
First Aid ,Health,LK,Sabaragamuwa,Ratnapura,Ayagama
Established Field Hospital,Health,LK,Sabaragamuwa,Ratnapura,Ayagama
Psychosocial first aid,Health,LK,Sabaragamuwa,Ratnapura,Imbulpe
Dengue prevention program,Health,LK,Sabaragamuwa,Ratnapura,Imbulpe
Health awareness Campaign,Health,LK,Sabaragamuwa,Ratnapura,Kiriella
