Name,Description,Enabled,Folder,URL,URL2,URL3,Layer Name,Attribution,Zoom Levels,Format
"Blue Marble Topography & Bathymetry (January)","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","blue-marble-topo-bathy-jan",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Blue Marble Topography & Bathymetry (July)","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","blue-marble-topo-bathy-jul",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Blue Marble Topography (January)","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","blue-marble-topo-jan",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Blue Marble Topography (July)","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","blue-marble-topo-jul",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Control Room","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","control-room",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Geography Class","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","geography-class",'<a href="http://mapbox.com" target="_blank">MapBox</a>',9,
"Natural Earth Hypsometric","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","natural-earth-hypso",'<a href="http://mapbox.com" target="_blank">MapBox</a>',7,
"Natural Earth Hypsometric & Bathymetry","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","natural-earth-hypso-bathy",'<a href="http://mapbox.com" target="_blank">MapBox</a>',7,
"Natural Earth I","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","natural-earth-1",'<a href="http://mapbox.com" target="_blank">MapBox</a>',7,
"Natural Earth II","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","natural-earth-2",'<a href="http://mapbox.com" target="_blank">MapBox</a>',7,
"World Dark","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","world-dark",'<a href="http://mapbox.com" target="_blank">MapBox</a>',12,
"World Light","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","world-light",'<a href="http://mapbox.com" target="_blank">MapBox</a>',12,
"World Glass","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","world-glass",'<a href="http://mapbox.com" target="_blank">MapBox</a>',11,
"World Print","MapBox",False,,"http://a.tiles.mapbox.com/mapbox/","http://b.tiles.mapbox.com/mapbox/","http://c.tiles.mapbox.com/mapbox/","world-print",'<a href="http://mapbox.com" target="_blank">MapBox</a>',10,
