"Organisation","Branch","Resource Type","Country","L1","L2","L3","L4","Quantity","Comments"
"National Disaster Operation Center",,"Staff","Timor-Leste","Dili",,,,10,
"Mercy Corps",,"Volunteers","Timor-Leste","Aileu",,,,100,
"Oxfam",,"Vehicles","Timor-Leste","Viqueque",,,,5,
"Timor-Leste Red Cross Society",,"Heavy Equipment","Timor-Leste","Ainaro",,,,4,
"National Disaster Operation Center",,"Offices","Timor-Leste","Oecusse",,,,2,
"Mercy Corps",,"Warehouses","Timor-Leste","Baucau",,,,6,
"Oxfam",,"Other buildings","Timor-Leste","Manatuto",,,,5,
"Timor-Leste Red Cross Society",,"NFIs (per family) ","Timor-Leste","Dili",,,,1000,
"National Disaster Operation Center",,"Food (per person/day)","Timor-Leste","Covalima",,,,8000,
"Mercy Corps",,"Staff","Timor-Leste","Viqueque",,,,45,
"Oxfam",,"Volunteers","Timor-Leste","Manatuto",,,,34,
"Timor-Leste Red Cross Society",,"Vehicles","Timor-Leste","Manufahi",,,,2,
"National Disaster Operation Center",,"Heavy Equipment","Timor-Leste","Dili",,,,1,
"Mercy Corps",,"Offices","Timor-Leste","Ainaro",,,,2,
"Oxfam",,"Warehouses","Timor-Leste","Manufahi",,,,1,
"Timor-Leste Red Cross Society",,"Other buildings","Timor-Leste","Dili",,,,4,
"National Disaster Operation Center",,"NFIs (per family) ","Timor-Leste","Baucau",,,,7000,
"Mercy Corps",,"Food (per person/day)","Timor-Leste","Viqueque",,,,3000,
"Oxfam",,"Staff","Timor-Leste","Oecusse",,,,23,
"Timor-Leste Red Cross Society",,"Volunteers","Timor-Leste","Viqueque",,,,60,
"National Disaster Operation Center",,"Vehicles","Timor-Leste","Liquiçá",,,,3,
"Mercy Corps",,"Heavy Equipment","Timor-Leste","Ermera",,,,2,
"Oxfam",,"Offices","Timor-Leste","Aileu",,,,5,
"Timor-Leste Red Cross Society",,"Warehouses","Timor-Leste","Oecusse",,,,2,
"National Disaster Operation Center",,"Other buildings","Timor-Leste","Manufahi",,,,2,
"Mercy Corps",,"NFIs (per family) ","Timor-Leste","Baucau",,,,500,
"Oxfam",,"Food (per person/day)","Timor-Leste","Aileu",,,,300,
"Timor-Leste Red Cross Society",,"Staff","Timor-Leste","Ermera",,,,30,
"National Disaster Operation Center",,"Volunteers","Timor-Leste","Dili",,,,40,
"Mercy Corps",,"Vehicles","Timor-Leste","Manufahi",,,,10,
"Oxfam",,"Heavy Equipment","Timor-Leste","Bobonaro",,,,5,
"Timor-Leste Red Cross Society",,"Offices","Timor-Leste","Oecusse",,,,6,
"National Disaster Operation Center",,"Warehouses","Timor-Leste","Covalima",,,,2,
"Mercy Corps",,"Other buildings","Timor-Leste","Dili",,,,3,
"Oxfam",,"NFIs (per family) ","Timor-Leste","Liquiçá",,,,3500,
"Timor-Leste Red Cross Society",,"Food (per person/day)","Timor-Leste","Viqueque",,,,5500,
"National Disaster Operation Center",,"Staff","Timor-Leste","Bobonaro",,,,30,
"Mercy Corps",,"Volunteers","Timor-Leste","Lautém",,,,30,
"Oxfam",,"Vehicles","Timor-Leste","Aileu",,,,15,
