Name,Name L10n:XX,Type,Organisation,Branch,Country,L1,L2,L3,L4,L5,Building,Address,Postcode,Lat,Lon,Capacity,Population,Status,KV:XX
Camp 1W,Camp 1W,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,21.21308,92.15457,,,open,
Camp 2,Camp 2,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 3,Camp 3,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 4,Camp 4,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,21.21227,92.14439,,,open,
Camp 5,Camp 5,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 6,Camp 6,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 7,Camp 7,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 8,Camp 8,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 9,Camp 9,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,21.18916,92.15878,,,open,
Camp 10,Camp 10,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 11,Camp 11,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 12,Camp 12,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 13,Camp 13,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 14,Camp 14,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 15,Camp 15,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 16,Camp 16,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 17,Camp 17,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,21.19693,92.14727,,,open,
Camp 18,Camp 18,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 19,Camp 19,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 20,Camp 20,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 21,Camp 21,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,,,,,open,
Camp 22,Camp 22,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,21.08744,92.19991,,,open,
Camp 23,Camp 23,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,,,,,open,
Camp 24,Camp 24,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,,,,,open,
Camp 25,Camp 25,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,,,,,open,
Camp 26,Camp 26,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,20.95621,92.2527,,,open,
Camp 27,Camp 27,Temporary Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,20.94175,92.25997,,,open,
Kutapalong,Kutapalong,Registered Camp,,,Bangladesh,Chittagong,Cox's Bazar,Ukhia,,,,,,21.21227,92.16377,,,open,
Nayapara,Nayapara,Registered Camp,,,Bangladesh,Chittagong,Cox's Bazar,Teknaf,,,,,,20.95572,92.25112,,,open,
