Name,Height,Width,Image
marker_red,34,20,marker_red.png
marker_yellow,34,20,marker_yellow.png
marker_amber,34,20,marker_amber.png
marker_green,34,20,marker_green.png
abduction-kidnapping,40,40,HIIMS/abduction-kidnapping.png
about,40,40,HIIMS/about.png
add,40,40,HIIMS/add.png
add-document,40,40,HIIMS/add-document.png
advocacy,40,40,HIIMS/advocacy.png
affected-population,40,40,HIIMS/affected-population.png
agriculture,40,40,HIIMS/agriculture.png
airport,40,40,HIIMS/airport.png
airport-affected,40,40,HIIMS/airport-affected.png
airport-destroyed,40,40,HIIMS/airport-destroyed.png
airport-military,40,40,HIIMS/airport-military.png
airport-not-affected,40,40,HIIMS/airport-not-affected.png
alert,40,40,HIIMS/alert.png
analysis,40,40,HIIMS/analysis.png
arrest-detention,40,40,HIIMS/arrest-detention.png
assault,40,40,HIIMS/assault.png
assembly-point,40,40,HIIMS/assembly-point.png
assessment,40,40,HIIMS/assessment.png
attack,40,40,HIIMS/attack.png
blanket,40,40,HIIMS/blanket.png
blog,40,40,HIIMS/blog.png
boat,40,40,HIIMS/boat.png
bookmark,40,40,HIIMS/bookmark.png
border-crossing,40,40,HIIMS/border-crossing.png
borehole,40,40,HIIMS/borehole.png
bottled-water,40,40,HIIMS/bottled-water.png
bridge,40,40,HIIMS/bridge.png
bridge-affected,40,40,HIIMS/bridge-affected.png
bridge-destroyed,40,40,HIIMS/bridge-destroyed.png
bridge-not-affected,40,40,HIIMS/bridge-not-affected.png
bucket,40,40,HIIMS/bucket.png
buddhist-temple,40,40,HIIMS/buddhist-temple.png
building,40,40,HIIMS/building.png
building-facility-affected,40,40,HIIMS/building-facility-affected.png
building-facility-destroyed,40,40,HIIMS/building-facility-destroyed.png
building-facility-not-affected,40,40,HIIMS/building-facility-not-affected.png
bus,40,40,HIIMS/bus.png
calendar,40,40,HIIMS/calendar.png
camp-coordination-and-camp-management,40,40,HIIMS/camp-coordination-and-camp-management.png
car,40,40,HIIMS/car.png
carjacking,40,40,HIIMS/carjacking.png
cash-transfer,40,40,HIIMS/cash-transfer.png
cell-tower,40,40,HIIMS/cell-tower.png
chart,40,40,HIIMS/chart.png
chat,40,40,HIIMS/chat.png
checkpoint,40,40,HIIMS/checkpoint.png
child-care-child-friendly,40,40,HIIMS/child-care-child-friendly.png
child-combatant,40,40,HIIMS/child-combatant.png
child-protection,40,40,HIIMS/child-protection.png
children,40,40,HIIMS/children.png
church,40,40,HIIMS/church.png
civil-military-coordination,40,40,HIIMS/civil-military-coordination.png
clinic,40,40,HIIMS/clinic.png
clothing,40,40,HIIMS/clothing.png
cold-wave,40,40,HIIMS/cold-wave.png
communal-latrine,40,40,HIIMS/communal-latrine.png
community-building,40,40,HIIMS/community-building.png
community-engagement,40,40,HIIMS/community-engagement.png
computer,40,40,HIIMS/computer.png
conflict,40,40,HIIMS/conflict.png
coordinated-assessment,40,40,HIIMS/coordinated-assessment.png
coordination,40,40,HIIMS/coordination.png
copy,40,40,HIIMS/copy.png
cyclone,40,40,HIIMS/cyclone.png
damaged-affected,40,40,HIIMS/damaged-affected.png
dangerous-area,40,40,HIIMS/dangerous-area.png
data,40,40,HIIMS/data.png
dead,40,40,HIIMS/dead.png
debris-management,40,40,HIIMS/debris-management.png
deployment,40,40,HIIMS/deployment.png
destroyed,40,40,HIIMS/destroyed.png
detergent,40,40,HIIMS/detergent.png
diplomatic-mission,40,40,HIIMS/diplomatic-mission.png
distribution-site,40,40,HIIMS/distribution-site.png
document,40,40,HIIMS/document.png
down,40,40,HIIMS/down.png
download,40,40,HIIMS/download.png
drought,40,40,HIIMS/drought.png
drowned,40,40,HIIMS/drowned.png
early-recovery,40,40,HIIMS/early-recovery.png
earthmound,40,40,HIIMS/earthmound.png
earthquake,40,40,HIIMS/earthquake.png
education,40,40,HIIMS/education.png
elderly,40,40,HIIMS/elderly.png
e-mail,40,40,HIIMS/e-mail.png
emergency-telecommunications,40,40,HIIMS/emergency-telecommunications.png
environment,40,40,HIIMS/environment.png
epidemic,40,40,HIIMS/epidemic.png
fire,40,40,HIIMS/fire.png
fishery,40,40,HIIMS/fishery.png
flash-flood,40,40,HIIMS/flash-flood.png
flood,40,40,HIIMS/flood.png
flour,40,40,HIIMS/flour.png
folder,40,40,HIIMS/folder.png
food,40,40,HIIMS/food.png
food-security,40,40,HIIMS/food-security.png
food-warehouse,40,40,HIIMS/food-warehouse.png
forced-entry,40,40,HIIMS/forced-entry.png
