Catalog,Category,Category Code,Item Name,Unit of Measure,Kit,Comments
Default,Hygiene Kit Items,Hygiene Kit,Towel,Number,,"Cotton fabric, plain colour, 54""x30"""
Default,Hygiene Kit Items,Hygiene Kit,Bucket 9L w/top,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Water Cup 1L,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Body Soap 100g,Packet,,
Default,Hygiene Kit Items,Hygiene Kit,Laundry Soap 120g,Packet,,
Default,Hygiene Kit Items,Hygiene Kit,Toothbrush-L,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Toothbrush-S,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Toothpaste 160g,Tube,,
Default,Hygiene Kit Items,Hygiene Kit,Hair Comb,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Razor,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Sanitary Pads 10pcs w/wings,Packet,,
Default,Hygiene Kit Items,Hygiene Kit,Nail Clipper-L,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Nail Clipper-S,Number,,
Default,Hygiene Kit Items,Hygiene Kit,Underwear for Women,Piece,,"2 Medium 2 Large, Cotton"
Default,Hygiene Kit Items,Hygiene Kit,Underwear for Men,Piece,,"1 Medium and 1 large, Cotton"
Default,Hygiene Kit Items,Hygiene Kit,Panties for Kids,Piece,,
Default,Disinfectant Kit Items,Disinfectant Kit,Broomstick,Number,,"Plastic 4"" bristles"
Default,Disinfectant Kit Items,Disinfectant Kit,Dust pan w/brush,Number,,
Default,Disinfectant Kit Items,Disinfectant Kit,All purpose disinfectant 1L,Bottle,,
Default,Disinfectant Kit Items,Disinfectant Kit,Surface Disinfectant 950ml,Bottle,,
Default,Disinfectant Kit Items,Disinfectant Kit,Toilet cleaning liquid,Bottle,,
Default,Disinfectant Kit Items,Disinfectant Kit,Bucket 11L w/ handle,Number,,Plastic 
Default,Disinfectant Kit Items,Disinfectant Kit,Wiper,Number,,Plastic
Default,Disinfectant Kit Items,Disinfectant Kit,Toilet Brush w/holder,Number,,Plastic
Default,Disinfectant Kit Items,Disinfectant Kit,Rubber Gloves,Number,,Free Size
Default,Disinfectant Kit Items,Disinfectant Kit,Face Mask,Number,,Disposable
Default,Disinfectant Kit Items,Disinfectant Kit,Dustbin (open),Number,,
Default,Disinfectant Kit Items,Disinfectant Kit,Hand washing soap 100g,Packet,,
Default,Disinfectant Kit Items,Disinfectant Kit,Washing powder 1kg,Packet,,
Default,Disinfectant Kit Items,Disinfectant Kit,Dish wash 500ml,Bottle,,
Default,Dignity Kit Items,Dignity Kit,Sanitary Pads 10pcs w/wings,Packet,,
Default,Dignity Kit Items,Dignity Kit,Mosquito Net,Number,,"Double, rectangle shape"
Default,Dignity Kit Items,Dignity Kit,Box of Matches,Packet,,10 box/pack
Default,Dignity Kit Items,Dignity Kit,Cloth 2m,Piece,,
Default,Dignity Kit Items,Dignity Kit,Candle,Number,,12 pieces
Default,Dignity Kit Items,Dignity Kit,Hand Towel,Number,,
Default,Dignity Kit Items,Dignity Kit,Lantern/Torch,Number,,
Default,Dignity Kit Items,Dignity Kit,School uniform 2.5m,Piece,,
Default,Dignity Kit Items,Dignity Kit,"Women's Underwear",Piece,,1 medium 1 large 
Default,Dignity Kit Items,Dignity Kit,Cloth Pegs,Packet,,12 nos/pack 
Default,Shelter Repair Kit Items,Shelter Kit,CGI Sheets,Number,,"Galvanized Corrugated Iron, 26G(0.4mm) thickness, size 10' x 2'8"""
Default,Shelter Repair Kit Items,Shelter Kit,Mammoty/Hoe with handle,Number,,"10"" x 8"" (250mm x 200mm), Handle 3.5'-4' long with Dry, Smooth and flexible wood."
Default,Shelter Repair Kit Items,Shelter Kit,Hand saw,Number,,"40mm blade, Length 500mm + 50mm, Laminated carbon steel, 7 teeth per inch,"
Default,Shelter Repair Kit Items,Shelter Kit,Crowbar,Number,,"1200mm (4') long, 16mm-25mm dia strong steel."
Default,Shelter Repair Kit Items,Shelter Kit,Claw hammer,Number,,0.75 lb (300g-350g). Handle with Dry strong flexible wood
Default,Shelter Repair Kit Items,Shelter Kit,Mana Knife/Machete,Number,,"Curved blade, 55mm long with wood handle"
Default,Shelter Repair Kit Items,Shelter Kit,Roofing Nails,Kg,,"75mm long (3.0""), Umbrella type, Spiral roll or twisted shank, sealed umbrella type spring head, rubber washer 26mm dia, 2mm thickness"
Default,Shelter Repair Kit Items,Shelter Kit,Nails 75mm,Kg,,"75mm(3"") for wood"
Default,Shelter Repair Kit Items,Shelter Kit,Nails 40mm,Kg,,"40mm(1.5"") for wood"
Default,Shelter Repair Kit Items,Shelter Kit,Shears,Number,,"260mm length, Straight for metal sheet"
Default,Shelter Repair Kit Items,Shelter Kit,Rope,Coil,,"12mm dia, 30m length"
Default,Household NFI Kit Items,Household Kit,Cooking Pot,Number,,Aluminium - 6Ltr
Default,Household NFI Kit Items,Household Kit,Saucepans,Number,,"Aluminium with handles - 10"",9"" & 8"" dia"
