Organisation,Acronym,KV:req_number,Name L10n:si,Type,Sectors,Country,Website
Adventist Development and Relief Agency,ADRA,ADRA,,INGO,,,
Agency for Technical Cooperation and Development,ACTED,ACTD,,INGO,,,
Alliance Development Trust,,ALDT,,,,,
Americares,,AMCR,,INGO,,US,
Asia Pacific Alliance for Disaster Managment,APAD-SL,APAD,,NGO,"SAR,Coordination,WASH,Food Security,Health",,
Asian Disaster Preparedness Center,ADPC,ADPC,,,,,
ChildFund,CF,CHFD,,INGO,"Coordination,Protection,Education",,
Christian Blind Mission,CBM,CBMM,,,,,
Consortium of Humanitarian Agencies,CHA,CNHA,,NGO,,,
Crest Malaysia,,CRMY,,,,,
Development Partners Secretariat,DPS,,,Secretariat,,,
Disaster Management Center,DMC,,ආපදා කළමනාකරණ මධ්යස්ථානය,Government,Coordination,LK,http://dmc.gov.lk
European Union,EU,,,Donor,,,
Food and Agriculture Organization,FAO,FAOO,,UN agency,"Food Security,Coordination",,
Government of Sri Lanka,GoSL,,ශ්‍රී ලංකා රජයේ ආයතනය,Government,Coordination,LK,http://gov.lk
Habitat for Humanity SL,,HHSL,,,,,
HELVETAS Swiss Intercoop. SL,,HISL,,,,,
High Commission of India,HCI,,,Donor,,,
Humanity and Inclusion,HAI,HAIL,,INGO,Coordination,,
Humedica International Lanka,,HILK,,,,,
Information Communication Technology Agency,ICTA,,,Government,,,http://icta.lk/
International Committee of the Red Cross,IFRC,,,INGO,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC,,INGO,Shelter,,
International Labour Organization,ILO,ILOO,,UN agency,,,
International Organisation for Migration,IOM,IOMM,,UN agency,Shelter,,
International Water Management Institute,IWMI,IWMI,,,,,
Islamic Relief,,IMRL,,INGO,,,
LEADS,,LDSL,,NGO,Protection,LK,https://www.leads.lk/
Muslim Aid,,MLAL,,INGO,,,
Oxfam International,Oxfam,OXFM,,INGO,"Coordination,Protection,Education,WASH",,https://www.oxfam.org/en/countries/sri-lanka
Pacific Asia Resource Center Interpeoples’ Cooperation,PARCIC,PRCC,,,,,https://www.parcic.org
PADEM,,PDEM,,INGO,,LU,https://padem.org
Peace Winds Japan,,PWJP,,,,,
People In Need,,PINN,,,,,
Plan International,PI,PIGL,,INGO,Education,,
Qatar Charity,,QTCH,,,,,
Sahana Software Foundation,Sahana,,,NGO,,US,http://www.sahanafoundation.org
Sarvodaya Shramadana Society,Sarvodaya,SARV,සර්වෝදය ශ්‍රමදාන සංගමය,NGO,,,http://www.sarvodaya.org/
Save The Children,STC,SVTC,,INGO,"Protection,Education",,
Sevalanka,,SEVA,,NGO,,,
Shelter Box,,SHBX,,INGO,,,
Sri Lanka Red Cross,SLRC,RCSL,,NGO,"Shelter,ER,SAR",,
The United Nations Entity for Gender Equality and the Empowerment of Women,UN Women,UNWW,,UN agency,"Protection,Health",,
The United Nations Office for Project Services,UNOPS,UOPS,,UN agency,,,
The United Nations Refugee Agency,UNHCR,HCRR,,UN agency,,,
United Nations Children Fund,UNICEF,UCEF,,UN agency,"Food Security,Coordination,Education,Health",,
United Nations Department of Safety and Security,UNDSS,UDSS,,UN agency,,,
United Nations Development Programme,UNDP,UNDP,,UN agency,"ER,Coordination",,
United Nations Human Settlements Programme,UN-HABITAT,UNHH,,UN agency,Shelter,,
United Nations Office for the Coordination of Humanitarian Affairs- Regional Office Asia & Pacific,OCHA-ROAP,,,UN agency,,,
United Nations Population Fund,UNFPA,FPAA,,UN agency,"Protection,Health",,
United Nations Resident Coordinator Office,UN-RCO,RCOO,එක්සත් ජාතීන්ගේ නේවාසික සම්බන්ධීකරණ කාර්යාලය,UN agency,Coordination,LK,https://lk.one.un.org/un-in-sri-lanka/un-resident-coordinators-office/
United States Agency for International Development,USAID,USAD,,Donor,Coordination,US,
World Bank Group,WBG,WBGG,,UN agency,,,
World Food Programme,WFP,WFPP,,UN agency,"Food Security,Logs",,
World Health Organization,WHO,WHOO,,UN agency,Health,,
World Vision Lanka,WVL,WVIL,,INGO,"Coordination, Shelter,Education,WASH",LK,http://www.wvi.org/srilanka
ZOA,,ZOAA,,INGO,,NL,https://www.zoa-international.com
