"Country","ADM1_NAME","ADM3_NAME","Lat","Lon","Elevation"
"PG","Higaturu Rural LLG","Sangara C/Sch",-8.734461,148.181897,87
"PG","Higaturu Rural LLG","Javuni",-8.728873,148.186473,87
"PG","Higaturu Rural LLG","Peromba",-8.820495,148.096072,263
"PG","Higaturu Rural LLG","Handarituru",-8.824064,148.090284,260
"PG","Higaturu Rural LLG","Awala C/Sch",-8.831203,148.060516,228
"PG","Higaturu Rural LLG","Ururu",-8.892565,148.111108,572
"PG","Higaturu Rural LLG","Kendata",-8.895018,148.112961,587
"PG","Higaturu Rural LLG","Boro With Boru Vop Blocks",-8.845628,148.043044,224
"PG","Higaturu Rural LLG","Kiorota",-8.864352,148.125858,474
"PG","Higaturu Rural LLG","Koipa",-8.823884,148.112413,290
"PG","Higaturu Rural LLG","Bago",-8.832362,148.110983,317
"PG","Higaturu Rural LLG","Agenhambo C/Sch",-8.81944,148.100229,259
"PG","Higaturu Rural LLG","Timbeki",-8.858788,148.106024,313
"PG","Higaturu Rural LLG","Barevoturu",-8.866199,148.105455,489
"PG","Higaturu Rural LLG","Uhita",-8.824251,148.084543,254
"PG","Higaturu Rural LLG","Soroputa",-8.826133,148.072328,234
"PG","Higaturu Rural LLG","Sivepi",-8.877386,148.081284,385
"PG","Higaturu Rural LLG","Sasembata C/Sch",-8.881999,148.086166,415
"PG","Higaturu Rural LLG","Kongohambo",-8.882393,148.087754,422
"PG","Higaturu Rural LLG","Peretembari",-8.886037,148.099051,496
"PG","Higaturu Rural LLG","Urarituru",-8.888775,148.103384,515
"PG","Higaturu Rural LLG","Torogota",-8.885601,148.08831,422
"PG","Higaturu Rural LLG","Duve",-8.89422,148.095377,488
"PG","Higaturu Rural LLG","Garombi",-8.875138,148.076245,376
"PG","Higaturu Rural LLG","Binduta",-8.868287,148.068997,330
"PG","Higaturu Rural LLG","Isoge",-8.863209,148.063201,340
"PG","Higaturu Rural LLG","Sui",-8.83007,148.054479,217
"PG","Higaturu Rural LLG","Angorota",-8.84875,148.024628,179
"PG","Higaturu Rural LLG","Mumuni",-8.868365,148.024183,201
"PG","Higaturu Rural LLG","Mumunipe",-8.882858,148.051604,317
"PG","Higaturu Rural LLG","Hamburata",-8.887731,148.07336,376
"PG","Higaturu Rural LLG","Koropata 1",-8.843539,148.003771,128
"PG","Higaturu Rural LLG","Bata",-8.825232,148.004694,121
"PG","Higaturu Rural LLG","Tunana",-8.829818,148.04513,38
"PG","Higaturu Rural LLG","Ivindari",-8.819859,148.088605,273
"PG","Higaturu Rural LLG","Igora Oil Palm Blocks",-8.799647,148.132673,237
"PG","Higaturu Rural LLG","Honai",-8.824528,147.999057,88
"PG","Higaturu Rural LLG","Isivini Oil Palm Block",-8.749714,148.140978,126
"PG","Higaturu Rural LLG","Isivini C/Sch",-8.748334,148.143704,117
"PG","Higaturu Rural LLG","Ondahare",-8.703244,148.107971,99
"PG","Higaturu Rural LLG","Totogata",-8.692705,148.095615,75
"PG","Higaturu Rural LLG","Girigirita",-8.66955,148.087823,57
"PG","Higaturu Rural LLG","Ongoho",-8.6987,148.105113,77
"PG","Higaturu Rural LLG","Jajau",-8.731165,148.102694,108
"PG","Higaturu Rural LLG","Kanari",-8.762855,148.102505,149
"PG","Higaturu Rural LLG","Sehoro 1 & 2",-8.698669,148.1408,68
"PG","Higaturu Rural LLG","Huhuru",-8.615364,148.195612,16
"PG","Higaturu Rural LLG","Senani",-8.62312,148.186259,20
"PG","Higaturu Rural LLG","Kipore",-8.63462,148.183129,6
"PG","Higaturu Rural LLG","New Warisota Village",-8.686469,148.182484,46
"PG","Higaturu Rural LLG","Tunana",-8.76679,148.083013,153
"PG","Higaturu Rural LLG","Sumbiripa",-8.751621,148.163313,150
"PG","Oro Bay Rural LLG","Embi",-8.851313,148.430286,40
"PG","Oro Bay Rural LLG","Hanau",-8.7711,148.430009,17
"PG","Higaturu Rural LLG","Isuga",-8.778949,148.268469,98
"PG","Popondetta Urban LLG","Dobuduru",-8.779828,148.210205,151
"PG","Higaturu Rural LLG","Ahora C/Sch",-8.692784,148.241405,89
"PG","Higaturu Rural LLG","Beuru",-8.632932,148.244377,17
"PG","Oro Bay Rural LLG","Gona",-8.61223,148.265049,7
"PG","Popondetta Urban LLG","Sorovi Stn",-8.712378,148.279577,31
"PG","Higaturu Rural LLG","Moale",-8.756648,148.180163,126
"PG","Popondetta Urban LLG","Monge 2",-8.775396,148.181481,91
"PG","Popondetta Urban LLG","Kongona",-8.772305,148.18741,136
"PG","Kokoda Rural LLG","Botue",-8.861382,147.712924,398
"PG","Kokoda Rural LLG","Fala",-8.870144,147.720509,398
"PG","Kokoda Rural LLG","Saga",-8.873866,147.724781,350
"PG","Kokoda Rural LLG","Kokoda Village",-8.879432,147.736804,376
"PG","Kokoda Rural LLG","Saga",-8.879227,147.749445,455
"PG","Kokoda Rural LLG","Hanjiri",-8.916699,147.91076,430
"PG","Kokoda Rural LLG","Hojavahambo",-8.907858,147.964863,129
"PG","Kokoda Rural LLG","Ilimo",-8.924522,147.949002,176
"PG","Kokoda Rural LLG","Papaki",-8.925536,147.96191,163
"PG","Tamata Rural LLG","Siai",-8.566694,147.968416,114
"PG","Tamata Rural LLG","Magure Station",-8.588173,147.975685,114
"PG","Tamata Rural LLG","Baturu",-8.594711,147.970436,114
"PG","Tamata Rural LLG","Oita Tandi",-8.616379,147.968319,113
"PG","Tamata Rural LLG","Horusus",-8.615679,147.99734,114
"PG","Higaturu Rural LLG","Kumusi",-8.68472,147.981803,41
"PG","Higaturu Rural LLG","Ariho",-8.662529,147.980044,47
"PG","Tamata Rural LLG","Hurata",-8.642359,148.001306,41
"PG","Higaturu Rural LLG","Dapa",-8.714849,147.991903,51
"PG","Higaturu Rural LLG","Jambu",-8.720246,148.008625,51
"PG","Higaturu Rural LLG","Divinokovari",-8.734119,148.023997,51
"PG","Higaturu Rural LLG","Sirembi",-8.748291,148.028039,51
"PG","Higaturu Rural LLG","Hujavasusu",-8.763,148.050019,51
"PG","Higaturu Rural LLG","Sakita C/Sch",-8.735438,148.055247,51
"PG","Higaturu Rural LLG","Togaho C/Sch",-8.73883,148.069749,51
"PG","Higaturu Rural LLG","Poha 1 & 2",-8.735894,148.07669,51
"PG","Higaturu Rural LLG","Papoga",-8.736885,148.085276,218
"PG","Higaturu Rural LLG","West Ambogo Block",-8.712496,148.233776,60
"PG","Popondetta Urban LLG","Sorovi S'ment & Blocks",-8.713926,148.294408,31
"PG","Oro Bay Rural LLG","Ononda",-8.671796,148.28943,66
"PG","Oro Bay Rural LLG","Mumburada",-8.659419,148.285151,20
"PG","Oro Bay Rural LLG","Otobejari",-8.645051,148.291252,12
"PG","Oro Bay Rural LLG","Konje",-8.63111,148.291223,4
"PG","Oro Bay Rural LLG","Bagou",-8.660278,148.330556,0
"PG","Oro Bay Rural LLG","Sanananda",-8.640556,148.368611,0
"PG","Popondetta Urban LLG","Gewoto",-8.675556,148.331111,0
"PG","Popondetta Urban LLG","Ango",-8.737222,148.378333,0
"PG","Oro Bay Rural LLG","Siremi",-8.732222,148.409722,0
"PG","Popondetta Urban LLG","Parahe Oil Palm Blocks",-8.771111,148.373056,0
"PG","Oro Bay Rural LLG","Embogo",-8.842471,148.460374,0
"PG","Oro Bay Rural LLG","Urio",-8.797167,148.364592,0
"PG","Oro Bay Rural LLG","Guguma",-8.805488,148.341459,0
"PG","Higaturu Rural LLG","Siroga",-8.731137,148.198609,0
"PG","Popondetta Urban LLG","Soputa Ltc Blocks",-8.734104,148.286296,71
"PG","Popondetta Urban LLG","Soputa",-8.723169,148.307773,37
"PG","Popondetta Urban LLG","Soputa",-8.713038,148.307862,13
"PG","Popondetta Urban LLG","Jegarata",-8.804233,148.229031,175
"PG","Popondetta Urban LLG","Jegarata Anglican Miss.",-8.787848,148.237149,159
"PG","Popondetta Urban LLG","Jonita",-8.813288,148.238341,278
"PG","Popondetta Urban LLG","Jomota (Dirita)",-8.853684,148.233516,258
"PG","Afore Rural LLG","Kawowoki",-9.104211,148.388611,768
"PG","Afore Rural LLG","Ogan 1",-9.133093,148.397887,699
"PG","Afore Rural LLG","Bua",-9.130111,148.439053,862
"PG","Afore Rural LLG","Yoivi",-9.128503,148.446677,824
"PG","Afore Rural LLG","Ondoro",-9.114683,148.468673,555
"PG","Oro Bay Rural LLG","Borou",-8.968282,148.484447,261
"PG","Higaturu Rural LLG","Sangara Police Station",-8.755427,148.196101,250
"PG","Higaturu Rural LLG","Sangara Miss/Stn",-8.765382,148.184631,252
"PG","Higaturu Rural LLG","Sangara V/Centre",-8.765204,148.18127,195
"PG","Higaturu Rural LLG","The Ridge",-8.758441,148.174329,209
"PG","Higaturu Rural LLG","Sarimbo",-8.822452,148.107221,364
"PG","Higaturu Rural LLG","Harange C/Sch",-8.837267,147.986111,181
"PG","Afore Rural LLG","Manusi",-9.130808,148.425075,851
"PG","Afore Rural LLG","Niniuri",-9.129892,148.410939,727
"PG","Afore Rural LLG","Afore Govt. Station",-9.140538,148.387413,680
"PG","Afore Rural LLG","Afore Blocks",-9.133033,148.397632,790
"PG","Popondetta Urban LLG","Sewa",-8.807329,148.308915,272
"PG","Oro Bay Rural LLG","Sebu",-8.649216,148.292393,163
"PG","Oro Bay Rural LLG","Kausada",-8.612086,148.264939,67
"PG","Oro Bay Rural LLG","Kurou",-8.608615,148.274957,144
"PG","Higaturu Rural LLG","Ahora Vop Block",-8.692386,148.241971,125
"PG","Oro Bay Rural LLG","Kendata",-8.731903,148.410239,89
"PG","Oro Bay Rural LLG","Barisari",-8.762329,148.407896,166
"PG","Oro Bay Rural LLG","Hombariri",-8.803863,148.317453,160
"PG","Oro Bay Rural LLG","Poro",-8.792492,148.390697,123
"PG","Oro Bay Rural LLG","Kararata",-8.797748,148.397156,90
"PG","Oro Bay Rural LLG","Dombada",-8.859122,148.475135,60
"PG","Oro Bay Rural LLG","Banderi",-8.964119,148.462017,414
"PG","Oro Bay Rural LLG","Png Harbours Board",-8.899604,148.492326,454
"PG","Oro Bay Rural LLG","Beama",-8.8995,148.485069,101
"PG","Oro Bay Rural LLG","Katereda H/C",-8.891833,148.483608,79
"PG","Oro Bay Rural LLG","Katereda H/C",-8.889755,148.489386,74
"PG","Oro Bay Rural LLG","Kopure",-8.869241,148.474421,85
"PG","Oro Bay Rural LLG","Eroro C/Sch",-8.866444,148.477462,80
"PG","Oro Bay Rural LLG","Busega",-8.864996,148.483185,58
"PG","Oro Bay Rural LLG","Baberada / Natatu",-8.870661,148.485781,79
"PG","Oro Bay Rural LLG","Arugasusu",-8.868806,148.485317,87
"PG","Oro Bay Rural LLG","Embogo H/Sch",-8.843685,148.448604,91
"PG","Oro Bay Rural LLG","Ngemeno",-8.982632,148.503781,218
"PG","Kokoda Rural LLG","Reibai",-9.007653,148.518425,113
"PG","Tamata Rural LLG","Deboin, Cp 06 & 402",-8.056239,148.122601,77
"PG","Tamata Rural LLG","Manau Anglican Miss. Stn",-8.06807,147.980084,78
"PG","Tamata Rural LLG","Mopide",-8.172529,147.789669,104
"PG","Tamata Rural LLG","Ewore No. 1",-8.168995,147.80651,109
"PG","Tamata Rural LLG","Nindewari",-8.163269,147.842652,161
"PG","Tamata Rural LLG","Onombatutu",-8.157513,147.859255,96
"PG","Tamata Rural LLG","Karude",-8.155271,147.863891,97
"PG","Tamata Rural LLG","Tabara C/ Sch",-8.111052,147.865596,74
"PG","Tamata Rural LLG","Tabara",-8.094836,147.870986,111
"PG","Tamata Rural LLG","Kotaure",-8.044897,147.910216,84
"PG","Tamata Rural LLG","Yajiwari",-8.023561,147.920987,130
"PG","Tamata Rural LLG","Boto C/Sch",-8.14942,148.021282,79
"PG","Tamata Rural LLG","Biaga",-8.311375,147.933863,86
"PG","Tamata Rural LLG","Darara",-8.336091,147.890379,90
"PG","Tamata Rural LLG","Ginemai",-8.347531,147.865926,96
"PG","Tamata Rural LLG","Kopatutu",-8.351593,147.860058,93
"PG","Tamata Rural LLG","Iaudari No. 2",-8.358487,147.851055,92
"PG","Tamata Rural LLG","Kurereda",-8.419788,147.851816,92
"PG","Tamata Rural LLG","Dabo",-8.42913,147.845717,109
"PG","Oro Bay Rural LLG","Ambasi Station (Mission)",-8.268854,148.192896,102
"PG","Oro Bay Rural LLG","Jinena",-8.28817,148.200447,72
"PG","Oro Bay Rural LLG","Bepore",-8.619097,148.29625,54
"PG","Oro Bay Rural LLG","Jinanga",-8.613802,148.281568,-6
"PG","Oro Bay Rural LLG","Banumo",-8.619635,148.302266,77
"PG","Oro Bay Rural LLG","Sebu (Saroda)",-8.611228,148.278406,87
"PG","Oro Bay Rural LLG","Basabua",-8.615143,148.314007,11
"PG","Oro Bay Rural LLG","Garara",-8.620648,148.326068,73
"PG","Oro Bay Rural LLG","Killerton",-8.622207,148.346093,70
"PG","Oro Bay Rural LLG","Buna",-8.664529,148.39724,89
