"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lon","STD-Lat","24H-2","24H-5","STD-DATE","STD-TIME","24H-1","24H-3","STD-WHO","24H-4","24H-6","24H-7","24H-8","24H-12","24H-13","24H-14","24H-15","24H-18","24H-26","24H-27","24H-28","24H-34","24H-35","24H-36","24H-19","24H-20","24H-21","24H-22","24H-23","24H-24","24H-25","24H-37","24H-38","24H-39","24H-40","24H-41","24H-42","24H-43","24H-44","24H-45","24H-46","24H-47","24H-48","24H-29","24H-30","24H-31","24H-32","24H-33","24H-9","24H-10","24H-11","24H-16","24H-17"
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Humeta",125.46995,-8.75742,"No",,"19/01/12",,"Tropical Storm Bulegila",250,,,31,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,56,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Railisu",125.46035,-8.75505,"Yes",,"19/01/12",,"Tropical Storm Bulegila",140,,,74,,,75,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,8,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Boboe",125.45377,-8.75145,"Yes",,"19/01/12",,"Tropical Storm Bulegila",170,,,0,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Mokorema",125.46266,-8.74641,"No",,"19/01/12",,"Tropical Storm Bulegila",100,,,0,0,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,23,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Ergoi",125.44971,-8.73966,"No",,"19/01/12",,"Tropical Storm Bulegila",340,,,149,9,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,34,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Vilanova",125.44768,-8.73111,"No",,"19/01/12",,"Tropical Storm Bulegila",220,,,164,1,,723,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Hotklokat",125.44526,-8.72957,"No",,"19/01/12",,"Tropical Storm Bulegila",150,,,97,4,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,9,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LAUALA","Hutilarang",125.4449,-8.72615,"No",,"19/01/12",,"Tropical Storm Bulegila",100,,,21,,,800,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LEGUIMEA","Lauabe",125.40468,-8.78631,"No",,"19/01/12",,"Tropical Storm Bulegila",60,,,21,,,1078,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,6,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LEGUIMEA","Darhai",125.39631,-8.7789,"Yes",,"19/01/12",,"Tropical Storm Bulegila",180,,,136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LEGUIMEA","Urletefoho",125.41222,-8.78101,"Yes",,"19/01/12",,"Tropical Storm Bulegila",380,,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,10,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LEGUIMEA","Tidir",125.42097,-8.76664,"No",,"19/01/12",,"Tropical Storm Bulegila",130,,,72,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","LEGUIMEA","Leguimea",125.40705,-8.7758,"No",,"19/01/12",,"Tropical Storm Bulegila",340,,,192,4,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Tatabaoria",125.39478,-8.76692,"Yes",,"19/01/12",,"Tropical Storm Bulegila",100,,,0,,,,,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,23,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Railurin",125.40723,-8.76491,"Yes",,"19/01/12",,"Tropical Storm Bulegila",230,,,146,4,,30,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Apidou",125.41193,-8.76137,"Yes",,"19/01/12",,"Tropical Storm Bulegila",90,,,3,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Pohei",125.42001,-8.7572,"No",,"19/01/12",,"Tropical Storm Bulegila",120,,,29,8,,119,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,16,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Hatuleta",125.40847,-8.7546,"No",,"19/01/12",,"Tropical Storm Bulegila",110,,,0,0,,50,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","MIRTUTU","Suileo",125.42691,-8.74681,"Yes",,"19/01/12",,"Tropical Storm Bulegila",190,,,154,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Tidibesse",125.38926,-8.76057,"No",,"19/01/12",,"Tropical Storm Bulegila",50,,,2,0,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,4,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Samatrai",125.39419,-8.76131,"Yes",,"19/01/12",,"Tropical Storm Bulegila",340,,,34,3,,290,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,58,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Poepung",125.38946,-8.75641,"Yes",,"19/01/12",,"Tropical Storm Bulegila",280,,,7,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,6,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Ermera",125.39643,-8.7521,"No",,"19/01/12",,"Tropical Storm Bulegila",310,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,3,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Loblala",125.38535,-8.75258,"No",,"19/01/12",,"Tropical Storm Bulegila",250,,,70,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Porehe",125.4009,-8.74772,"No",,"19/01/12",,"Tropical Storm Bulegila",180,,,47,1,,4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,60,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Urletepoho",125.4284,-8.74031,"No",,"19/01/12",,"Tropical Storm Bulegila",250,,,113,34,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,4,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Urluli",125.42762,-8.7375,"Yes",,"19/01/12",,"Tropical Storm Bulegila",110,,,40,0,0,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Lekese",125.39237,-8.73125,"Yes",,"19/01/12",,"Tropical Storm Bulegila",100,,,7,0,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,3,,
