Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Human Impact,Grid,,1,DANAT3-1-,"{'QuestionNo': 1, 'col-cnt': '2', 'row-cnt': '13', 'rows': ['Number of dead people', 'Children (under age of 16)', 'Female', 'Number of missing people', 'Children (under age of 16)', 'Female', 'Number of injured people', 'Children (under age of 16)', 'Female', 'Number of affected households', 'Number of affected people', 'Number of poor households affected', 'Number of affected households that have lost livelihoods'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Shelter,Grid,,27,DANAT3-2-,"{'QuestionNo': 27, 'col-cnt': '2', 'row-cnt': '6', 'rows': ['Number of  households evacuated', 'Number of  households without shelter', 'Number of  houses totally destroyed/collapsed/ swept away', 'Number of  houses seriously damaged', 'Number of  houses that have completely lost roofs', 'Number of  houses that are completely submerged'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,WatSan,Grid,,39,DANAT3-3-,"{'QuestionNo': 39, 'col-cnt': '2', 'row-cnt': '3', 'rows': ['Number of  households without drinking water', 'Number of damaged wells/boreholes', 'Number of water supply constructions damaged'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Agriculture and Fisheries,Grid,,45,DANAT3-4-,"{'QuestionNo': 45, 'col-cnt': '2', 'row-cnt': '39', 'rows': ['Number of farm households that have lost food stocks', 'Damaged rice area (total of NN021 and NN022)', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Damaged vegetable cropping areas (total of NN031 and NNO32)', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Government rice stock damaged or lost', 'Other farm production area damaged (total of NN051 and NN052)', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Damaged industrial tree area (e.g. Rubber, coffee etc.) (total NN061 and NN062)', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Damaged fruit tree area (total NN071 and NN072)', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Damaged (recovered or eroded) agriculture and land areas', 'Damaged seed trees', 'Damaged natural forest area', 'Damaged forest seedling production', 'Lost completely (more than 70%)', 'Productivity decreased (from 30% to 70%)', 'Number of dead large livestock (buffalos, cows, horses)', 'Number of dead small livestock (buffalos, cows, horses)', 'Number of dead pigs', 'Number of dead poultry (chickens, ducks, geese)', 'Number of farm households that have lost food seeds', 'Area of aquaculture lost (total of NN161 and nn162)', 'Lost completely (more than 70%)', 'Lost from 30% to 70%', 'Quantity of fish and shrimp ponds lost', 'Quantity of fishing cages lost (total of NN181 and NN182)', 'Lost completely (more than 70%)', 'Lost from 30% to 70%', 'Quantity of fishing nets lost', 'Quantity of fishing equipment lost', 'Total number of lost fishing boats', 'Total number of seriously damaged fishing boats'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Health ,Grid,,123,DANAT3-5-,"{'QuestionNo': 123, 'col-cnt': '2', 'row-cnt': '7', 'rows': ['Number of affected hospitals/clinics', 'Rooms collapsed/swept away', 'Rooms damaged', 'Rooms submerged', 'Number of people who have been admitted to hospitals due to the disaster', 'Damaged medical equipment', 'Lost and damaged medicines'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Education,Grid,,137,DANAT3-6-,"{'QuestionNo': 137, 'col-cnt': '2', 'row-cnt': '7', 'rows': ['Number of school sites affected', 'Classrooms destroyed, swept away', 'Classrooms damaged', 'Classrooms submerged', 'Classrooms facilities/furniture damaged', 'Classrooms books damaged', 'Number of pupils not going to school (due to disaster)'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Transportation,Grid,,151,DANAT3-7-,"{'QuestionNo': 151, 'col-cnt': '2', 'row-cnt': '15', 'rows': ['Damaged roads', 'Length of road eroded or swept away', 'Length of road submerged', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Damaged bridges', 'Bridges seriously damaged or washed away', 'Damaged sluices', 'Sluices seriously damaged or washed away', 'Damaged barriers', 'Barriers seriously damaged or washed away', 'Total number of damaged boats (total of GT051 and GT052)', 'Lost', 'Seriously damaged', 'Other transportation means lost or seriously damaged (e.g ferries)'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Electrical supply and telecommunications,Grid,,181,DANAT3-8-,"{'QuestionNo': 181, 'col-cnt': '2', 'row-cnt': '9', 'rows': ['Seriously damaged power stations (including hydro-electric, etc)', 'Transformer stations lost/seriously damaged', 'Electricity poles lost/seriously damaged', 'Medium and high voltage poles', 'Low voltage poles', 'Electricity cables broken', 'Communications centres lost/seriously damaged (landline and mobile)', 'Communications poles destroyed', 'Communications lines broken'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,Part-1,2,Flood control and irrigation,Grid,,199,DANAT3-9-,"{'QuestionNo': 199, 'col-cnt': '2', 'row-cnt': '31', 'rows': ['National dykes damaged (3rd level or special level)', 'Length', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Local dyke, inferior and ring dyke (4th level downward)', 'Length', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Damaged embankments', 'Length', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Irrigation channels damaged and washed away', 'Length', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Small irrigation works damaged and washed away', 'Length', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Reservoir damage', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Dams damaged', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Temporary dams damaged', 'Amount of earth lost', 'Amount of stone and concrete lost', 'Pumping station damaged', 'Other irrigation works damaged'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Quantity', 'Average Unit Cost (*)']}"
Viet Nam DANA-3,Template 3  DAMAGE REPORT ,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT3-1-1,End,3,Title/position,String,,261,DANAT3-11
