"Template","Section","Posn","Method","Rules"
"PMI","Assessment data",1,1,"[[ 'PMI-Ass-1', 'PMI-Ass-2', 'PMI-Ass-3', 'PMI-Ass-4' ]]"
"PMI","General",2,1,"[['PMI-Gen-6'], ['PMI-Gen-7', 'PMI-Gen-8', 'PMI-Gen-9']]"
"PMI","Demographic data",3,1,"[[{'columns':[['PMI-Dem-1','PMI-Dem-2','PMI-Dem-','PMI-Dem-15','PMI-Dem-16','PMI-Dem-17'],[{'heading':'Source of information'},'PMI-Dem-18','PMI-Dem-19','PMI-Dem-20']]}],'PMI-Dem-21']"
"PMI","Transportation access",4,1,"[['PMI-Tra-1', 'PMI-Tra-2'], ['PMI-Tra-3']]"
"PMI","Shelter",5,1,"[['PMI-Shl-', 'PMI-Shl-7', 'PMI-Shl-8', 'PMI-Shl-9'], ['PMI-Shl-10']]"
"PMI","Water and Sanitation",6,1,"[['PMI-WASH-A-'],['PMI-WASH-B-','PMI-WASH-51','PMI-WASH-52','PMI-WASH-53','PMI-WASH-54'],['PMI-WASH-55','PMI-WASH-56','PMI-WASH-57'],['PMI-WASH-58'],['PMI-WASH-59'],['PMI-WASH-60'],['PMI-WASH-61','PMI-WASH-62','PMI-WASH-63','PMI-WASH-64'],['PMI-WASH-65','PMI-WASH-66','PMI-WASH-67','PMI-WASH-68','PMI-WASH-69','PMI-WASH-70'],['PMI-WASH-71'],['PMI-WASH-72'],['PMI-WASH-73'],['PMI-WASH-74','PMI-WASH-75','PMI-WASH-76','PMI-WASH-77','PMI-WASH-78','PMI-WASH-79','PMI-WASH-80'],['PMI-WASH-81','PMI-WASH-82','PMI-WASH-83'],['PMI-WASH-84','PMI-WASH-85']]"
"PMI","Food",7,1,"[[{'columns':[['PMI-Food-1', 'PMI-Food-2', 'PMI-Food-3', 'PMI-Food-4', 'PMI-Food-5', 'PMI-Food-6', 'PMI-Food-7', 'PMI-Food-8'],['PMI-Food-9', 'PMI-Food-10', 'PMI-Food-11', 'PMI-Food-12', 'PMI-Food-13']]}]]"
"PMI","Health",8,1,"[[{'columns':[['PMI-Health-1', 'PMI-Health-2', 'PMI-Health-3'],['PMI-Health-4'],['PMI-Health-A-']]}],[{'columns':[['PMI-Health-B-'],[{'heading':'Health services'},'PMI-Health-33', 'PMI-Health-34'],[{'heading':'Baseline data'},'PMI-Health-35', 'PMI-Health-36']]}],[{'columns':[['PMI-Health-37', 'PMI-Health-38'],['PMI-Health-39']]}]]"
"PMI","Restoring Family Links",9,1,"[['PMI-RFI-1',{'columns':[['PMI-RFI-2', 'PMI-RFI-3']]},['PMI-RFI-A-']],[[{'columns':[['PMI-RFI-B-', 'PMI-RFI-18', 'PMI-RFI-19']]}],{'columns':[[{'heading':'For those who died'}, 'PMI-RFI-14', 'PMI-RFI-15', 'PMI-RFI-16','PMI-RFI-17']]}]]"
"PMI","Psychosocial support",10,1,"[['PMI-PSP-1', 'PMI-PSP-2', 'PMI-PSP-3'], [{'columns':[['PMI-PSP-4', 'PMI-PSP-5']]}, 'PMI-PSP-6', 'PMI-PSP-7']]"
"PMI","Non-Food Items",11,1,"[['PMI-NFI1', 'PMI-NFI-2','PMI-NFI-3']]"
"PMI","Logistic information ",12,1,"[['PMI-Log-1', 'PMI-Log-2', 'PMI-Log-3', 'PMI-Log-4'], ['PMI-Log-5', 'PMI-Log-6']]"
"PMI","IT Telecom",13,1,"[[{'columns':[['PMI-ICT-1', 'PMI-ICT-2', 'PMI-ICT-3', 'PMI-ICT-4', 'PMI-ICT-5', 'PMI-ICT-6', 'PMI-ICT-7', 'PMI-ICT-8']]}, 'PMI-ICT-9', 'PMI-ICT-10']]"
"PMI","PMI action and other organisation",14,1,
"PMI","Recommendations",15,1,
