"Template","Section","Posn","Method","Rules"
"72 Hour B","Background Info",1,1,"[['72Bd.1'], ['72B1.1', '72B1.2'], ['72B2.1', '72B2.2'], ['72B3'], ['72B4', '72B4.1'], ['72B5', '72B6'], ['72B7.1', '72B7.2', '72B7.3'], ['72B8.1', '72B8.2', '72B8.3', '72B8.4'], ['72B9.1', '72B9.2', '72B9.3', '72B9.4', '72B9.5'], ['72B10']]"
"72 Hour B","Relief",2,1,"[['72B11.1', '72B11.2'], ['72B11.3', '72B11.4'], [{'columns': [['72B11.5', '72B11.6', '72B11.7'], ['72B11.8']]}], ['72B11.9']]"
"72 Hour B","Food and Nutrition",3,1,"[[{'columns': [['72B12.1', '72B12.1.1'], ['72B12.2', '72B12.2.1']]}], ['72B12.4'], [{'columns': [['72B12.5', '72B12.5.1', '72B12.5.2', '72B12.5.3', '72B12.5.4'], ['72B12.6', '72B12.6.1']]}], ['72B12.7'], ['72B12.8', '72B12.8.1']]"
"72 Hour B","Health",4,1,"[[{'columns': [['72B13.1'], ['72B13.2', '72B13.2.1', '72B13.2.2']]}], ['72B13.3', '72B13.4'], ['72B13.5'], ['72B13.5.1'], ['72B13.5.2'], ['72B13.5.3'], ['72B13.5.4'], ['72B13.5.5'], ['72B13.6', '72B13.7']]"
"72 Hour B","Safety, security and protection",5,1,"[[{'columns': [['72B14.2', '72B14.2.1', '72B14.3', '72B14.3.1'], ['72B14.1']]}], [{'columns': [['72B14.4', '72B14.4.1', '72B14.4.2', '72B14.4.3', '72B14.4.4']]}], ['72B14.5'], [{'columns': [['72B14.6.1', '72B14.6.2', '72B14.6.3', '72B14.6.4', '72B14.6.5']]}]]"
"72 Hour B","Water and Sanitation",6,1,"[['72B14.7'], [{'columns': [['72B15.1.1', '72B15.1.2', '72B15.1.3'], ['72B15.2', '72B15.2.1'], ['72B15.3'], ['72B15.4.1', '72B15.4.2', '72B15.4.3']]}], ['72B15.5', '72B15.6'], ['72B15.7', '72B15.8']]"
"72 Hour B","Shelter",7,1,"[[{'columns': [['72B16.1.1', '72B16.1.2', '72B16.1.3', '72B16.1.4', '72B16.1.5', '72B16.1.6'], [{'heading': 'If homes have been severely damaged or destroyed, where are people living?'}, '72B16.2.1', '72B16.2.1.1', '72B16.2.2', '72B16.2.2.1', '72B16.2.3', '72B16.2.3.1']]}], [{'columns': [['72B16.3.1', '72B16.3.2'], ['72B16.4.1', '72B16.4.2', '72B16.4.3', '72B16.4.4', '72B16.4.5']]}], [{'columns': [['72B16.5.1', '72B16.5.2', '72B16.5.3', '72B16.5.4'], ['72B16.6']]}]]"
"72 Hour B","Livelihoods",8,1,"[['72B17.1', '72B17.1.1'], [{'columns': [['72B17.2', '72B17.3'], ['72B17.3.1']]}], ['72B17.4', '72B17.4.1'], ['72B17.5'], ['72B17.6']]"
"72 Hour B","Infrastructure",9,1,"[['72B18.1'], [{'columns': [['72B18.2.1', '72B18.2.2', '72B18.2.3', '72B18.2.4', '72B18.2.5', '72B18.2.6', '72B18.2.7', '72B18.2.8', '72B18.2.9', '72B18.2.10'], ['72B18.3.1', '72B18.3.2', '72B18.3.3', '72B18.3.4', '72B18.3.5']]}]]"
"72 Hour B","Response",10,1,"[['72B19.1'], ['72B19.2'], ['72B19.3'], ['72B19.3.1'], ['72B-Re-5']]"
