"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Background Information",1,"Capacity to respond quickly","YesNo",,1,"24H-BI-1",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Background Information",1,"Type of disaster","String",,2,"24H-BI-2",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Background Information",1,"Name of contact person in the community","String",,3,"24H-BI-3",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Background Information",1,"Contact Person contact Info","String",,4,"24H-BI-4",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Persons # Injured","Numeric",,5,"24H-H-1",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Persons # Dead","Numeric",,6,"24H-H-2",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Persons # Missing","Numeric",,7,"24H-H-3",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Currently known families displaced","Numeric",,8,"24H-H-4",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Currently known families evacuated","Numeric",,9,"24H-H-5",
"24 Hour B","Rapid onset disaster. First 24 hours, rapid field assessment form (B)","Name of assessment team leader'","Date of Assessment'","Time of Assessment","['L0','L1','L2','L3','Lat','Lon']","24H-S-1","Human",2,"Families displaced projected","Numeric",,10,"24H-H-6",
