Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Background Information,1,Type of disaster (specify):,String,,1,DANAT2-1
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,Human Impact,Grid,Person,2,DANAT2-6-,"{'QuestionNo': 1, 'col-cnt': '2', 'row-cnt': '19', 'rows': ['Number of dead people', 'Children (under age of 16)', 'Female', 'Number of missing people', 'Children (under age of 16)', 'Female', 'Number of injured people', 'Children (under age of 16)', 'Female', 'Number of affected people', 'Children (under age of 16)', 'Female', 'Number of affected households', 'Children (under age of 16)', 'Female', 'Number of evacuated people', 'Children (under age of 16)', 'Unaccompanied children (under the age of 16)', 'Female'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Person', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,Shelter,Grid,,40,DANAT2-7-,"{'QuestionNo': 39, 'col-cnt': '2', 'row-cnt': '5', 'rows': ['Houses destroyed/swept away/totally submerged', 'Households without shelter', 'People without shelter', 'Children (under age of 16)', 'Female'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Person', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,WatSan,Grid,Person,50,DANAT2-8-,"{'QuestionNo': 49, 'col-cnt': '2', 'row-cnt': '3', 'rows': ['People without access to drinking water', 'Children (under age of 16)', 'Female'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Person', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,Food,Grid,Person,56,DANAT2-9-,"{'QuestionNo': 55, 'col-cnt': '2', 'row-cnt': '3', 'rows': ['People without food', 'Children (under age of 16)', 'Female'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Person', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,Telecommunications,Grid,Commune,62,DANAT2-10-,"{'QuestionNo': 61, 'col-cnt': '2', 'row-cnt': '2', 'rows': ['Landline phone not working', 'Mobile phone network not working'], 'data': [['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Commune', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-1,2,Logistics,Grid,Commune,66,DANAT2-11-,"{'QuestionNo': 65, 'col-cnt': '2', 'row-cnt': '3', 'rows': ['Access to the affected areas', 'No/limited access to affected areas', 'Electrical power supply not working'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Commune', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-2,3,Human Protection,Grid,,72,DANAT2-12-,"{'QuestionNo': 1, 'col-cnt': '3', 'row-cnt': '2', 'rows': ['Search and rescue', 'Evacuation'], 'data': [['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String']], 'columns': ['Number of communes', 'Number of households', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-2,3,Shelter,Text,(specify type),78,DANAT2-13
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-2,3,Food,Grid,,79,DANAT2-14-,"{'QuestionNo': 8, 'col-cnt': '3', 'row-cnt': '3', 'rows': ['Instant noodles', 'Dry food', 'Rice'], 'data': [['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String']], 'columns': ['Number of communes', 'Number of households', 'Description']}"
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-2,3,Health,Text,(specify urgent needs),88,DANAT2-15
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,Part-2,3,Logistics,Text,(specify),89,DANAT2-16
Viet Nam DANA-2,Template 2  HUMAN IMPACT AND IMMEDIATE NEEDS (within 36 hours),Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",DANAT2-6-1,End,4,Title/position,String,,90,DANAT2-5
