Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Background Information,1,Type of disaster,String,,1,EDN-2
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Background Information,1,Assessment team members,Text,,2,EDN-7
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,a) Security situation:,String,,3,EDN-8
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,b) Total population of Upazila by affected Union:,String,,4,EDN-9
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,c) Number of families affected:,Numeric,,5,EDN-10
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,d) Number of houses damaged:,Option,,6,EDN-11,"{'1': 'Totally', '3': 'Partially', '2': 'Heavily', 'Length': '3'}"
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,e) Number of deaths:,Numeric,,7,EDN-12
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,f) Number of people missing:,Numeric,,8,EDN-13
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,g) Number of people injured:,Numeric,,9,EDN-14
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,h) Number of people in shelters (specify place):,String,,10,EDN-15
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,i) Weather pattern and other conditions:,String,,11,EDN-16
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Observations,2,j) Progress of disaster:,String,,12,EDN-17
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Damage,3,a) Schools:,String,,13,EDN-18
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Damage,3,b) Market Places: ,String,,14,EDN-19
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Damage,3,c) Roads:,String,,15,EDN-20
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Damage,3,d) River Embankments:,String,,16,EDN-21
Emergency Damage and Needs,Emergency Damage and Needs,Name of team leader,Date of Assessment,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",EDN-28,Damage,3,e) Electricity:,String,,17,EDN-22
