"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lon","STD-Lat","72H-137","72H-16","72H-17","72H-18","72H-19","72H-20","72H-24","72H-21","72H-22","72H-23","72H-25","72H-28","72H-29","72H-26","72H-27","72H-30","72H-32","72H-34","72H-35","72H-36","72H-37","72H-38","72H-39","72H-40","72H-41","72H-42","72H-43","72H-44","72H-45","72H-46","72H-47","72H-48","72H-49","72H-50","72H-51","72H-52","72H-53","72H-54","72H-55","72H-56","72H-57","72H-58","72H-59","72H-60","72H-61","72H-62","72H-64","72H-66","72H-67","72H-68","72H-69","72H-70","72H-71","72H-74","72H-75","72H-76","72H-77","72H-78","72H-79","72H-80","72H-81","72H-82","72H-83","72H-73","72H-84","72H-85","72H-86","72H-87","72H-88","72H-89","72H-90","72H-91","72H-92","72H-93","72H-94","72H-95","72H-96","72H-97","72H-100","72H-101","72H-98","72H-99","72H-102","72H-103","72H-104","72H-105","72H-106","72H-107","72H-108","72H-109","72H-110","72H-111","72H-112","72H-113","72H-114","72H-115","72H-116","72H-118","72H-120","72H-121","72H-122","72H-123","72H-124","72H-125","72H-126","72H-127","72H-128","72H-129","72H-130","72H-131","72H-132","72H-133","72H-134","72H-135","72H-136","72H-2","STD-WHO","72H-3","72H-4","STD-DATE","STD-TIME","72H-6","72H-7","72H-8","72H-9","72H-10","72H-11","72H-12","72H-13","72H-14","72H-15","72H-1"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatera","Kota Padang","Andalas",100.385339966,-0.951576004,"Urban","Mobile Phone up and running, landlines will probably never be replaced as Government has promised to swap for Optic Fibre","About to start rainy season","NO ! mostly rubish","dangerous many are balancing",0,"fine but they are all dirty and some still burried in rubble, need to be dug ot and cleaned prior to rainy season or all destroyed","none really, except lack of shelter adversly affecting the weak, old and frail",0,"OLD and Frail see above","a pet dog and two goldfish... what does this question mean","No","Short term need as shops are destroyed, in long run they will be fine as major infrastructure is fine and street side markets are already starting to spring up","Yes","limited quantities,  but diverse, extra rations being distributed by the Mosque","Only muslims ","No","Few","Few","Few","communal kitchens running well but people are bored with Masakan Padang every day","Yes",,"Masakan Padang, rendang, rice, soup buntut, limited vegitables lots of cholesterol","Non muslims are not being assisted by the mosque unless they convert, and there is a colony of lepers noone wants to help","as above","excellent its a major city","NA","NA",0,"good, easy access, but it costs a lot and they are quite full","No","Yes","No","No","No","Psycho Social and minor cuts and bruises, roving doctor would be good to take case load of major hospitals","unclear","No",,"No","in what way affected??? the government has a range of lists, i.e house damage, loss of work, injured etc etc ",,,,"No","No","No","No","No","No","No",,"Yes","Yes","Yes","No",,"No change ","No","Yes","No","in septic based toilets ","Normal","yes","Yes","High","Low","Low","Medium","Medium","Medium","Yes",0,"Yes",0,"No",,"Yes","No","No","No","Yes","Yes","shopping centres are all destroyed","Yes","No","Yes","No","What oin earth does this question mean?","work in city (shops, offices, urban jobs)","shop workersand government workers ","NA city",,"houses are broken and so are the shops. income as above, food from shops",,"shops and offices and all their fittings","nope","car from any direction","NA","ok","NA","fine","fine, always used non sealed septics, so although cracked still the same ","broken","ok","ok now","ok now","ok","Hazardous material","Yes","Yes","Yes","Yes","hundreds!",2300,"Dave","Pak Soeharto","Udah meninggal tapi, masih kuat dan bisa kasih jawaban tentang banyak hal kalau di tanya",,5,8,22,25,10,100,190,20,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","padang","padang","Anduring ",100.406069031,-0.9510834312,"Urban","mobile ok most of the time ","monsoon rain season","no","bad damage",0,"muslim country","further collapse and death from injuries",150,"all","normal","No",,"Yes","simple staples","few have access market collapsed","No","Few","Few","Few",,"Yes",,"rice, chicken,goat, vegetable","all",,"normal","some injured in hospital","people get better and go home, but no home to go to",0,"damaged","Yes","No","No","No","No","set up alternative accommodation",,"Yes",10,"No",,,,,,"Yes","Yes","Yes","No","No","Yes","no","No","No","No","Yes",,"water tank","Yes","Yes","No","normal practice using own bathroom","Increasing","no","No","Medium","Medium","Medium","Medium",,"High","Yes",0,"Yes",0,"No",,"Yes","No","Yes","No","No","Yes","Some can work from home, some cannot","Yes","No","Yes","No","brick houses with corrugated iron roof","farmer, government office worker, small business",,"Rice and vegetable growing. Many work for different owners","Some shops collapsed, and market",,"some unable to open dur to damaged buildings","yes they are under collapsed house","possibly","helicopter","n/a","n/a","damaged","damaged","damaged","damaged","damaged","out",,"n/a",,,"Yes","Yes","Yes","PMI, CARE, Save the Children, Islamic Relief",625,"Michele Young","Fatini Zulkifli",135586897230,40897,0,180,72,240,23,32,57,112,3,140,10,"earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Pariaman","Batang Anai",100.28964,0.81079,"Urban","mobile","potential rain in a few weeks","40% no","timber frame with plastic coverings, family tents",350,"sarong (mend & women), blankets, t-shirts, shirts",,,,"cooking utensils, beddings","Yes","nearby shops have reopened, NGOs distributing rice","Yes",,"all","Yes","Many","Few","Many",,"Yes","next to home, RC communal kitchen","rice, vegetable, meat",,,,,,0,"small clinic in town, minor damage","No","Yes","Yes","No","Yes","medicines",,"No",,"No",,,,,"Yes","Yes","No","No","No","No","No","no","Yes","Yes","Yes","No","water trucking","barrels, buckets","No","Yes","No","toilets in houses and public buildings","Normal","yes","Yes","Medium","Low","Low","Low","Medium","Medium","Yes",800,"Yes",100,"Yes",250,"No","No","No","No","Yes","Yes",,"Yes","No","Yes","No",,"shops and day labour","shops and day labour","few, growing vegetable",,"shops",,,,"road",,,,"not affected","not affected","moderage damage","minor damage","low","mobile is working",,,"No","No","Yes","Yes",,1250,"Wan Sophonpanich","Adjie",,40897,22,25,4,,35,135,100,175,,250,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","Padang","Padang Pariaman","Cubada",100.53925537,2.8620319461,,"mobile phone, VHF, HF","heavy rain","yes to all except for wind",,,,,,,,"Yes","WFP, PMI and other donors","Yes",,,,,,,,,,,,,,,,,,,,,,,,,"Yes",,"Yes",,,,,"No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Enough source, WatSan around","Water bucket","No","Yes","No","No","Normal","No","No","Medium","Medium",,"Medium","Medium","High","Yes",,,,,,,,,,,,,,,,,,"fishing, agriculture",,,,,,,,"land/ road","no railway","none","bad as repairing","good in urban, moderate in village","good and accessible","some are good and becoming temporary shelter, some are repairing","hospital is moderate and accessible, clinics are good","moderate as repairing in progress","moderate as repairing in service","good and accessible","Hazardous material","No","Yes","Yes","Yes","PMI, IFRC, WFP, WHO, UNICEF",3454,"Greg McDonald","Ariel Widoyo","Head of Shelter Officer",,0,503,200,39,158,102,39,150,98,350,135,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","Padang","Padang Pariaman","Cubada",100.53925537,2.8620319461,"Peri-Urban","mobile phone, VHF, HF","heavy rain","yes to all except for wind",,,"ok","food",0,"all because the rice storage damaged","agriculture","Yes","WFP, PMI and other donors","Yes","packed food","accessible to all","Yes","Few","Few","Few",,,"central rice storage silos and agriculture processing and packing factory have been completely destroyed","rice","yes","most of them as rice storage is destroyed",,,,,,,,,,,,,"Yes",,"Yes",,,,,"No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Enough source, WatSan around","Water bucket","No","Yes","No","No","Normal","No","No","Medium","Medium",,"Medium","Medium","High","Yes",,,,,,"Yes","Yes","No","Yes","Yes","Yes",,"Yes","No","Yes","No","hot and humid throughout the year, rain heavily during monsoon","fishing, agriculture (grow paddy, fruits, vegetables)","farmer, factory worker, fisherman","paddy field","most of them are farmers and they own their land through inheritance",,,"yes","yes","land/ road","no railway","none","bad as repairing","good in urban, moderate in village","good and accessible","some are good and becoming temporary shelter, some are repairing","hospital is moderate and accessible, clinics are good","moderate as repairing in progress","moderate as repairing in service","good and accessible","Hazardous material","No","Yes","Yes","Yes","PMI, IFRC, WFP, WHO, UNICEF",3454,"Greg McDonald","Ariel Widoyo","Head of Shelter Officer",,0,503,200,39,158,102,39,150,98,350,135,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Kep. Mentawai","Fino",97.3991186523,1.4653562212,"Rural","good","Hot weather and high humidity (tropical weather)","yes","good",0,"Bed sheets","None",0,"None","kitchen utensils, clothing, soap","Yes","the market and farms have not been affected","Yes","Rice, coconuts, vegetables, fruits","Accessible to all affected","Yes","Many","Few","Many",,"Yes","Buildings have not been affected and count with a kitchen","Fruits, fish, vegetables and rice","no","n/a","normal","n/a","n/a",0,"local health facility (primary health)","No","Yes","No","Yes","No","none",0,"No",0,"No","Not necessary as there have been no casualties nor remarkable damages",0,"n/a","n/a","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No",,"in water containers (plastic)","No","Yes","No","Letrines","Normal","Yes","Yes","Low","Low","Low","High","Low","Low","Yes",,"No",,"No",,"Yes","No","Yes","No","No","Yes","cut-off power","Yes","Yes","Yes","No",,"Agriculture: Rice, coconuts, banana, papaya, sugar cane, vegetable. Fishing: using small fishing boats,","Agriculture: Rice, coconuts, banana, papaya, sugar cane, vegetable. Fishing: using small fishing boats, ","Farmers own their own lands",,"The electric cut off is affecting some shops to keep food refrigerated",,"For the time being not, but there is a concern about the possibility of diesel shortage (for fishing boats)","No","Road or small boats","n/a","good","good","good","not affected","good","good","bad, cut off power","good","n/a",,"No","Yes","Yes","Yes","Lembaga Fajar Harapan, ASB",4670,"Juan Galvez","Bouanti Yusoff ",6244533344,,0,5,0,0,17,0,0,7,0,7,0,"Earhquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatera","Kota Padang","Ganting",100.429872742,-0.4490128255,"Urban","all fine","Tropical ","no","very poor",2000,"mixed but poor","poor water",0,"across the board but particularly those living in apartments","town water supply but now using their old wells","No","market access still very low, no immediate shortage but may become a problem soon","Yes","mixed","all","Yes","Many","Many","Many",,"Yes",,"rice and oil","no",,"high cholesterol diet but diverse","fear of the trotts",,500,"good but overcrowded","Yes","Yes","Yes","No","Yes","support hospitals, bring in doctors and supllies",,"No",,"No",,,,,"No",,"No","No","No","No","No",,"Yes","Yes","No","Yes"," local water supply is not operating, so people are having to rely on local wells."," local water supply is not operating, so people are having to rely on local wells.","No","Yes","No","in septic based toilets as per pre disaster","Increasing","yes","Yes","Medium","High","Low","Low","Medium","Medium","Yes",0,"No",,"No",,"No","No","No","No","Yes","No",,"Yes","No","Yes",,,"work in local shops",,"NA",,,,,,"easy access by road","NA","ok","NA","difficult","ok","ok","ok","ok","ok","ok","Hazardous material","Yes","Yes","Yes","Yes",,9842,"Dave","Pak budhi",81392099666,,,100,100,100,10,190,100,20,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Pariaman","IV Koto Aur Malintang",100.087793579,-0.3693057096,"Rural",,"potential rain in a few weeks","80% no","timber frame with cloth coverings",970,"sarong (mend & women), blankets, t-shirts, shirts",,,,"cooking utensils, beddings","No","planting season just started, low food storage","No",,"few","Yes",,"Many","Many",,"Yes","next to home, with host families","rice, vegetable",,,"small percentage of malnutrition",,,0,"remote area, central health care in town","Yes","No","Yes","No","Yes","mobile field clinic","potential increase in malnutrition","No",,"Yes","with village leader",,,"through village leader","Yes","No","No","No","No","No","No","no","Yes","Yes","Yes","No","nearby fresh water source","rain harvesting at home, barrels, buckets","No","Yes","No","pit latrines","Normal","yes","Yes",,"Low","Low","Low","Medium","Low","Yes",800,"Yes",200,"No",,"Yes","Yes","Yes","No","No","Yes",,"Yes","No","Yes","No",,"farming and livestocks","farming and livestocks","rice, vegetable",,"trading",,,,"road",,,,"not affected","not affected","schools in nearby town is destroyed","hospital in nearby town is damaged","power line is down","mobile is working",,,"No","No","Yes","No",,1222,"Wan Sophonpanich","Adjie",,40897,21,124,23,,75,58,67,180,,200,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Bukittingi","Kota Bukittinggi",100.359483948,-0.3151946163,"Peri-Urban","radio, mobile phones","the weather remains good to-date","no","salvaged material, inadequate coverings",8300,"sarong and tops, blankets, beddings","water",3000,"children and elderly due to exposure","kitchen, latrines, 2-3 rooms house","No","lack of access and cash as local business struggle to set up","Yes","rice","only a few","No","Few","Few","Many",,"Yes","through host families and collective centres such as school where communal kitchens are being set up","rice, fish, meat","no",,"no",,,0,"only 1 clinic in town","Yes","Yes","No","No","Yes","possible mobile clinic for limited time","20% with minor injuries from earthquake","No",,"No","many are still living next to destroyed houses",,,"none","Yes","No","No","No","No","Yes","No","no","No","Yes","Yes","Yes",,"buckets","No","Yes","No","open, pit latrines","Normal","yes, at collective centres","No","High","High","High","Low","Low","Low","Yes",0,"Yes",2000,"Yes",5000,"Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","No","No","No",,"retail, labour and agriculture","retails, day labourer, farmers","rice farming on community land",,,,"shops, tools",,"by road, ",,,,"limited","limited","2 damaged","1 working","limited",,,,"Yes","Yes","Yes","Yes","CARE",105278,"Wan Sophonpanich","Adjie","081 2234 3923",,20,256,76,,5000,2000,9000,2500,,7000,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia",,"Padang Panjang","Kota Padang Panjang",100.416667,-0.45,"Urban",,,,"Bad",45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High",,,,,,,,,,,,"Yes","Yes","Yes","Yes",,"Yes",,"Yes",,"Yes",,,,,,,,,,,,,,,,,,,,,,,"No","Yes","Don't Know","Don't Know",,47824,"Fran Boon",,,,0,,376,,,,,,,,,"Earthquake"
