Template,Section,Posn,Method,Rules
PMI,Assessment Data,1,1,"[[{'heading': '1. Assessment Data'}], ['PMI-1', 'PMI-2']]"
PMI,Background Information,2,1,"[[{'heading': '2. General'}], ['PMI-3', 'PMI-4', 'PMI-5']]"
PMI,Demographic data,3,1,"[[{'heading': '3. Demographic data'}], [{'columns': [['PMI-8', 'PMI-9-', 'PMI-10', 'PMI-11', 'PMI-12'], ['PMI-13', 'PMI-14', 'PMI-15'], [[{'labelLeft': 'False'}, 'PMI-16']]]}]]"
PMI,Transportation access,4,1,"[[{'heading': '4. Transportation access'}], ['PMI-17', 'PMI-18'], ['PMI-19']]"
PMI,Shelter,5,1,"[[{'heading': '5. Shelter'}], ['PMI-26'], [{'columns': [['PMI-20-'], ['PMI-21', 'PMI-22'], ['PMI-23', 'PMI-24'], ['PMI-25']]}]]"
PMI,Water and Sanitation,6,1,"[[{'heading': '6. Water and Sanitation'}], ['PMI-27-'], [{'columns': [['PMI-28-'], ['PMI-29', 'PMI-30', 'PMI-31'], ['PMI-32']]}], ['PMI-36'], ['PMI-37'], [{'heading': 'Sanitation'}], ['PMI-38', 'PMI-39', 'PMI-40', 'PMI-41', 'PMI-42'], [{'columns': [['PMI-33'], ['PMI-34', 'PMI-35']]}], ['PMI-49'], ['PMI-50'], ['PMI-51'], [{'heading': 'Garbage'}], [{'columns': [['PMI-43'], ['PMI-44'], ['PMI-45'], ['PMI-46'], ['PMI-47', 'PMI-48']]}], [{'columns': [['PMI-52'], ['PMI-53', 'PMI-54'], ['PMI-55', 'PMI-56'], ['PMI-57'], ['PMI-58', 'PMI-59'], ['PMI-60', 'PMI-61']]}], ['PMI-66', 'PMI-67'], [{'columns': [['PMI-62', 'PMI-63', 'PMI-67'], ['PMI-64', 'PMI-65']]}]]"
PMI,Food,7,1,"[[{'heading': '7. Food'}], [{'columns': [['PMI-68', 'PMI-69', 'PMI-70', 'PMI-71', 'PMI-72', 'PMI-73', 'PMI-74', 'PMI-75'], ['PMI-76', 'PMI-77', 'PMI-78', 'PMI-79', 'PMI-80']]}]]"
PMI,Health,8,1,"[[{'heading': '8. Health'}], [{'columns': [['PMI-81', 'PMI-82', 'PMI-83'], ['PMI-84', 'PMI-85'], ['PMI-86-']]}], [{'columns': [['PMI-87-'], ['PMI-88', 'PMI-89'], ['PMI-90', 'PMI-91']]}], [{'columns': [['PMI-92'], ['PMI-93', 'PMI-94']]}]]"
PMI,Restoring Family Links,9,1,"[[{'heading': '9. Restoring Family Links (RFL)'}], [{'columns': [['PMI-95'], ['PMI-96', 'PMI-97'], ['PMI-98-']]}], [{'columns': [['PMI-99-', 'PMI-104', 'PMI-105'], ['PMI-100', 'PMI-101', 'PMI-102', 'PMI-103']]}]]"
PMI,Psychosocial support,10,1,"[[{'heading': '10. PSP'}], ['PMI-106', 'PMI-107', 'PMI-108'], [{'columns': [['PMI-109', 'PMI-110'], ['PMI-111'], ['PMI-112']]}]]"
PMI,Non-Food Items,11,1,"[[{'heading': '11. NFI'}], [{'columns': [['PMI-113', 'PMI-114'], ['PMI-115'], ['PMI-116']]}]]"
PMI,Logistic information,12,1,"[[{'heading': '12. Logistic information'}], ['PMI-117', 'PMI-118', 'PMI-119', 'PMI-120']]"
PMI,IT Telecom,13,1,"[[{'heading': '13. IT Telecom'}], ['PMI-130'], [{'columns': [['PMI-121', 'PMI-122', 'PMI-123', 'PMI-124', 'PMI-125', 'PMI-126', 'PMI-127', 'PMI-128'], ['PMI-129']]}]]"
PMI,PMI action and other organisation,14,1,"[[{'heading': '14. PMI action and other organisation'}], ['PMI-131', 'PMI-132']]"
PMI,Recommendations,15,1,"[[{'heading': '15. Comments, Recommendations'}], ['PMI-133'], ['PMI-134']]"
