Area Description,Event Type,Country,WKT
Southern part of Bago,Flood,Myanmar,"POLYGON((96.47525902724391 17.334356623289523,96.47500153518388 17.33591333337148,96.47482987379857 17.338535131033915,96.47585984206556 17.34074724367805,96.4768898103236 17.34173039629345,96.47955056167028 17.341484608633454,96.48195382094798 17.339927945808256,96.482983789206 17.336814580542462,96.48186799025532 17.334602420495848,96.48058052992832 17.332963766236755,96.47834893202695 17.332144433622545,96.47525902724391 17.334356623289523))"
Magway,Drought,Myanmar,"POLYGON((94.91566847897617 20.153248147290533,94.9182433996302 20.157760318961916,94.92510985470162 20.15904948691015,94.92974471188069 20.15550424942971,94.93249129391106 20.150025087678582,94.92922972775166 20.145512692452282,94.92459487057262 20.143578768872462,94.9196166906409 20.14196714759809,94.91635512448153 20.146963119423337,94.91566847897617 20.153248147290533))"
"Magway, Myanmar",Flood,Myanmar,"POLYGON((94.9165294680656 20.157407810246553,94.91635780668925 20.16433697840975,94.92837410306875 20.166431782629463,94.93936043119919 20.166431782629463,94.94622688627062 20.164659257812396,94.94708519316129 20.15547403399149,94.94639854765595 20.142742742412324,94.94536857938895 20.1335562292928,94.94124870633891 20.127431587187544,94.93215065336611 20.127270409155322,94.92459755278036 20.12920453458126,94.91824608182895 20.13968063138752,94.91549949979859 20.151122949830178,94.9165294680656 20.157407810246553))"
Thanintharyi Coast,Tsunami,Myanmar,"POLYGON((96.83819543457666 17.315859439579224,97.76104699707689 17.357808290284122,98.5520626220745 13.418300947322754,99.03546105958102 11.659593360772346,98.90362512207844 10.192580808928856,98.72784387208095 9.846380669375145,98.77178918457584 9.976248972710756,96.83819543457666 17.315859439579224))"
Delta Area Myanmar,Tsunami,Myanmar,"POLYGON((94.42944299317108 16.609176406480266,94.16577111816589 15.955347781163018,94.84692346192182 15.743975003184174,95.50610314941683 15.76512222755109,96.03344689941824 16.166497851762585,96.69262658692224 16.693381461333338,96.93432580566653 17.155841759317184,97.21997033691467 17.470498212530064,97.26391564941852 17.65903202444695,94.42944299317108 16.609176406480266))"
Male Area,HEAVY RAIN,Maldives,"POLYGON((73.50347066085853 4.172385079178049,73.5042002217111 4.171914261393142,73.51046586196983 4.171957063021557,73.50295567672772 4.169474564715297,73.50183987777794 4.172513483979506,73.50347066085853 4.172385079178049))"
Male Area,Flood,Maldives,"POLYGON((73.53046441238402 4.225723332183696,73.52771783035276 4.212027634187991,73.5023119465642 4.190798826093935,73.48926568191592 4.172993574774166,73.50505852859547 4.1572424389443245,73.5284044758608 4.155872760067657,73.54419732254036 4.174363223846034,73.54763055007966 4.190114016221401,73.55175042312611 4.214766793100414,73.55381035965024 4.2325710905242016,73.54763055007966 4.242157850424823,73.52085137527503 4.244896902840342,73.52222466629023 4.246266425403918,73.52153802078307 4.245581664425847,73.53046441238402 4.225723332183696))"
Addu Area,Flood,Maldives,"POLYGON((73.36668470662076 4.523447330427206,73.36569765370368 4.522720041688309,73.36629846852266 4.521308243816468,73.36612680714543 4.520110352555849,73.36638429921173 4.518698549599865,73.366856367998 4.515233203417112,73.36865881245582 4.515917717555564,73.36865881245582 4.514634253016244,73.3669851140307 4.51270905195109,73.36719969075156 4.510783845780267,73.37346533101031 4.520238698142857,73.36668470662076 4.523447330427206))"
K.Dhiffushi,Flood,Maldives,"POLYGON((73.71340716045277 4.443561196575404,73.71498429935336 4.443144029578718,73.71250593822386 4.441047494432323,73.71235573451844 4.441218640381846,73.71274197261654 4.441988796663735,73.71340716045277 4.443561196575404))"
Tacloban,Flood,Philippines,"POLYGON((124.93571965606178 11.27926149094153,124.93571965606178 11.163416290235642,125.12798039825047 11.160721663847708,125.11974065215935 11.303502266433007,124.91374699980986 11.308888827210723,124.94121282012253 11.27926149094153,124.93571965606178 11.27926149094153))"
Mayon Volcano Alert Level 1,Volcano,Philippines,"POLYGON((123.68225364596705 13.267330026595344,123.6709239950929 13.259310067924979,123.67401389987594 13.242600971227528,123.69152336032514 13.242600971227528,123.70559959323866 13.24494031383469,123.69289665134482 13.270337442865305,123.68774681003676 13.270671597930395,123.68225364596705 13.26900081800713,123.68225364596705 13.267330026595344))"
Mayon Volcano Alert Level 2,Volcano,Philippines,"POLYGON((123.6654791107805 13.287357881707855,123.65655271918405 13.264635851244096,123.67440550238595 13.242580084137263,123.69500486761818 13.24525361693934,123.71354429633439 13.261294196914774,123.69981138617358 13.285353082208646,123.68745176703244 13.288694405504732,123.68058531195202 13.29003092193739,123.67646543891097 13.291367431006925,123.6654791107805 13.287357881707855))"
Mayon Volcano Alert Level 3,Volcano,Philippines,"POLYGON((123.65484683426062 13.30460682602171,123.67819278152325 13.313293480843946,123.72145144851277 13.297924571909084,123.73655764968431 13.278544993630021,123.74067752273433 13.255153787349641,123.73037784011822 13.235102391215325,123.72007815750207 13.216386265612526,123.70153872878586 13.207027664220861,123.6809393635536 13.20234822898055,123.657593416291 13.207696147649063,123.63836734206944 13.223070761121983,123.62532107742295 13.249806909898986,123.62326114089791 13.269188781322057,123.63218753250337 13.284559511164817,123.64386050613017 13.29859280561102,123.64866702468557 13.303270389939112,123.65210025223027 13.305943254731936,123.65484683426062 13.30460682602171))"
Mayon Volcano Alert Level 4,Volcano,Philippines,"POLYGON((123.67072551163015 13.28531131537773,123.64875285537823 13.270608943890657,123.65149943740859 13.237191155364235,123.67759196671057 13.221148987427057,123.7174174061554 13.230507047050185,123.72840373428586 13.261252425946426,123.71879069717508 13.28531131537773,123.68171183975161 13.304022136142256,123.67072551163015 13.28531131537773))"
Mayon Volcano Alert Level 5,Volcano,Philippines,"POLYGON((123.67349355133146 13.303771554333672,123.63366811187764 13.281051060714317,123.63504140288833 13.228919544381238,123.67761342437251 13.20619205736148,123.72430531890674 13.219561423821544,123.73941152007825 13.259665123775472,123.72155873687636 13.293079822489023,123.69683949859407 13.31045364719925,123.68036000640286 13.315799188754257,123.67349355133146 13.303771554333672))"
