Name,Module,Resource,Body,Comments
RegistrationCitizenIntroDisabled,auth,user,"Use this form to register as a private citizen, so you can use the portal to report your personal needs and find matching offers of assistance and supplies",
RegistrationOrgIntroDisabled,auth,user,"Use this form to register an an organization / corporation, so you can use the portal to offer assistance and supplies from your organisation",
WelcomeMessageCitizen,auth,user,"Welcome to the {system_name} Portal

- To edit your profile go to: {profile}

Thank you",
HomepageIntro,default,index,Die konkreten Hilfsangebote in diesem Portal stehen nur registrierten Benutzern zur Verfügung - öffentliche Informationen über die Hilfsangebote werden in Kürze bereitgestellt.,
OrgSelfPresentationIntro,org,organisation,"Bitte beschreiben Sie kurz Ihre Organisation, und wie Sie beabsichtigen in der Situation zu helfen. Diese Information ist für die Freigabe Ihres Benutzerkontos zwingend erforderlich.",
Subject WelcomeProvider,auth,user,Welcome to the {system} Portal,
Message WelcomeProvider,auth,user,"Your account at the {system} Portal has been approved, you can now login.

- Visit the portal: {homepage}
- To edit your profile go to: {profile}

Thank you",
Message RejectProvider,auth,user,"Your registration has been rejected:

{reason}",
Subject RejectProvider,auth,user,Your registration at the {system} Portal was unsuccessful,
Message DirectOfferNotification,br,direct_offer,"Zu ihrer Bedarfsmeldung:

*** {subject} ***

wurde folgendes Angebot gemeldet:

---

Anbieter: {provider}

Ref.Nr.: {refno}
Kurzbeschreibung: {title}

Ort: {place}

Details:
{details}

Kostenpflichtig: {chargeable}
Verfügbar ab: {available_from}
Verfügbar bis: {available_until}
Aktuelle Verfügbarkeit: {availability}

Kontakt:
Name: {name}
Telefon: {phone}
Email: {email}

---

Sie können dieses Angebot online einsehen unter:
{offer_url}

Ihre Bedarfsmeldung können Sie hier einsehen und bearbeiten:
{need_url}
",
Subject DirectOfferNotification,br,direct_offer,{system}: Angebot zu Ihrer Bedarfsmeldung,
DirectOfferSelectorIntro,br,direct_offer,"Sie können aus ihren bestehenden Hilfsangeboten in dieser Bedarfskategorie auswählen, oder ein neues Angebot erstellen. Wenn Sie ein neues Angebot erstellen, wird dieses erst gemeldet wenn es durch den Administrator freigegen ist. In jedem Fall bleibt ihr Angebot für alle Benutzer sichtbar und ist nicht auf diese Bedarfsmeldung beschränkt.",
OfferDetailsIntro,br,assistance_offer,"Machen Sie möglichst genaue Detailangaben zu Ihrem Angebot, insbesondere bei Unterkünften und technischem Gerät, damit es schneller gefunden wird und direkt beurteilt werden kann ob es für einen bestimmten Bedarf passt.",
