Type,Protection,Comments
Food,false,
Health,false,
Essential Goods / Household,false,
Information / Guidance,false,
Clothing,false,
Legal Advice,false,
Medication / Treatment,false,
Other,false,
Protection,true,
Psychosocial Support,false,
Transportation,false,
Shelter,false,
Child Care,false,
Elderly Care,false,
Pet Care,false,
Cleanup Assistance,false,
Cleanup Equiment,false,
Heavy Machinery,false,
Drinking Water,false,
Household Appliances,false,
Support with Paperwork,false,
Telecommunication / IT,false,
Power Supply / Generators,false,
Technical Support,false,
Search & Rescue,false,
Repairs (other),false,
Repairs (building),false,
Repairs (electric),false,
Repairs (vehicles/machines),false,
Pumps,false,
