Organisation,Type,Protection,Comments
Example Organisation,Asylum Application,false,
Example Organisation,Cash,false,
Example Organisation,Education,false,
Example Organisation,Family Reunification,false,
Example Organisation,Food,false,
Example Organisation,Health,false,
Example Organisation,Information / Guidance,false,
Example Organisation,Job Seeking,false,
Example Organisation,Legal Advice,false,
Example Organisation,Medication / Treatment,false,
Example Organisation,Other,false,
Example Organisation,Protection,true,
Example Organisation,Psychosocial Support,false,
Example Organisation,Registration,false,
Example Organisation,Shelter,false,
Example Organisation,Support with Paperwork,false,
