"Template","Series","24H-BI-1","24H-BI-2","24H-BI-3","24H-BI-4","24H-BI-5","24H-BI-6","24H-BI-7","24H-BI-8","24H-BI-9","24H-BI-10","24H-BI-11","24H-BI-12","24H-BI-13","24H-H-1","24H-H-2","24H-H-3","24H-H-4","24H-H-5","24H-H-6","24H-H-7","24H-I-1","24H-I-10","24H-I-11","24H-I-12","24H-I-13","24H-I-14","24H-I-15","24H-I-2","24H-I-3","24H-I-4","24H-I-5","24H-I-6","24H-I-7","24H-I-8","24H-I-9","24H-L-1","24H-L-2","24H-L-3","24H-L-4","24H-L-5","24H-L-6","24H-L-7","24H-Re-1","24H-Re-2","24H-Re-3","24H-Re-4","24H-Re-5","24H-Ri-1","24H-Ri-2","24H-Ri-3","24H-Ri-4","24H-S-1","24H-S-2","24H-S-3","24H-S-4","24H-S-5","24H-S-6","24H-S-7","24H-S-8","24H-S-9"
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Nembadi",110,,,,,,,"nil",,50,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,2,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Sariri",40,,,,,,,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,5,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Ginei",50,,,,,,,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,4,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Ungoda",30,,,,,,,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Gora",80,,,,,,,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bareji",100,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Pongani",250,,,,,,,,,2352,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,55,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Songade",120,,,,,,,"nil",,119,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,16,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Emo",340,,,,,,,"nil",,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,34,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bandari",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
