Organisation,Acronym,Sectors,Services,Type,Country,Website,Twitter,Donation Phone,Comments
Los Angeles City Emergency Management Department,EMD,"Government, Emergency Management",,Government,US,http://emergency.lacity.org,ReadyLA,,
CERT Los Angeles,CERT,"Community, Emergency Management",,National NGO,US,http://www.cert-la.com,,,
American Red Cross of Greater Los Angeles,ARC,"Community, Housing / Shelter",,Red Cross / Red Crescent,US,http://redcrossla.org,redcrossla,,
LA Works,,Community,,National NGO,US,http://www.laworks.com,,,
Volunteer Center of Los Angeles,VCLA,Community,,National NGO,US,http://www.vcla.net,,,
Disaster Healthcare Volunteers,DHV,Community,,National NGO,US,http://www.lacountydhv.org,,,
Salvation Army,,Cultural / Faith Based Organization,,National NGO,US,http://www1.usw.salvationarmy.org/USW/www_usw_southcal.nsf/,,,
Catholic Charities of Los Angeles,,Cultural / Faith Based Organization,,National NGO,US,http://www.catholiccharitiesla.org,,,
California Southern Baptist Convention Disaster Relief,,Cultural / Faith Based Organization,,National NGO,US,http://www.csbc.com/disasterrelief,,,
Faithful Central Bible Church,,Cultural / Faith Based Organization,,National NGO,US,http://www.faithfulcentral.com,,,
LA Regional Food Bank,,Community,,National NGO,US,http://www.lafoodbank.org,,,
Lutheran Social Services of the Southwest,,Cultural / Faith Based Organization,,National NGO,US,http://www.lss-sw.org,,,
"Operation HOPE, Inc.",,Community,,National NGO,US,http://www.operationhope.org,,,
Tzu Chi Foundation,,Cultural / Faith Based Organization,,National NGO,US,http://www.us.tzuchi.org/us/en/,,,
United Way - Los Angeles,,Community,,National NGO,US,http://www.unitedwayla.org,,,
Los Angeles City Department of Animal Services,,Government,,Government,US,http://www.laanimalservices.com,,,
Los Angeles County Chief Information Office,,Government,,Government,US,http://egis3.lacounty.gov/egis/,,,
Los Angeles County Department of Public Health,,Government,,Government,US,http://publichealth.lacounty.gov,,,
Los Angeles County Department of Social Services,,Government,,Government,US,http://www.ladpss.org,,,
Los Angeles County Emergency Management Office,,"Government, Emergency Management",,Government,US,http://www.lacoa.org,,,
Walmart,,Business,,Business,US,http://www.walmart.com,,,
