Name,Project,Activity Type,Organisation Group,Country,State,District,City,Lat,Lon,ContactPerson,Comments,Beneficiaries:Total
First Aid Training,,Training,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,34.04008962,-118.2615446,,,12
Workshop,,Training,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,34.04941097,-118.4610231,,,23
Coalition Meeting,,Meetings,Culver City,US,California,Los Angeles County,Los Angeles,34.05235,-118.220466,,,40
Vaccination Campaign,,Outreach,Culver City,US,California,Los Angeles County,Los Angeles,34.053346,-118.219928,,,500
Free Music Festival,,Community Events,Huntington Park,US,California,Los Angeles County,Los Angeles,34.050449,-118.272361,,,1000
Community Gardening,,Training,Huntington Park,US,California,Los Angeles County,Los Angeles,34.064319,-118.265074,,,120
Fieldwork,,Outreach,La Crescenta,US,California,Los Angeles County,Los Angeles,34.05921555,-118.2510071,,,88
Neighborhood Watch,,Meetings,La Crescenta,US,California,Los Angeles County,Los Angeles,34.061518,-118.272079,,,124
Emergency Preparedness Campaign,,Outreach,Pico-Union,US,California,Los Angeles County,Los Angeles,34.01970751,-118.3556546,,,345
Farmer's Market,,Community Events,Pico-Union,US,California,Los Angeles County,Los Angeles,34.089461,-118.293173,,,600
First Aid Training ,,Training,Watts,US,California,Los Angeles County,Los Angeles,34.024868,-118.261606,,,32
Workshop,,Training,Watts,US,California,Los Angeles County,Los Angeles,34.049259,-118.257027,,,65
Coalition Meeting,,Meetings,Wilmington,US,California,Los Angeles County,Los Angeles,33.958834,-118.291917,,,32
Vaccination Campaign,,Outreach,Wilmington,US,California,Los Angeles County,Los Angeles,34.2328539,-118.5361364,,,346
Free Music Festival,,Community Events,Pomona,US,California,Los Angeles County,Pomona,34.060607,-117.746992,,,642
Community Gardening,,Community Events,Pomona,US,California,Los Angeles County,Pomona,34.05273819,-117.7538605,,,125
