Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Default,Individual,Style,Folder,Visible,Enabled,Cluster Distance,Cluster Threshold,Refresh,Opacity
Training (Community Data),,project,activity,activity,,{name},name,activity_type.name=Training,True,,,Activities,False,,30,,,
Outreach (Community Data),,project,activity,activity,,{name},name,activity_type.name=Outreach,,,,Activities,False,,30,,,
Meetings (Community Data),,project,activity,activity,,{name},name,activity_type.name=Meetings,,,,Activities,False,,30,,,
Community Events (Community Data),,project,activity,activity,,{name},name,activity_type.name=Community Events,,,,Activities,False,,30,,,
Evacuation Routes (Community Data),,vulnerability,evac_route,evac_route,,{name},name,,,,,Evacuation,False,,30,,,
Organizations,used for Summary View,org,organisation,organization,Building,{name} (T('Organization')),name,,True,,,,False,False,30,,,
Places,used for Summary View,org,facility,facility,Building,{name} (T('Place')),name,,True,,,,False,False,30,,,
Arts and Recreation (Community Data),,org,facility,arts,Building,{name} (T('Place')),name,facility_type.name__typeof=Arts and Recreation,,,,,False,,30,,,
Arts and Recreation (Community Data),,org,organisation,arts,Building,{name} (T('Organization')),name,service.name__typeof=Arts and Recreation,,,,Organizations,False,,30,,,
Communications (Community Data),,org,facility,communications,Building,{name} (T('Place')),name,facility_type.name__typeof=Communications,True,,,,False,,30,,,
Communications (Community Data),,org,organisation,communications,Building,{name} (T('Organization')),name,service.name__typeof=Communications,True,,,Organizations,False,,30,,,
Community Groups (Community Data),,org,organisation,people,Building,{name} (T('Organization')),name,service.name__typeof=Community Groups,,,,Organizations,False,,30,,,
Education (Community Data),,org,facility,education,Building,{name} (T('Place')),name,facility_type.name__typeof=Education,,,,,False,,30,,,
Education (Community Data),,org,organisation,education,Building,{name} (T('Organization')),name,service.name__typeof=Education,,,,Organizations,False,,30,,,
Emergency Response (Community Data),,org,organisation,emergency,Building,{name} (T('Organization')),name,service.name__typeof=Emergency Response,,,,Organizations,False,,30,,,
Environment (Community Data),,org,facility,environment,Building,{name} (T('Place')),name,facility_type.name__typeof=Environment,,,,,False,,30,,,
Environment (Community Data),,org,organisation,environment,Building,{name} (T('Organization')),name,service.name__typeof=Environment,,,,Organizations,False,,30,,,
Government (Community Data),,org,organisation,government,Building,{name} (T('Organization')),name,service.name__typeof=Government,,,,Organizations,False,,30,,,
Health and Mental Health (Community Data),,org,organisation,health,Building,{name} (T('Organization')),name,service.name__typeof=Health and Mental Health,,,,Organizations,False,,30,,,
Municipal Services (Community Data),,org,organisation,municipal_services,Building,{name} (T('Organization')),name,service.name__typeof=Municipal Services,,,,Organizations,False,,30,,,
Physical Features (Community Data),,org,facility,mountain,Building,{name} (T('Place')),name,facility_type.name__typeof=Physical Features,,,,,False,,30,,,
Postal (Community Data),,org,organisation,post,Building,{name} (T('Organization')),name,service.name__typeof=Postal,,,,Organizations,False,,30,,,
Private Industry (Community Data),,org,organisation,industry,Building,{name} (T('Organization')),name,service.name__typeof=Private Industry,,,,Organizations,False,,30,,,
Public Safety (Community Data),,org,organisation,emergency,Building,{name} (T('Organization')),name,service.name__typeof=Public Safety,,,,Organizations,False,,30,,,
Social Services (Community Data),,org,organisation,people,Building,{name} (T('Organization')),name,service.name__typeof=Social Services,,,,Organizations,False,,30,,,
Transportation (Community Data),,org,facility,transport,Building,{name} (T('Place')),name,facility_type.name__typeof=Transportation&facility_type.name__ne=Alternative Fuel,,,,,False,,30,,,
Transportation (Community Data),,org,organisation,transport,Building,{name} (T('Organization')),name,service.name__typeof=Transportation,,,,Organizations,False,,30,,,
Debris Basins (Community Data),,org,facility,debris,,{name} (T('Debris Basin')),name,facility_type.name=Debris Basin,,,,,False,,30,,,
Flood Channel / Street Intersections (Community Data),,org,facility,manhole,,{facility_type.name},facility_type.name,facility_type.name=Flood Channel / Street Intersection,,,,,False,,30,,,
Water Storage Tanks (Community Data),,org,facility,water_tank,,{facility_type.name},facility_type.name,facility_type.name=Water Storage Tank,,,,,False,,30,,,
People (Community Data),,pr,person,trained,,{first_name} {last_name},"first_name,last_name",,True,,,People,False,,30,,,
Trained People (Community Data),,stats,people,people,,{name},name,~.parameter_id$name=Trained People&~.location_id$gis_feature_type=1,True,,,People,False,,30,,,
Team Zones (Community Data),,stats,people,,,{name},name,~.parameter_id$name=Trained People&~.location_id$gis_feature_type__ne=1,,True,"{'fill':'ffffff','fillOpacity':0.01,'stroke':'006633'}",People,False,,,0,,0.9
Hazards (Community Data),,vulnerability,risk,risk,Danger Area,{name} (T('Hazard')),name,~.location_id$gis_feature_type=1,True,,,Hazards,False,,,0,,
Hazard Areas (Community Data),,vulnerability,risk,,Danger Area,{name} (T('Hazard')),name,~.location_id$gis_feature_type__ne=1,,True,"{'fill':'ff0000','fillOpacity':0.5}",Hazards,False,,,0,,0.9
