Name,Description,Total
Population,Total Population,
White,,Population
Black or African American,,Population
American Indian and Alaska Native,,Population
Asian Indian,,Population
Chinese,,Population
Filipino,,Population
Japanese,,Population
Korean,,Population
Vietnamese,,Population
Other Asian,,Population
Native Hawaiian,,Population
Guamanian or Chamorro,,Population
Samoan,,Population
Other Pacific Islander,,Population
Some Other Race,,Population
Owner-occupied,Population in Owner-occupied,Population
