Name,Hazard,Description,Organisation Group,Country,L1,L2,L3,WKT
Chemical Factory,Chemical Slip,,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,"POLYGON((-118.18781603860334 34.47559522945364,-118.18781603860334 34.473047973890914,-118.18026293801756 34.473047973890914,-118.18026293801756 34.47559522945364,-118.18026293801756 34.47545371729615,-118.18781603860334 34.47559522945364))"
Nuclear Plant,Nuclear,,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,"POLYGON((-118.31626166390308 34.49692544191405,-118.31651915596306 34.49261031672186,-118.31025351570435 34.49261031672186,-118.310339346397 34.496996179810594,-118.31626166390308 34.49692544191405))"
Poor Drainage,Floods,,Culver City,US,California,Los Angeles County,Los Angeles,"POLYGON((-118.38797320412145 34.0132779495073,-118.39003314064647 34.008155301632236,-118.39260806130049 34.00402849943097,-118.38934649514111 33.999901496699806,-118.38934649514111 33.99278550386062,-118.37097872780124 33.99719748963475,-118.37475527809862 34.00459772545025,-118.37458361672228 34.011712728779216,-118.37355364845529 34.02110362030827,-118.37698687599999 34.02138817656204,-118.38539828346741 34.019538543862865,-118.38659991311076 34.01768887085815,-118.38797320412145 34.0132779495073))"
Steep Hills,Mud Slides,,Culver City,US,California,Los Angeles County,Los Angeles,
Dry plants,Wild Fires,,Huntington Park,US,California,Los Angeles County,Los Angeles,
Bars on Windows,Earthquakes,,Huntington Park,US,California,Los Angeles County,Los Angeles,
Poor Drainage,Floods,,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,
Steep Hills,Mud Slides,,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,
Dry plants,Wild Fires,,Pico-Union,US,California,Los Angeles County,Los Angeles,
Bars on Windows,Earthquakes,,Pico-Union,US,California,Los Angeles County,Los Angeles,
Poor Drainage,Floods,,Watts,US,California,Los Angeles County,Los Angeles,
Steep Hills,Mud Slides,,Watts,US,California,Los Angeles County,Los Angeles,
Dry plants,Wild Fires,,Wilmington,US,California,Los Angeles County,Los Angeles,
Bars on Windows,Earthquakes,,Wilmington,US,California,Los Angeles County,Los Angeles,
Poor Drainage,Floods,,Pomona,US,California,Los Angeles County,Pomona,
Steep Hills,Mud Slides,,Pomona,US,California,Los Angeles County,Pomona,
