Name,Organisation,Type,SubType,SubSubType,Address,L3,L2,L1,Postcode,Opening Times,Phone1,Comments,Website,Lat,Lon
Residential Program,,Health and Mental Health,Mental Health Programs,,44738 Sierra Highway,Lancaster,Los Angeles County,California,93534,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,(661) 942-5749,"Case Management, Crisis Intervention, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Therapeutic Behavioral Services (Tbs)<Br>Languages Spoken: English",,34.69526626,-118.1360705
Jewish Family Service Of Los Angeles - Family Violence Project,,Health and Mental Health,Mental Health Counseling,,2931 Redondo Avenue,Long Beach,Los Angeles County,California,90806,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,562490-7600,"Case Management, Medication Support, Mental Health Services",,33.80869832,-118.151981
Foothill Family Service - Duarte Office,,Health and Mental Health,Mental Health Counseling,,808 N Los Robles,Pasadena,Los Angeles County,California,91104,Operational Hours: Mon - Fri 9:30 am - 5:00 pm; Walk-In Hours: No Walk-ins,(626) 395-7100,"Case Management, Mental Health Promotion, Crisis Intervention, Medication Support, Mental Health Services, Psych Testing",,34.16025058,-118.1409188
Fuller Psychological And Family Services,,Health and Mental Health,Mental Health Counseling,,"520 S La Fayette Park Place, 3Rd Floor - Suite 300",Los Angeles,Los Angeles County,California,90057,Operational Hours: Mon 8:30 - 7:00 pm Tues -Fri 8:30 am - 6.00 pm; Walk-In Hours: No Walk-ins,(213) 252-2100,"Day Treatment, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Residential",,34.06376126,-118.2824114
Olive Vista,,Health and Mental Health,Mental Health Programs,,"23504 Lyons Avenue, Suite 204",Newhall,Los Angeles County,California,91321,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,(661) 259-9439,"Medication Support, Mental Health Services<Br>Languages Spoken: English, Spanish",,34.37941004,-118.5445223
VNA Care,Visiting Nurses Association,"Health and Mental Health,Social Services","Health Clinics;Children and Family Services",,3452 E Foothill Blvd,Pasadena,Los Angeles County,California,91107,"Monday through Friday, 8:30am to 5:00pm.  A registered nurse is on call 24 hours per day, seven days per week.","Service/Intake and Administration (626) 568-2588,  FAX (626) 568-2590",The agency provides end of life services and in-home health services for people in the San Fernando and San Gabriel Valleys and parts of Los Angeles.,,34.14915478,-118.07839
Valley Trauma Counseling Center - Sophia Ave Van Nuys Office,,Health and Mental Health,Mental Health Programs,,7116 Sophia Ave.,Van Nuys,Los Angeles County,California,91406,SITE HOURS: Appointment hours vary; please call.,"24 hours/7days Service/Intake and Hotline (818) 886-0453,  Administrative (818) 756-5330,  FAX (818) 756-5443","The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",www.csun.edu/vtc,34.19969,-118.486827
Planned Parenthood Pasadena And San Gabriel Valley - Pasadena Health Center,Planned Parenthood - Pasadena and San Gabriel Valley,Health and Mental Health,"Health Clinics,Health Education and Counseling,Health Screening and Testing",,1045 N. Lake Ave.,Pasadena,Los Angeles County,California,91104,"Clinic hours are Monday, 8:30am to 5:00pm; Tuesday, Wednesday, 8:00am to 9:00pm; Thursday, 8:00am to 10:00pm; Friday, 7:30am to 4:00pm; Saturday, 8:00am to 2:00pm.","Administrative (626) 794-5737, Appointments Service/Intake (626) 798-0706",The agency provides family planning services for people of all ages in Los Angeles County.,www.pppasadena.org,34.16396,-118.132931
Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Psychiatric Emergency Unit - Access Line,,Health and Mental Health,Mental Health Counseling,,1100 N. State St.,Los Angeles,Los Angeles County,California,90033,"Monday through Sunday, 24 hours per day.","Access Line and PMRT After Hours/Weekends Service/Intake and Hotline (800) 854-7771, for Warm Transfer only. Administrative (562) 651-3900",The unit provides mental health services for people of all ages in the Central Health Region.,,34.057784,-118.209992
Valley Trauma Counseling Center - Santa Clarita / Valencia Office,,Health and Mental Health,Mental Health Programs,,28231 Ave Crocker,Valencia,Los Angeles County,California,91355,"Monday through Friday, 8:00am to 8:00pm; Saturday by appointment.","FAX (661) 702-1343, 24 hours Service/Intake and Hotline (661) 253-0258,  Administrative (661) 702-0000","The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",www.csun.edu/vtc,34.43740514,-118.5887226
College Hospital - Signal Hill,,Health and Mental Health,Mental Health Counseling,,707 Walton St.,Signal Hill,Los Angeles County,California,90806,"Monday through Friday, 10:15am to 2:45pm.","Service/Intake (562) 290-0456, George Dickson - Partial Hospitalization program Service/Intake (562) 233-2294",The hospital provides inpatient mental health services for people of all ages.,www.collegehospitals.com,33.805454,-118.183788
Providence Little Company Of Mary Medical Center - Family Medical Center,Providence Little Company of Mary Medical Center Torrance,Health and Mental Health,Health Centers,,520 N. Prospect Ave.,Redondo Beach,Los Angeles County,California,90277,"Monday through Friday, 7:00am to 5:00pm.",Service/Intake (310) 376-8816,"The facility provides health education, health services, hospital services, and self help groups for people of all ages in Los Angeles County.",california.providence.org/torrance/Pages/default.aspx,33.852148,-118.378919
Providence Little Company Of Mary Medical Center - Women's And Children's Clinic,Providence Little Company of Mary Medical Center Torrance,Health and Mental Health,"Health Clinics,Health Screening and Testing",,1403 Lomita Blvd.,Harbor City,Los Angeles County,California,90710,"Monday through Friday, 7:00am to 5:00pm.",Service/Intake (310) 784-5800,"The facility provides health education, health services, hospital services, and self help groups for people of all ages in Los Angeles County.",california.providence.org/torrance/Pages/default.aspx,33.797949,-118.301215
Providence Little Company Of Mary Medical Center - Transitional Care Center,Providence Little Company of Mary Medical Center Torrance,Health and Mental Health,Health Clinics,,4320 Maricopa St.,Torrance,Los Angeles County,California,90503,"Monday through Friday, 7:00am to 5:00pm.",Service/Intake (310) 303-5900,"The facility provides health education, health services, hospital services, and self help groups for people of all ages in Los Angeles County.",california.providence.org/torrance/Pages/default.aspx,33.839399,-118.359716
Providence Little Company Of Mary Medical Center - Pavilion - San Pedro,Providence Little Company of Mary Medical Center Torrance,Health and Mental Health,Health Clinics,,1300 W 7Th St,San Pedro,Los Angeles County,California,90732,"Monday through Friday, 7:00am to 5:00pm.",Service/Intake (310) 832-3311,"The facility provides health education, health services, hospital services, and self help groups for people of all ages in Los Angeles County.",california.providence.org/torrance/Pages/default.aspx,33.73806316,-118.3041084
Providence Little Company Of Mary Medical Center - Outpatient Center,Providence Little Company of Mary Medical Center Torrance,"Health and Mental Health,Social Services",Health Centers;Support Groups,,514 N. Prospect Ave.,Redondo Beach,Los Angeles County,California,90277,"Monday through Friday, 7:00am to 6:30pm.",Service/Intake (310) 376-1974,"The facility provides health education, health services, hospital services, and self help groups for people of all ages in Los Angeles County.",california.providence.org/torrance/Pages/default.aspx,33.852073,-118.378822
Providence Little Company Of Mary Medical Center - Recovery Center,Providence Little Company of Mary Medical Center San Pedro,"Health and Mental Health,Social Services",Mental Health Programs;Support Groups,,1386 W. 7th St.,San Pedro,Los Angeles County,California,90732,"Monday through Friday, 7:00am to 7:00pm.","Inpatient Service/Intake (310) 514-5300, Toll Free Service/Intake (866) 404-7346","The hospital provides hospital services, inpatient treatment for substance abuse, mental health services, services for older adults, and substance abuse services for people of all ages in Los Angeles.",california.providence.org/san-pedro/Pages/default.aspx,33.738067,-118.307462
Rose City Center,,Health and Mental Health,Mental Health Counseling,,595 E. Colorado Blvd.,Pasadena,Los Angeles County,California,91101,"Monday through Friday, 7:00am to 8:00pm.",Service/Intake and Administration (626) 793-8609,The agency provides counseling services for individuals 13 years and older who live in the San Gabriel Valley.,www.rosecitycenter.com,34.146,-118.138081
Altamed - Senior Buenacare - Rugby,AltaMed ,"Health and Mental Health,Social Services",Health Clinics;Senior Services,,6330 Rugby Ave,Huntington Park,Los Angeles County,California,90255,"SITE HOURS: Monday through Friday, 7:30am to 4:00pm.","Intake for All Services Service/Intake (877) 462-2582,  Service/Intake (323) 277-7678","The program provides health services for people age 55 and older, services for older adults age 55 and older, and services for people with disabilities in Los Angeles.",www.altamed.org,33.98273668,-118.2261766
Altamed - Senior Buenacare - Grand Plaza,AltaMed ,"Health and Mental Health,Social Services","Health Clinics,Health Education and Counseling;Senior Services",,701 W. Cesar E. Chavez,Los Angeles,Los Angeles County,California,90012,"SITE HOURS: Monday through Friday, 7:30am to 4:00pm.","Intake for All Services Service/Intake (877) 462-2582,  Service/Intake (213) 217-5300","The program provides health services for people age 55 and older, services for older adults age 55 and older, and services for people with disabilities in Los Angeles.",www.altamed.org,34.060732,-118.243764
Torrance Memorial Medical Center Breast Diagnostic Center,Torrance Memorial Medical Center - Breast Diagnostic Center ,Health and Mental Health,Health Centers,,3275 Skypark Dr.,Torrance,Los Angeles County,California,90505,"Monday through Friday, 8:00 AM to 5:00 PM; Thursday evening and Saturday appointments are also available.","Service/Intake and Administration (310) 325-9110, Breast Diagnostic Center/Osteoporosis Screening Service/Intake (310) 517-4709, Centralized Appt. Scheduling Service/Intake (310) 517-4738, Woman to Woman Program Service/Intake (310) 517-4660,  FAX (310)",The center provides health services related to breast cancer for people of all ages in Los Angeles.,www.torrancememorial.org/diagnose.htm,33.809554,-118.344977
Tarzana Treatment Center - Reseda,Tarzana Treatment Centers,Health and Mental Health,"Mental Health Counseling,Health Clinics,Health Screening and Testing,Substance Abuse Programs",,7101 Baird Ave.,Reseda,Los Angeles County,California,91335,"Monday through Friday, 8:00am to 4:00pm","All services Service/Intake (818) 342-5897, Transitional Housing AIDS/HIV Application Service/Intake (818) 342-5897 Ext.2121","The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ag",www.tarzanatc.org,34.19949,-118.537467
Violence Intervention Program - Forensic Medical Clinic,Violence Intervention Program ,Health and Mental Health,"Health Clinics,Health Screening and Testing",,2010 Zonal Ave,Los Angeles,Los Angeles County,California,90031,"SITE HOURS: Monday through Friday, 8:00am to 4:00pm.","FAX (323) 226-2573, After Hours - Children Emergency (323) 226-3601, After Hours - Adults Emergency (323) 226-3061, Violence Intervention Program Service/Intake and Administration (323) 226-3961","The agency provides adult protective services, child abuse services, domestic violence services, health services for foster children, and mental health services for victims of child abuse/neglect, domestic violence, sexual assault, elder abuse and depend",www.violenceinterventionprogram.org,34.05966686,-118.205327
Family Planning Associates Medical Group - Torrance,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,3655 Lomita  Blvd.,Torrance,Los Angeles County,California,90505,"SITE HOURS: Monday through Friday, 8:00am to 4:15pm.","Service/Intake and Administration (310) 373-1042,  FAX (310) 378-4916",The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,33.814968,-118.348693
Family Planning Associates Medical Group - West Los Angeles,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,12304 Santa Monica Blvd.,Los Angeles,Los Angeles County,California,90025,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 4:00pm.",Service/Intake (310) 820-8084,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,34.039448,-118.465492
Valley Village - Adult Day Health Care Center,Valley Village,"Health and Mental Health,Social Services","Health Centers;Senior Services",,20835 Sherman Way,Winnetka,Los Angeles County,California,91306,"Monday through Friday, 8:00am to 1:00pm.","FAX (818) 587-3618,  Service/Intake (818) 587-3600","The agency provides adult day health care, out of home care, and services for people with developmental disabilities for people age 18 and older who live in the San Fernando Valley.",www.ValleyVillage.org,34.201258,-118.587351
Casa De Los Angelitos,Mission of Casa de los Angelitos,"Health and Mental Health,Community Groups","Health Clinics;Volunteer Opportunities",,954 Koleeta Dr.,Harbor City,Los Angeles County,California,90710,"Monday through Sunday, 24 hours per day.","FAX (310) 325-8217,  Service/Intake and Administration (310) 325-8208",The agency operates a maternity home for women age 18 and older.,,33.803532,-118.292348
Family Planning Associates Medical Group - Glendale,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,372 W. Arden Ave.,Glendale,Los Angeles County,California,91203,"Monday through Friday, 8:00am to 5:00pm.",Service/Intake (818) 502-1341,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,34.15833,-118.26045
Family Planning Associates Medical Group - Mission Hills,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,10200 Sepulveda Blvd.,Mission Hills,Los Angeles County,California,91345,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 4:00pm.",Service/Intake (818) 893-6949,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,34.255482,-118.467233
Family Planning Associates Medical Group - Long Beach,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,2777 Long Beach Blvd.,Long Beach,Los Angeles County,California,90806,"Monday through Friday, 8:00am to 5:00pm.",Service/Intake (562) 595-5653,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,33.807804,-118.189546
Family Planning Associates Medical Group - Mid-Wilshire,Family Planning Associates Medical Group,Health and Mental Health,"Health Clinics,Public Health Programs",,601 S. Westmoreland Ave.,Los Angeles,Los Angeles County,California,90025,"Monday through Friday, 8:00am to 5:00pm.",Service/Intake (213) 738-7283,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,www.fpamg.net,34.06347,-118.2886
Tarzana Treatment Center - Youth Services,,Health and Mental Health,"Mental Health Counseling,Health Screening and Testing,Substance Abuse Programs",,18700 Oxnard St.,Tarzana,Los Angeles County,California,91356,"Monday through Friday, 8:00am to 7:00pm.","Youth Services Service/Intake (818) 654-3950, All Services Service/Intake and Administration (818) 996-1051","The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ag",www.tarzanatc.org,34.180015,-118.54109
Valley Trauma Counseling Center,,Health and Mental Health,Mental Health Programs,,8700 Reseda Blvd.,Northridge,Los Angeles County,California,91324,"Monday through Friday, 8:00am to 8:00pm; Saturday by appointment.","Administrative (818) 772-9981,  FAX (818) 772-9982, 24 hours/7days Service/Intake and Hotline (818) 886-0453","The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",www.csun.edu/vtc,34.228586,-118.535918
Los Angeles County Department Of Health Services - El Monte Comprehensive Health Center,Los Angeles County Department of Health Services,Health and Mental Health,"Health Centers,Health Screening and Testing,Dental Care",,10953 Ramona Blvd.,El Monte,Los Angeles County,California,91731,"Monday through Friday, 8:00am to 8:30pm; and Saturday, 8:00am to 5:00pm.","Administrative (626) 579-8304,  Service/Intake (800) 383-4600",The agency provides health services for people of all ages in Los Angeles county.,,34.072434,-118.037225
Shields For Families Inc,SHIELDS for Families ,Health and Mental Health,"Mental Health Programs,Substance Abuse Programs",,11603 S. Western Ave.,Los Angeles,Los Angeles County,California,90047,"Monday through Friday, 8:00am to 5:00pm.","Service/Intake and Administration (323) 242-5000 Ext.200,  Service/Intake (323) 777-0130 Ext.234","The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for fa",www.shieldsforfamilies.org,33.928453,-118.30929
People Who Care Youth Center,,"Health and Mental Health,Social Services,Education,Arts and Recreation","Mental Health Counseling;Children and Family Services;Guidance and Tutoring Programs;Recreation Centers",,1500 W. Slauson Ave.,Los Angeles,Los Angeles County,California,90047,"Monday through Friday, 8:30am to 5:00pm;  Saturday, 7:00am to 3:30pm.","Service/Intake (323) 778-8905,  FAX (323) 778-9060",The center provides family life education and youth services for people who live in South Los Angeles.,www.pwcyc.org,33.988994,-118.302639
Shields For Families Inc - Compton Family Preservation Center,,"Health and Mental Health,Social Services","Mental Health Counseling;Children and Family Services",,215 Acacia Ave.,Compton,Los Angeles County,California,90220,"Monday through Friday, 8:00am to 5:00pm.",Administrative (310) 605-1777,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for fa",www.shieldsforfamilies.org,33.897255,-118.226657
Los Angeles County Department Of Public Health - Office Of Women's Health,L.A. County Public Health - Office of Women's Health,"Health and Mental Health,Social Services","Health Clinics,Health Education and Counseling,Health Screening and Testing;Public Information Services",,3400 Aerojet Ave,El Monte,Los Angeles County,California,91731,"SITE HOURS: Monday through Friday, 8:30am to 5:30pm.","FAX (626) 288-9335,  Administrative (626) 569-3850, Clinic Referrals and Appointments Service/Intake (800) 793-8090",The agency provides health referral services to low income women in Los Angeles County.,publichealth.lacounty.gov/owh/,34.07043297,-118.0678349
