Organisation,Name,Code,Pass
Centro de Referencia en Preparación Institucional para Desastre,"Agua, Saneamiento y Promocion de la Higiene",1,7
Centro de Referencia en Preparación Institucional para Desastre,"Taller de Agua, Saneamiento y Promocion de la Higiene",2,7
Centro de Referencia en Preparación Institucional para Desastre,Apoyo Psicosocial en Emergencias,3,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Apoyo Psicosocial en Emergencias,4,7
Centro de Referencia en Preparación Institucional para Desastre,Control de Epidemias para Voluntarios,5,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Control de Epidemias para Voluntarios,6,7
Centro de Referencia en Preparación Institucional para Desastre,Directrices de Evaluacion,7,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Directrices de Evaluacion,8,7
Centro de Referencia en Preparación Institucional para Desastre,Equipos Nacionales de Intervencion en Agua,9,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Equipos Nacionales de Intervencion en Agua,10,7
Centro de Referencia en Preparación Institucional para Desastre,Equipos Nacionales de Intervencion en Salud,11,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Equipos Nacionales de Intervencion en Salud,12,7
Centro de Referencia en Preparación Institucional para Desastre,Equipos Nacionales de Intervencion General,13,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Equipos Nacionales de Intervencion General,14,7
Centro de Referencia en Preparación Institucional para Desastre,Equipos Regionales de Intervencion en Salud,15,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Equipos Regionales de Intervencion en Salud,16,7
Centro de Referencia en Preparación Institucional para Desastre,Equipos Regionales de Intervencion General,17,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Equipos Regionales de Intervencion General,18,7
Centro de Referencia en Preparación Institucional para Desastre,Esfera,19,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Esfera,20,7
Centro de Referencia en Preparación Institucional para Desastre,Logistica en Emergencias,21,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Logistica en Emergencias,22,7
Centro de Referencia en Preparación Institucional para Desastre,Manejo de Información,23,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Manejo de Información,24,7
Centro de Referencia en Preparación Institucional para Desastre,ODK / Mega V Avanzado,25,7
Centro de Referencia en Preparación Institucional para Desastre,ODK / Mega V Escencial,26,7
Centro de Referencia en Preparación Institucional para Desastre,OFCOE,27,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de OFCOE,28,7
Centro de Referencia en Preparación Institucional para Desastre,Planes de Emergencia,29,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Planes de Emergencia,30,7
Centro de Referencia en Preparación Institucional para Desastre,Salud en Emergencias,31,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Salud en Emergencias,32,7
Centro de Referencia en Preparación Institucional para Desastre,Simulacion y Simulacros,33,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Simulacion y Simulacros,34,7
Centro de Referencia en Preparación Institucional para Desastre,Tecnicas de Rescate para Inundaciones,35,7
Centro de Referencia en Preparación Institucional para Desastre,Taller de Tecnicas de Rescate para Inundaciones,36,7
Centro de Referencia para la Resiliencia Comunitaria,CREEC Course 1,1,8
