Warehouse,Facility Type,Organisation,Item Name,Item Code,Units,Quantity,Comments
Guadeloupe,,PIRAC,,HSHETARPW406,piece,1000,2 per Family Kit
Guadeloupe,,PIRAC,,KRELSHEK01,piece,500,1 per Family Kit
Guadeloupe,,PIRAC,,KRELCLEA01,piece,500,1 per Family Kit
Guadeloupe,,PIRAC,,KRELCOOSETA,piece,500,1 per Family Kit
Guadeloupe,,PIRAC,,HCONJCANPF10,piece,2500,5 per Family Kit
Guadeloupe,,PIRAC,,HCONBUCKP14L,piece,1000,2 per Family Kit
Guadeloupe,,PIRAC,,HSHEBLANCLT2,piece,1500,3 per Family Kit
Guadeloupe,,PIRAC,,HSHEMNETRL,piece,1500,3 per Family Kit
Martinique,,PIRAC,,HSHETARPW406,piece,1000,2 per Family Kit
Martinique,,PIRAC,,KRELSHEK01,piece,500,1 per Family Kit
Martinique,,PIRAC,,KRELCLEA01,piece,500,1 per Family Kit
Martinique,,PIRAC,,KRELCOOSETA,piece,500,1 per Family Kit
Martinique,,PIRAC,,HCONJCANPF10,piece,2500,5 per Family Kit
Martinique,,PIRAC,,HCONBUCKP14L,piece,1000,2 per Family Kit
Martinique,,PIRAC,,HSHEBLANCLT2,piece,1500,3 per Family Kit
Martinique,,PIRAC,,HSHEMNETRL,piece,1500,3 per Family Kit
