Facility,Facility Type,Name,Parent,Grandparent
Guadeloupe,Warehouse,A,,
Guadeloupe,Warehouse,B,,
Guadeloupe,Warehouse,C,,
Guadeloupe,Warehouse,1,A,
Guadeloupe,Warehouse,2,A,
Guadeloupe,Warehouse,3,A,
Guadeloupe,Warehouse,1,B,
Guadeloupe,Warehouse,2,B,
Guadeloupe,Warehouse,3,B,
Guadeloupe,Warehouse,1,C,
Guadeloupe,Warehouse,2,C,
Guadeloupe,Warehouse,3,C,
Guadeloupe,Warehouse,0,1,A
Guadeloupe,Warehouse,1,1,A
Guadeloupe,Warehouse,2,1,A
Guadeloupe,Warehouse,0,1,B
Guadeloupe,Warehouse,1,1,B
Guadeloupe,Warehouse,2,1,B
Guadeloupe,Warehouse,0,1,C
Guadeloupe,Warehouse,1,1,C
Guadeloupe,Warehouse,2,1,C
Guadeloupe,Warehouse,0,2,A
Guadeloupe,Warehouse,1,2,A
Guadeloupe,Warehouse,2,2,A
Guadeloupe,Warehouse,0,2,B
Guadeloupe,Warehouse,1,2,B
Guadeloupe,Warehouse,2,2,B
Guadeloupe,Warehouse,0,2,C
Guadeloupe,Warehouse,1,2,C
Guadeloupe,Warehouse,2,2,C
Guadeloupe,Warehouse,0,3,A
Guadeloupe,Warehouse,1,3,A
Guadeloupe,Warehouse,2,3,A
Guadeloupe,Warehouse,0,3,B
Guadeloupe,Warehouse,1,3,B
Guadeloupe,Warehouse,2,3,B
Guadeloupe,Warehouse,0,3,C
Guadeloupe,Warehouse,1,3,C
Guadeloupe,Warehouse,2,3,C
Martinique,Warehouse,A,,
Martinique,Warehouse,B,,
Martinique,Warehouse,C,,
Martinique,Warehouse,1,A,
Martinique,Warehouse,2,A,
Martinique,Warehouse,3,A,
Martinique,Warehouse,1,B,
Martinique,Warehouse,2,B,
Martinique,Warehouse,3,B,
Martinique,Warehouse,1,C,
Martinique,Warehouse,2,C,
Martinique,Warehouse,3,C,
Martinique,Warehouse,0,1,A
Martinique,Warehouse,1,1,A
Martinique,Warehouse,2,1,A
Martinique,Warehouse,0,1,B
Martinique,Warehouse,1,1,B
Martinique,Warehouse,2,1,B
Martinique,Warehouse,0,1,C
Martinique,Warehouse,1,1,C
Martinique,Warehouse,2,1,C
Martinique,Warehouse,0,2,A
Martinique,Warehouse,1,2,A
Martinique,Warehouse,2,2,A
Martinique,Warehouse,0,2,B
Martinique,Warehouse,1,2,B
Martinique,Warehouse,2,2,B
Martinique,Warehouse,0,2,C
Martinique,Warehouse,1,2,C
Martinique,Warehouse,2,2,C
Martinique,Warehouse,0,3,A
Martinique,Warehouse,1,3,A
Martinique,Warehouse,2,3,A
Martinique,Warehouse,0,3,B
Martinique,Warehouse,1,3,B
Martinique,Warehouse,2,3,B
Martinique,Warehouse,0,3,C
Martinique,Warehouse,1,3,C
Martinique,Warehouse,2,3,C
