Name,Organisation,Country,Address,Phone1,Phone2,Fax,Email,Comments,Contact First Name,Contact Middle Name,Contact Last Name
Publigráficas,Publigráficas,HN,"Col. La Pradera, calle principal, 300mts. Delante de Comercial Laeisz.",234-8225,9970-5015,234-4667,publigrafica2002@yahoo.com,,Cesar,Meza,
DICOSA,DICOSA,HN,"Final de Blvd. Los Proceres, Edif. DICOSA Nº 4002, P.O. BOX 3307.",221-1970 / 74,9487-8179,2211968,,dicosa9@dicosa.net/ yova_perez07@yahoo.com/ ventastgu01@dicosa.net,Yovanni,Pérez,Claros
"Indufesa, Do it center","Indufesa, Do it center",HN,Contiguo a Presidencial,2448010 / 2239-7512,,2397512,,Jhonny,,,
Dimaco,Dimaco,HN,,221-6004 / 06,,,,,,,
Ferrecasa,Ferrecasa,HN,,2324232,,,,,,,
Larach y Cía,Larach y Cía,HN,Col. El Prado,2290-1100 / 2237-8171,,,eduardo@larachycia.com,,Eduardo,Caballero,
Aerolinea Copa,Aerolinea Copa,HN,,"220-5143, 291-0099",,,,,,,
Ester Tours/ Sandra,Ester Tours/ Sandra,HN,,239-3700,,,,,,,
Aerolinea Taca,Aerolinea Taca,HN,,"220-7602, 234-2602",,,,,,,
DHL Honduras,DHL Honduras,HN,,22641300/2245-0164,9519-3226,14691,,,,,
Llanticentro Ferco,Llanticentro Ferco,HN,Col. Ruben Dario,22357915,,22357988,,,,,
Utiles de Honduras,Utiles de Honduras,HN,,2228-4500/2228-4502,,,telemercadeotga5@utilesdehonduras.com,,Suyapa,Fortín,
Intex,Intex,HN,Res. Suyapita,2213-0005 / 2239-1768,8993-0580,,intexventas@hotmail.com,Jenifer/Oscer Medina-Gerente,,,
DTM Uniformes,DTM Uniformes,HN,Anillo periferico Sur,2246-6441 / 2246-6411,9583-1326,22455495,ventas3@dtmuniformes.com,,Manuel,Zorto,
Banco Ficohsa,Banco Ficohsa,HN,Tegucigalpa,2239-6410,9986-2142/9970-7020,,,Omar Escobar / Fernando Montañola. odescobar@grupoficohsa.hn/lfmontanola@grupoficohsa.hn,,,
Sistelcom S de R.L.,Sistelcom S de R.L.,HN,Tegucigalpa,2235-4488 / 2235-3494 / 2550-6392 / 2550-2509 / 2550-1644,,,infotgu@sistelcomhn.net,Meisi (TEG) / Rene Osorto (SPS),,,
ENERCONS S de RL,ENERCONS S de RL,HN,Tegucigalpa,2222-4353,9451-4211,,site7511@puma-retail.com,,Alejandra,Laurinda,
Café Cibreo,Café Cibreo,HN,Tegucigalpa,2220-5323 / 2237-2656,9941-9656,,,Odalys,,,
Corporación Flores,Corporación Flores,HN,Tegucigalpa,2216-4000,,,,Miguel Flores/ Brenda Zelaya/ Gloria,,,
Toyoservicios,Toyoservicios,HN,San Pedro Sula,,9890-4393,,,,Alexander,Mendoza,
COPECO,COPECO,HN,Tegucigalpa,2290-4800 / 01 / 12,9954-5899 / 9480-7024,,,Julia Witti/Oscar Mencía. onywitti@yahoo.com/oscaririas2002@yahoo.com /gerbycmyahoo.com,,,
Hotel Villas del Sol,Hotel Villas del Sol,HN,,2665-4938,,,villasdelsol.hn@gmail.com,,,,
PANACAM,PANACAM,HN,,2608-5506,,,panacam@paghonduras.org,,,,
COSEM,COSEM,HN,,2235-2150 / 2239-3866,,,pablo.bodden@cosem.hn,,,,
Ingeniería Gerencial,Ingeniería Gerencial,HN,"Aldea el Guayabal
Carretera al batallon
Atras escuela La EstanciaAldea el Guayabal
Carretera al batallon
Atras escuela La Estancia",2291-0250,,,,info@ingenieriagerencial.com/ mmendez@ingenieriagerencial.com,Manuel,Mendez,
Industrias panavisión,Industrias panavisión,HN,Tegucigalpa,2239-3066,9995-9955,,idiazad@yahoo.com,Iris Diaz/ Lidia,,,
Sondel S.A.,Sondel S.A.,HN,San Pedro SUla,2544-0446,,,sc_internacional@sondelsa.com,,Jose,López,
DIMESA,DIMESA,HN,Tegucigalpa,2236-8640,,,dimesagerencia@hotmail.com,,Osman,Villanueva,
Isela Hernandez,Isela Hernandez,HN,,9993-0372,,,,,Isela,Hernandez,
Droguería Sandoval,Droguería Sandoval,HN,Tegucigalpa,2213-5751,,,drogueriasadandoval@yahoo.com,,Waldina,Castro,
Droguería Corinfar,Droguería Corinfar,HN,Tegucigalpa,2229-9012,,,sonia.cruz@corinfar.hn,,Sonia,Cruz,
Drogueria Farsiman,Drogueria Farsiman,HN,Tegucigalpa,2234-6981,,,telemercadeoteg4@farsiman.com,,,,
