"Name","Description","URL","Layers","Folder","Config","Enabled","Visible","Base","Transparent","Opacity","Format","Queryable","Tiled","Map"
"VMap0","A Free low-resolution Vector Map of the whole world","http://vmap0.tiles.osgeo.org/wms/vmap0","basic",,"WGS84","True","True","True",,,,"False",,
"Blue Marble","A composite of four months of MODIS observations with a spatial resolution (level of detail) of 1 square kilometer per pixel.","http://maps.opengeo.org/geowebcache/service/wms","bluemarble",,"WGS84","True","True","True",,,,"False",,
"LandSat","Global 15m satellite imagery from 2003.","http://hyperquad.telascience.org/cgi-bin/onearth?","OnEarth_PAN_321_20030801",,"WGS84","True","True","True",,,"image/jpeg","False",,
"MODIS/Terra Corrected Reflectance (True Color)",,"http://lance2.modaps.eosdis.nasa.gov/cgi-bin/mapserv.cgi?map_layer[Terra250]=DATA+terr_250m_2012125.vrt","Terra250",,"WGS84","True","False","True",,,"image/jpeg","False",,"rrglobal_terra_250m.map"
"MODIS/Aqua Corrected Reflectance (True Color)",,"http://lance2.modaps.eosdis.nasa.gov/cgi-bin/mapserv.cgi?map_layer[Aqua250]=DATA+aqua_250m_2012125.vrt","Aqua250_143",,"WGS84","True","False","True",,,"image/jpeg;mode=24bit","False",,"rrglobal_aqua_250m.map"
"Terra Corrected Reflectance (True Color)",,"http://lance2.modaps.eosdis.nasa.gov/cgi-bin/mapserv.cgi?map_layer[Terra250]=DATA+terr_250m_2012125.vrt","Terra250","MODIS","WGS84","True","False","False","True",,"image/png","False",,"rrglobal_terra_250m.map"
"Fires (Last 24 Hours)","Provides MODIS (MODIS Rapid Response Collection) Fires/Hotspots for the past 24 hours. Please visit http://maps.geog.umd.edu/firms/ for more information","http://firefly.geog.umd.edu/wms/wms?","fires24","MODIS","WGS84","True","False","False","True",,"image/png","False",,
"Fires (Last 48 Hours)","Provides MODIS (MODIS Rapid Response Collection) Fires/Hotspots for the past 48 hours. Please visit http://maps.geog.umd.edu/firms/ for more information","http://firefly.geog.umd.edu/wms/wms?","fires48","MODIS","WGS84","True","False","False","True",,"image/png","False",,
"Population Density 2010 (Alternate server)","GPWv3","http://sedac.ciesin.columbia.edu/geoserver/wms?","gpw-v3:gpw-v3-population-density-future-estimates_2010","Population","WGS84","True","False","False","True",0.8,"image/png","False",,
"Population Density 2000 (Persons per km2)","GRUMPv1","http://beta.sedac.ciesin.columbia.edu:8080/geoserver/wms?","grump-v1:grump-v1-population-density_2000 ","Population","WGS84","True","False","False","True",0.8,"image/png","False",,
"Precipitation forecast",,"http://wms.weatheroffice.gc.ca/geomet/?","GLBETA_PR","Weather",,True,False,False,True,0.4,"image/png",False,,,
"Cloud forecast",,"http://wms.weatheroffice.gc.ca/geomet/?","GLBETA_NT","Weather",,True,False,False,True,0.4,"image/png",False,,,
