Name,Organisation,Type,Country,Address,Postcode,L1,L2,L3,L4,Lat,Lon,Phone1,Phone2
California Southern Baptist Convention,California Southern Baptist Convention Disaster Relief,Church,US,678 East Shaw Ave,93710,California,Fresno County,Fresno,,36.808787,-119.774975,(559) 229-9533,
Guadalupe Community Center,Catholic Charities of Los Angeles,Office,US,21600 Hart St,91303,California,Los Angeles County,Los Angeles,Canoga Park,34.197381,-118.600415,(818) 340-2050,
Oasis Community Center,Catholic Charities of Los Angeles,Office,US,2045 San Gabriel Ave,90810,California,Los Angeles County,Carson,,33.792884,-118.223955,(562) 480-2166,
San Juan Diego Center,Catholic Charities of Los Angeles,Office,US,4171 North Taylor Ave,91731,California,Los Angeles County,El Monte,,34.07711867,-118.0364227,(626) 575-7652,
Immigration and Refugee Services,Catholic Charities of Los Angeles,Office,US,4322 San Fernando Road,91204,California,Los Angeles County,Glendale,,34.13146,-118.261418,(818) 502-2002,
Glendale Community Center,Catholic Charities of Los Angeles,Office,US,4322 San Fernando Road,91204,California,Los Angeles County,Glendale,,34.13146,-118.261418,(818) 409-3080,
Refugee Resettlement Program,Catholic Charities of Los Angeles,Office,US,4322 San Fernando Road,91204,California,Los Angeles County,Glendale,,34.13146,-118.261418,(818) 409-0057,
Community Outreach Services,Catholic Charities of Los Angeles,Office,US,16009 Cypress Ave,91706,California,Los Angeles County,Irwindale,,34.096092,-117.933627,(626) 338-5057,
St. Margaret's Center,Catholic Charities of Los Angeles,Church,US,10217 Inglewood Ave,90304,California,Los Angeles County,Lennox,,33.943534,-118.361357,(310) 672-2208,
Elizabeth Ann Seton Residence,Catholic Charities of Los Angeles,Office,US,123 East 14th St.,90813,California,Los Angeles County,Long Beach,,33.783935,-118.192004,(562) 233-5985,
Gatekeeper Project,Catholic Charities of Los Angeles,Office,US,123 East 14th St.,90813,California,Los Angeles County,Long Beach,,33.783935,-118.192004,(562) 480-2506 ,
Long Beach Community Services Center,Catholic Charities of Los Angeles,Office,US,123 East 14th St.,90813,California,Los Angeles County,Long Beach,,33.783935,-118.192004,(562) 591-1351,
Project Achieve,Catholic Charities of Los Angeles,Office,US,123 East 14th St.,90813,California,Los Angeles County,Long Beach,,33.783935,-118.192004,(562) 218-9864,
"Adeste Child Care Program, Metro Area, Regional Administration",Catholic Charities of Los Angeles,Office,US,601 E 23rd St,90011,California,Los Angeles County,Los Angeles,,34.024868,-118.261606,(213) 748-5346,
Adeste Child Care Program San Gabriel Regional Administration,Catholic Charities of Los Angeles,Office,US,1307 Warren St,90033,California,Los Angeles County,Los Angeles,,34.05235,-118.220466,(323) 264-4981,
Angel's Flight MY CLUB Program,Catholic Charities of Los Angeles,Office,US,8705 South Vermont Ave,90044,California,Los Angeles County,Los Angeles,,33.958834,-118.291917,(213) 413-2311,(800) 833-2499
Art of Parenting,Catholic Charities of Los Angeles,Office,US,1500 East Bridge St,90033,California,Los Angeles County,Los Angeles,,34.053346,-118.219928,(323) 263-4651,
Brownson House,Catholic Charities of Los Angeles,Office,US,1307 Warren St,90033,California,Los Angeles County,Los Angeles,,34.05235,-118.220466,(323) 264-8700,(323) 264-8701
Catholic Youth Organization (CYO),Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-3454,
Continuous Quality Improvement,Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-3459,
Esperanza Immigrant Rights Project,Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-4505,
Immigration Services,Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-3411,
Refugee Resettlement Program,Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-3460,
St Mary's Center,Catholic Charities of Los Angeles,Office,US,4665 Willow Brook Ave,90029,California,Los Angeles County,Los Angeles,,34.089461,-118.293173,(323) 662-4391,
Catholic Charities of Los Angeles,Catholic Charities of Los Angeles,Office,US,1530 James M. Wood Blvd,90015,California,Los Angeles County,Los Angeles,,34.050449,-118.272361,(213) 251-3400,
Adeste Child Care Program San Pedro Regional Administration,Catholic Charities of Los Angeles,Office,US,5014 Passons Blvd,90660,California,Los Angeles County,Pico Rivera,,33.998218,-118.078131,(562) 480-2482,
Pico Rivera Resource Center,Catholic Charities of Los Angeles,Office,US,5014 Passons Blvd,90660,California,Los Angeles County,Pico Rivera,,33.998218,-118.078131,(562) 949-0937,
Pomona Community Services,Catholic Charities of Los Angeles,Office,US,248 E. Monterey Ave,91767,California,Los Angeles County,Pomona,,34.060607,-117.746992,(909) 629-0472,
Counseling Services,Catholic Charities of Los Angeles,Office,US,"461 W 6th St, Ste 202",90731,California,Los Angeles County,Los Angeles,San Pedro,33.738762,-118.287023,(310) 831-7111,
Loaves & Fishes,Catholic Charities of Los Angeles,Office,US,14640 Keswick St,91405,California,Los Angeles County,Los Angeles,Van Nuys,34.210266,-118.450963,(818) 997-0943,
"Adeste Child Care Program, Western Area Regional Administration",Catholic Charities of Los Angeles,Office,US,211 3rd Ave,90291,California,Los Angeles County,Los Angeles,Venice,33.998202,-118.477345,(310) 392-8701,
Counseling Services,Catholic Charities of Los Angeles,Clinic,US,211 3rd Ave,90291,California,Los Angeles County,Los Angeles,Venice,33.998202,-118.477345,(310) 399-1351,
St. Robert's Center,Catholic Charities of Los Angeles,Office,US,211 3rd Ave,90291,California,Los Angeles County,Los Angeles,Venice,33.998202,-118.477345,(310) 392-8701,
Family Development Network,Catholic Charities of Los Angeles,Office,US,1115 Mahar Ave,90744,California,Los Angeles County,Los Angeles,Wilmington,33.785597,-118.246457,(310) 834-7265,
Mahar House Community Center,Catholic Charities of Los Angeles,Office,US,1115 Mahar Ave,90744,California,Los Angeles County,Los Angeles,Wilmington,33.785597,-118.246457,(310) 834-7265,
The Forum,Faithful Central Bible Church,Office,US,3900 W Manchester Blvd,90305,California,Los Angeles County,Inglewood,,33.959952,-118.343314,(310) 330-7300,
The Tabernacle,Faithful Central Bible Church,Office,US,321 N Eucalyptus Ave,90301,California,Los Angeles County,Inglewood,,33.966166,-118.35941,,
The Trinity Building,Faithful Central Bible Church,Office,US,333 W Florence Ave,90301,California,Los Angeles County,Inglewood,,33.965533,-118.360769,(310) 330-8000,(800) 377-9782
The Living Room,Faithful Central Bible Church,Office,US,400 W Florence Ave,90301,California,Los Angeles County,Inglewood,,33.965597,-118.361871,,
LA Regional Food Bank,LA Regional Food Bank,Food Bank,US,1734 E 41st St,90057,California,Los Angeles County,Los Angeles,,34.00782776,-118.2420807,(323) 234-3030 ,
Ascension Lutheran Church ,Lutheran Social Services of the Southwest,Office,US,5820 West Blvd,90043,California,Los Angeles County,Los Angeles,,33.9883136,-118.335141,(323) 299-0729,
Banking On Our Future,"Operation HOPE, Inc.",Office,US,"707 Wilshire Blvd, 30th Fl",90017,California,Los Angeles County,Los Angeles,,34.049259,-118.257027,(213) 489-7511,(213) 891-2900
HOPE Financial Literacy Empowerment Center,"Operation HOPE, Inc.",Office,US,3721 S La Brea Ave,90016,California,Los Angeles County,Los Angeles,,34.01970751,-118.3556546,(323) 290-2405,(323) 290-2415
Northwest Los Angeles Service Center,Tzu Chi Foundation,Office,US,8963 Reseda Blvd,91324,California,Los Angeles County,Los Angeles,Northridge,34.2328539,-118.5361364,(818) 727-7689,
Orange County Service Center,Tzu Chi Foundation,Office,US,2851 Pullman St,92705,California,Orange County,Santa Ana,,33.70680618,-117.850174,(949) 833-0822,
South Los Angeles Service Center,Tzu Chi Foundation,Office,US,2315 Pacific Coast Hwy,90717,California,Los Angeles County,Lomita,,33.79002762,-118.3232269,(310) 326-2659,
West Los Angeles Service Center,Tzu Chi Foundation,Office,US,11701 Wilshire Blvd #7,90025,California,Los Angeles County,Los Angeles,,34.04941097,-118.4610231,(310) 473-5188,
United Way Los Angeles,United Way - Los Angeles,Office,US,"1150 S Olive St, Ste T500",90015,California,Los Angeles County,Los Angeles,,34.04008962,-118.2615446,(213) 808-6220,
United Way Harbor Area,United Way - Los Angeles,Office,US,3515 Linden Ave,90807,California,Los Angeles County,Long Beach,,33.82057953,-118.1869049,(562) 472-2140,
Volunteer Center of Los Angeles,Volunteer Center of Los Angeles,Office,US,8134 Van Nuys Blvd #200,91402,California,Los Angeles County,Los Angeles,Panorama City,34.21899414,-118.4482269,,
Emergency Operations Center,Los Angeles City Emergency Management Department,Office,US,500 E Temple St,90012,California,Los Angeles County,Los Angeles,,34.05046105,-118.2358423,,
Los Angeles City Department of Animal Services,Los Angeles City Department of Animal Services,Office,US,"221 N. Figueroa St, 5th fl",90012,California,Los Angeles County,Los Angeles,,34.05921555,-118.2510071,(888) 452-7381,
Antelope Valley Public Health Center,Los Angeles County Department of Public Health,Clinic,US,335-B East Ave K-6,93535,California,Los Angeles County,Lancaster,,34.76269913,-118.0916519,(661) 723-4526,
Central Public Health Center,Los Angeles County Department of Public Health,Clinic,US,241 N. Figueroa St,90012,California,Los Angeles County,Los Angeles,,34.05890599,-118.2505167,(213) 240-8204,
Curtis-Tucker Public Health Center,Los Angeles County Department of Public Health,Clinic,US,123 W Manchester Blvd,90301,California,Los Angeles County,Inglewood,,33.96243286,-118.3563919,(310) 419-5325,
Glendale Public Health Center,Los Angeles County Department of Public Health,Clinic,US,501 N Glendale Ave,91206,California,Los Angeles County,Glendale,,34.15312576,-118.2443237,(818) 500-5750,
Hollywood/Wilshire Public Health Center,Los Angeles County Department of Public Health,Clinic,US,5205 Melrose Ave,90038,California,Los Angeles County,Los Angeles,,34.08392715,-118.3141022,(323) 769-7800,
"Martin Luther King, Jr. Center for Public Health",Los Angeles County Department of Public Health,Clinic,US,11833 South Wilmington Ave,90059,California,Los Angeles County,Los Angeles,,33.925072,-118.239357,(323) 568-8100,
Monrovia Public Health Center,Los Angeles County Department of Public Health,Clinic,US,330 W Maple Ave,91016,California,Los Angeles County,Monrovia,,34.14141476,-118.0059797,(626) 256-1600,
North Hollywood Public Health Center,Los Angeles County Department of Public Health,Clinic,US,5300 Tujunga Ave,91601,California,Los Angeles County,Los Angeles,North Hollywood,34.16729736,-118.3783951,(818) 766-3982,
Pacoima Public Health Center,Los Angeles County Department of Public Health,Clinic,US,13300 Van Nuys Blvd,91331,California,Los Angeles County,Los Angeles,Pacoima,34.26496506,-118.4228287,(818) 896-1903,
Pomona Public Health Center,Los Angeles County Department of Public Health,Clinic,US,750 S Park Ave,91766,California,Los Angeles County,Pomona,,34.05273819,-117.7538605,(909) 868-0235,
Ruth-Temple Public Health Center,Los Angeles County Department of Public Health,Clinic,US,3834 S Western Ave,90062,California,Los Angeles County,Los Angeles,,34.01665878,-118.308548,(323) 730-3507,
Simms/Mann Health and Wellness Center,Los Angeles County Department of Public Health,Clinic,US,"2509 Pico Blvd, Rm 325",90405,California,Los Angeles County,Santa Monica,,34.02332687,-118.4633713,(310) 998-3203,
Torrance Public Health Center,Los Angeles County Department of Public Health,Clinic,US,710 Del Amo Blvd,90502,California,Los Angeles County,West Carson,,33.84633,-118.28606,(310) 354-2300,
Whittier Public Health Center,Los Angeles County Department of Public Health,Clinic,US,7643 S Painter Ave,90602,California,Los Angeles County,Whittier,,33.97212245,-118.032734,(562) 464-5350,
Los Angeles County Department of Social Services,Los Angeles County Department of Social Services,Office,US,12860 Crossroads Pkwy South,91746,California,Los Angeles County,Industry,,34.02873315,-118.0239384,(562) 908-8400,
Los Angeles County Emergency Management Office,Los Angeles County Emergency Management Office,Office,US,"500 W Temple St, Ste 493",90012,California,Los Angeles County,Los Angeles,,34.05654907,-118.2462997,(213) 974-1411,
Incident Command Post,Los Angeles City Emergency Management Department,Office,US,,,California,Los Angeles County,Los Angeles,,33.94813093,-118.3967473,,
"Chapter Headquarters, West District Office",American Red Cross of Greater Los Angeles,Office,US,11355 Ohio Avenue,90025,California,Los Angeles County,Los Angeles,,34.048073,-118.452446,(310) 445-9900,
Central East District Office,American Red Cross of Greater Los Angeles,Office,US,2227 S. Atlantic Blvd,90040,California,Los Angeles County,Los Angeles,,34.005764,-118.163742,(323) 780-7660,
Koreatown/Wilshire District Office,American Red Cross of Greater Los Angeles,Office,US,"501 Shatto Place, Suite 100",90020,California,Los Angeles County,Los Angeles,,34.065144,-118.289932,(213) 351-6765,
