Organisation,Name,Code,Pass
Honduran Red Cross,First Aid Basics,,
Honduran Red Cross,Fundamental Principles of Red Cross,,
Honduran Red Cross,Community Mobilization,,
Honduran Red Cross,Participatory Community Assessment,,
Caribbean Disaster Risk Management Reference Center,Community Disaster Response Teams,CADRIM-IFRC-001,
Caribbean Disaster Risk Management Reference Center,Strategic Targeting Methodology,CADRIM-IFRC-002,
Caribbean Disaster Risk Management Reference Center,Safer Houses Methodology,CADRIM-IFRC-003,
Caribbean Disaster Risk Management Reference Center,Caribbean Climate Change Adaptation,CADRIM-IFRC-004,
Centro de Referencia para la Resiliencia Comunitaria,Community Disaster Risk Management Planning,CRREC-IFRC-001,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Community Disaster Risk Management Planning,CRREC-IFRC-002,
Centro de Referencia para la Resiliencia Comunitaria,Prepared Family,CRREC-IFRC-003,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Prepared Family,CRREC-IFRC-004,
Centro de Referencia para la Resiliencia Comunitaria,Community First Aid,CRREC-IFRC-005,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Community First Aid,CRREC-IFRC-006,
Centro de Referencia para la Resiliencia Comunitaria,Safer Educational Centres,CRREC-IFRC-007,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Safer Educational Centres,CRREC-IFRC-008,
Centro de Referencia para la Resiliencia Comunitaria,Shelter Management,CRREC-IFRC-009,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Shelter Management,CRREC-IFRC-010,
Centro de Referencia para la Resiliencia Comunitaria,Psychological First Aid,CRREC-IFRC-011,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Psychological First Aid,CRREC-IFRC-012,
Centro de Referencia para la Resiliencia Comunitaria,Floods,CRREC-IFRC-013,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Floods,CRREC-IFRC-014,
Centro de Referencia para la Resiliencia Comunitaria,Healthy Home,CRREC-IFRC-015,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Healthy Home,CRREC-IFRC-016,
Centro de Referencia para la Resiliencia Comunitaria,Early Warning System,CRREC-IFRC-017,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Early Warning System,CRREC-IFRC-018,
Centro de Referencia para la Resiliencia Comunitaria,Community Maintenance of Schools,CRREC-IFRC-019,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Community Maintenance of Schools,CRREC-IFRC-020,
Centro de Referencia para la Resiliencia Comunitaria,Social Microprojects,CRREC-IFRC-021,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Social Microprojects,CRREC-IFRC-022,
Centro de Referencia para la Resiliencia Comunitaria,Basic Skills for Facilitators,CRREC-IFRC-023,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Basic Skills for Facilitators,CRREC-IFRC-024,
Centro de Referencia para la Resiliencia Comunitaria,Earthquakes,CRREC-IFRC-025,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Earthquakes,CRREC-IFRC-026,
Centro de Referencia para la Resiliencia Comunitaria,Vulnerability and Capacity Assessment,CRREC-IFRC-027,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Vulnerability and Capacity Assessment,CRREC-IFRC-028,
Centro de Referencia para la Resiliencia Comunitaria,Introduction to the Vulnerability and Capacity Assessment (E-learning),CRREC-IFRC-029,
Centro de Referencia para la Resiliencia Comunitaria,Train the Trainer for Introduction to the Vulnerability and Capacity Assessment (E-learning),CRREC-IFRC-030,
Centro de Referencia en Preparación Institucional para Desastre,"Water, Sanitation and Hygiene Promotion",CREPD-IFRC-001,7
Centro de Referencia en Preparación Institucional para Desastre,"Train the Trainer for Water, Sanitation and Hygiene Promotion",CREPD-IFRC-002,7
Centro de Referencia en Preparación Institucional para Desastre,Psychosocial Support in Emergencies,CREPD-IFRC-003,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Psychosocial Support in Emergencies,CREPD-IFRC-004,7
Centro de Referencia en Preparación Institucional para Desastre,Epidemic Control for Volunteers,CREPD-IFRC-005,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Epidemic Control for Volunteers,CREPD-IFRC-006,7
Centro de Referencia en Preparación Institucional para Desastre,Assessment Guidelines,CREPD-IFRC-007,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Assessment Guidelines,CREPD-IFRC-008,7
Centro de Referencia en Preparación Institucional para Desastre,National Intervention Teams,CREPD-IFRC-009,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for National Intervention Teams,CREPD-IFRC-010,7
Centro de Referencia en Preparación Institucional para Desastre,Regional Intervention Teams,CREPD-IFRC-011,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Regional Intervention Teams,CREPD-IFRC-012,7
Centro de Referencia en Preparación Institucional para Desastre,Sphere,CREPD-IFRC-013,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Sphere,CREPD-IFRC-014,7
Centro de Referencia en Preparación Institucional para Desastre,Emergency Logistics,CREPD-IFRC-015,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Emergency Logistics,CREPD-IFRC-016,7
Centro de Referencia en Preparación Institucional para Desastre,Information Management,CREPD-IFRC-017,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Information Management,CREPD-IFRC-018,7
Centro de Referencia en Preparación Institucional para Desastre,ODK / Mega V Essential,CREPD-IFRC-019,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for ODK / Mega V Essential,CREPD-IFRC-020,7
Centro de Referencia en Preparación Institucional para Desastre,ODK Advanced,CREPD-IFRC-021,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for ODK Advanced,CREPD-IFRC-022,7
Centro de Referencia en Preparación Institucional para Desastre,Organization and Operation of EOCs,CREPD-IFRC-023,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Organization and Operation of EOCs,CREPD-IFRC-024,7
Centro de Referencia en Preparación Institucional para Desastre,Emergency Planning,CREPD-IFRC-025,7
Centro de Referencia en Preparación Institucional para Desastre,Train the Trainer for Emergency Planning,CREPD-IFRC-026,7
