Catalog,Category Code,Category,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Pack2,Pack2 Quantity,Pack3,Pack3 Quantity,Weight,Length,Width,Height,Volume,Distributed,Comments
Default,Assets,Assets,Radio,,,,,piece,
Default,Assets,Assets,Tower ladder,,,,,piece,
Default,Assets,Assets,Command Unit,,,,,piece,
Default,Assets,Assets,Tanker Truck,,,,,piece,
Default,Assets,Assets,Motor boat,,,,,piece,
Default,Assets,Assets,Safety line,,,,,piece,
Default,Assets,Assets,Life jacket,,,,,piece,
Default,Assets,Assets,Bus,,,,,piece,
Default,Assets,Assets,Motor boat,,,,,piece,
Default,Assets,Assets,Life jacket,,,,,piece,
Default,Assets,Assets,Robot,,,,,piece,
Default,Assets,Assets,Digging equipment,,,,,piece,
Default,Assets,Assets,Scanning device,,,,,piece,

