Identifier,Language,Category,Event Type,Response Type,Audience,Sender Name,Headline,Description,Instruction,Contact,Parameters
urn:oid:2.49.0.0.64.1.20210823.001,en-US,"Met,Safety",Flash Flood,"Prepare,Monitor",,National Center for Hydrology and Meteorology,Flood Advisory for @AREA,"National Center for Hydrology and Meteorology states that flash floods, landslides, and riverine floods are very likely over the southern and isolated places of the central and eastern parts of the country during the next 48 hours. There is a shift of monsoon trough towards the Himalayan foothills. Due to this shift there is a forecast of moderate to heavy rain over isoloated @AREAS during the next @HOURS hours (from @DATE onwards). Updates will be issued if there are significant changes in the forecast.","Residents in the @AREAS are advised to regularly check the advisory","+975 02-338442/17128052",
urn:oid:2.49.0.0.64.1.20210823.001,hi,"Met,Safety",Flash Flood,"Prepare,Monitor",,National Center for Hydrology and Meteorology,"@AREA के लिए बाढ़ की सलाह","राष्ट्रीय जल विज्ञान और मौसम विज्ञान केंद्र का कहना है कि अगले 48 घंटों के दौरान देश के मध्य और पूर्वी हिस्सों के दक्षिणी और अलग-अलग स्थानों पर अचानक बाढ़, भूस्खलन और नदी में बाढ़ आने की संभावना है। मॉनसून ट्रफ का बदलाव हिमालय की तलहटी की ओर हो रहा है। इस बदलाव के कारण अगले @HOURS घंटों (@DATE से आगे) के दौरान पृथक @AREAS पर मध्यम से भारी बारिश का पूर्वानुमान है। पूर्वानुमान में महत्वपूर्ण परिवर्तन होने पर अपडेट जारी किए जाएंगे।","@AREAS के निवासियों को सलाह दी जाती है कि वे नियमित रूप से एडवाइजरी","+975 02-338442/17128052",
urn:oid:2.49.0.0.64.4.1.20210823.003,en-US,Health,Epidemic,"Execute,Avoid,Monitor",,Department of Public Health,@DISEASE outbreak in effect for @AREA,"On @DATE the Department of Public Health detected @NUMBER of @DISEASE cases in @AREAS and the number of cases are rising. If you identify any patient with @SYMPTOMS and @SIGNS, please submit a case report immediately","Execute the protocols for reporting an infectious disease. Avoid exposing the patient to @ITEMS. Monitor the situation over the next three days until the DoPH indicates that the event is All-Clear","+975-2-328095/321842/322602/328091",
urn:oid:2.49.0.0.64.4.1.20210823.003,hi,Health,Epidemic,"Execute,Avoid,Monitor",,Department of Public Health,@AREA क्षेत्र के लिए @DISEASE का प्रकोप प्रभाव में है,"@DATE को सार्वजनिक स्वास्थ्य विभाग ने @AREAS में @DISEASE मामलों में से @NUMBER का पता लगाया और मामलों की संख्या बढ़ रही है। यदि आप @SYMPTOMS और @SIGNS के साथ किसी रोगी की पहचान करते हैं, तो कृपया तुरंत केस रिपोर्ट सबमिट करें","एक संक्रामक रोग की रिपोर्ट करने के लिए प्रोटोकॉल निष्पादित करें। रोगी को @ITEMS के संपर्क में लाने से बचें। अगले तीन दिनों में स्थिति की निगरानी करें जब तक कि DoPH इंगित न करे कि घटना पूरी तरह से स्पष्ट है","+975-2-328095/321842/322602/328091",
urn:oid:2.49.0.0.64.2.20210823.005,en-US,"Fire,Safety,Env",Wildfire,"Evacuate,Execute,Avoid,Monitor",,Department of Disaster Management,A wildfire is in effect for @AREA,"On @DATE at @TIME, the Forest and Park Services has confirmed an escalating wildfire (forest fire) in @AREA. All residence in the @AREAS are advised to evacuate their homes. All other residence in negbouring Gewogs are advised to monitor the situation and be prepared to evacuate if and when a warning is issued.","Evacuate immediately take only essentials such as documents, medicine, clothes, and valuables. Execute implies the evacuation order is in effect and emergency management personnel will assist you with the evacuation. Avoid any search and rescue of family or loved ones but report them to the authorities. Avoid traveling or getting in the way of emergency response personnel attending to the situation. We will monitor and report the situation to you as and when we receive situational updates.",,
urn:oid:2.49.0.0.64.2.20210823.005,hi,"Fire,Safety,Env",Wildfire,"Evacuate,Execute,Avoid,Monitor",,Department of Disaster Management,"@AREA के लिए जंगल में आग लगी है","@DATE को @TIME बजे, वन और पार्क सेवाओं ने @AREA में एक बढ़ती जंगल की आग (जंगल की आग) की पुष्टि की है। @AREAS में सभी आवासों को अपने घरों को खाली करने की सलाह दी जाती है। नेगबोरिंग में अन्य सभी आवासों को सलाह दी जाती है कि वे स्थिति की निगरानी करें और चेतावनी जारी होने पर खाली करने के लिए तैयार रहें।.","तुरंत खाली कर दें केवल जरूरी सामान जैसे दस्तावेज, दवा, कपड़े और कीमती सामान ले जाएं। निष्पादन का तात्पर्य है कि निकासी आदेश प्रभावी है और आपातकालीन प्रबंधन कर्मी निकासी में आपकी सहायता करेंगे। परिवार या प्रियजनों की किसी भी खोज और बचाव से बचें लेकिन अधिकारियों को उनकी रिपोर्ट करें। यात्रा करने या स्थिति में भाग लेने वाले आपातकालीन प्रतिक्रिया कर्मियों के रास्ते में आने से बचें। जब भी हमें स्थितिजन्य अपडेट प्राप्त होंगे, हम निगरानी करेंगे और आपको स्थिति की रिपोर्ट करेंगे.",,
urn:oid:2.49.0.0.64.2.20210823.007,en-US,"Met,Safety",Glacier Lake Outburst Flood,"Evacuate,Execute,Shelter",,National Center for Hydrology and Meteorology,"GLOF by @LAKENAME in the @GLACIERNAME is threatening @AREAS","The National Center for Hydrology and Meteorology has observed the @LAKENAME in the @GLACIERNAME to swell dangerously. Sustained heat waves, a delayed monsoon and a spike in temperature has recently melted huge volumes of ice and snow causing the water level to rise by @HEIGHT meters. The government is issue a nationwide flood advisory, warning of the potential risk of a GLOF. Residence in potential danger of flash flood and landslides are warned to take precausions","Evacuate if you are in the impact zones,Execute evacuation procedures by taking personal belongings, valuables, and personal documents and assemble in the designated shelters. Shelters have been activated and emergency services will guide you to the nearest shelter.","+975 02-338442/17128052",
urn:oid:2.49.0.0.64.2.20210823.007,hi,"Met,Safety",Glacier Lake Outburst Flood,"Evacuate,Execute,Shelter",,National Center for Hydrology and Meteorology,"@LAKENAME द्वारा GLOF धमकी दे रहा है @AREAS","राष्ट्रीय जल विज्ञान और मौसम विज्ञान केंद्र ने @LAKENAME को खतरनाक रूप से प्रफुल्लित करने के लिए देखा है। निरंतर गर्मी की लहरें, विलंबित मानसून और तापमान में वृद्धि ने हाल ही में बर्फ और बर्फ की भारी मात्रा को पिघला दिया है, जिससे जल स्तर @HEIGHT मीटर बढ़ गया है। सरकार एक राष्ट्रव्यापी बाढ़ परामर्श जारी कर रही है, जिसमें GLOF के संभावित जोखिम की चेतावनी दी गई है। आकस्मिक बाढ़ और भूस्खलन के संभावित खतरे में निवासों को सावधानी बरतने की चेतावनी दी जाती है","यदि आप प्रभाव क्षेत्रों में हैं तो खाली करें, व्यक्तिगत सामान, क़ीमती सामान और व्यक्तिगत दस्तावेज़ लेकर निकासी प्रक्रियाओं को निष्पादित करें और निर्दिष्ट आश्रयों में इकट्ठा हों। आश्रयों को सक्रिय कर दिया गया है और आपातकालीन सेवाएं आपको निकटतम आश्रय में मार्गदर्शन करेंगी।","+975 02-338442/17128052",
urn:oid:2.49.0.0.64.2.20210823.009,en-US,"Met,Safety",Glacier Lake Outburst Flood,"Evacuate,Execute,Shelter",,National Center for Hydrology and Meteorology,"Thorthormi Glacier is threatening a Glacier Lake Outburst Flood","The National Center for Hydrology and Meteorology has observed the The Thorthormi Tsho (lake) in the  in the Thorthormi Glacier to swell dangerously and water has spilled into the Raphstreng Tsho (lake). Sustained heat waves, a delayed monsoon and a spike in temperature has recently melted huge volumes of ice and snow causing the water level to rise by 12 meters. The government is issue a nationwide flood advisory, warning of the potential risk of a GLOF. Residence in potential danger of flash flood and landslides are warned to take precausions","Evacuate if you are in the impact zones,Execute evacuation procedures by taking personal belongings, valuables, and personal documents and assemble in the designated shelters. Shelters have been activated and emergency services will guide you to the nearest shelter.","+975 02-338442/17128052",
urn:oid:2.49.0.0.64.2.20210823.009,en-US,"Met,Safety",Glacier Lake Outburst Flood,"Evacuate,Execute,Shelter",,National Center for Hydrology and Meteorology,"थोरथोर्मी ग्लेशियर ग्लेशियर झील के फटने से बाढ़ का खतरा बना रहा है","राष्ट्रीय जल विज्ञान और मौसम विज्ञान केंद्र ने थोरथोर्मी ग्लेशियर में थोरथोर्मी त्शो (झील) को खतरनाक रूप से प्रफुल्लित करने के लिए देखा है और पानी राफस्ट्रेंग त्शो (झील) में फैल गया है। निरंतर गर्मी की लहरें, मानसून में देरी और तापमान में वृद्धि ने हाल ही में बर्फ और बर्फ की भारी मात्रा को पिघला दिया है, जिससे जल स्तर 12 मीटर तक बढ़ गया है। सरकार एक राष्ट्रव्यापी बाढ़ परामर्श जारी कर रही है, जिसमें GLOF के संभावित जोखिम की चेतावनी दी गई है। आकस्मिक बाढ़ और भूस्खलन के संभावित खतरे में निवासों को सावधानी बरतने की चेतावनी दी जाती है","यदि आप प्रभाव क्षेत्रों में हैं तो खाली करें, व्यक्तिगत सामान, क़ीमती सामान और व्यक्तिगत दस्तावेज़ लेकर निकासी प्रक्रियाओं को निष्पादित करें और निर्दिष्ट आश्रयों में इकट्ठा हों। आश्रयों को सक्रिय कर दिया गया है और आपातकालीन सेवाएं आपको निकटतम आश्रय में मार्गदर्शन करेंगी।","+975 02-338442/17128052",
