Certificate,Skill,Competency
"CERT Basic Training","Disaster Psychology","Level 1"
"CERT Basic Training","Fire Suppression","Level 1"
"CERT Basic Training","Medical Treatment","Level 1"
"CFD Advanced Fire Training","Fire Suppression","Level 2"
"CERT Advanced Fire Training","Fire Suppression","Level 2"
"Firefighter Academy Graduation","Fire Suppression","Level 3"
"CERT Advanced First Aid","Medical Treatment","Level 2"
"AHA CPR / AED Certification","Medical Treatment","Level 2"
"RedCross CPR / AED Certification","Medical Treatment","Level 2"
"EMT-B License","Medical Treatment","Level 3"
"EMT-P License","Medical Treatment","Level 3"
"Nursing License","Medical Treatment","Level 3"
"Medical Doctorate","Medical Treatment","Level 3"
"IS700","Incident Command","Level 2"
