Type,Comments,KV:EMS
"Animal Die Off",,"animalHealth.animalDieOff"
"Animal Feed",,"animalHealth.animalFeed"
"Aircraft Crash",,"aviation.aircraftCrash"
"Aircraft Hijacking",,"aviation.aircraftHijacking"
"Airport Closure",,"aviation.airportClosure"
"Airspace Closure",,"aviation.airspaceClosure"
"Notice to Airmen",,"aviation.noticeToAirmen"
"Space Debris",,"aviation.spaceDebris"
"Demonstrations",,"civil.demonstrations"
"Dignitary Visit",,"civil.dignitaryVisit"
"Displaced Populations",,"civil.displacedPopulations"
"Civil Emergency",,"civil.emergency"
"Looting",,"civil.looting"
"Public Event",,"civil.publicEvent"
"Riot",,"civil.riot"
"Volunteer Request",,"civil.volunteerRequest"
"Crime",,"crime"
"Bomb",,"crime.bomb"
"Bomb Explosion",,"crime.bombExplosion"
"Bomb Threat",,"crime.bombThreat"
"Dangerous Person",,"crime.dangerousPerson"
"Drugs",,"crime.drugs"
"Home Crime",,"crime.homeCrime"
"Illegal Immigrant",,"crime.illegalImmigrant"
"Industrial Crime",,"crime.industrialCrime"
"Poisoning",,"crime.poisoning"
"Retail Crime",,"crime.retailCrime"
"Shooting",,"crime.shooting"
"Stowaway",,"crime.stowaway"
"Terrorism",,"crime.terrorism"
"Vehicle Crime",,"crime.vehicleCrime"
"Fire",,"fire"
"Forest Fire",,"fire.forestFire"
"Hot Spot",,"fire.hotSpot"
"Industry Fire",,"fire.industryFire"
"Smoke",,"fire.smoke"
"Urban Fire",,"fire.urbanFire"
"Wild Fire",,"fire.wildFire"
"Flood",,"flood"
"Dam Overflow",,"flood.damOverflow"
"Flash Flood",,"flood.flashFlood"
"High Water",,"flood.highWater"
"Overland Flow Flood",,"flood.overlandFlowFlood"
"Tsunami",,"flood.tsunami"
"Avalanche",,"geophysical.avalanche"
"Earthquake",,"geophysical.earthquake"
"Lahar",,"geophysical.lahar"
"Landslide",,"geophysical.landslide"
"Magnetic Storm",,"geophysical.magneticStorm"
"Meteorite",,"geophysical.meteorite"
"Pyroclastic Flow",,"geophysical.pyroclasticFlow"
"Pyroclastic Surge",,"geophysical.pyroclasticSurge"
"Volcanic Ash Cloud",,"geophysical.volcanicAshCloud"
"Volcanic Event",,"geophysical.volcanicEvent"
"Hazardous Material",,"hazardousMaterial"
"Biological Hazard",,"hazardousMaterial.biologicalHazard"
"Chemical Hazard",,"hazardousMaterial.chemicalHazard"
"Explosive Hazard",,"hazardousMaterial.explosiveHazard"
"Falling Object Hazard",,"hazardousMaterial.fallingObjectHazard"
"Infectious Disease (Hazardous Material)",,"hazardousMaterial.infectiousDisease"
"Poisonous Gas",,"hazardousMaterial.poisonousGas"
"Radiological Hazard",,"hazardousMaterial.radiologicalHazard"
"Infectious Disease",,"health.infectiousDisease"
"Infestation",,"health.infestation"
"Iceberg",,"ice.iceberg"
"Ice Pressure",,"ice.icePressure"
"Rapid Close Lead",,"ice.rapidCloseLead"
"Special Ice",,"ice.specialIce"
"Marine Security",,"marine.marineSecurity"
"Nautical Accident",,"marine.nauticalAccident"
"Nautical Hijacking",,"marine.nauticalHijacking"
"Port Closure",,"marine.portClosure"
"Special Marine",,"marine.specialMarine"
"Blizzard",,"meteorological.blizzard"
"Blowing Snow",,"meteorological.blowingSnow"
"Drought",,"meteorological.drought"
"Dust Storm",,"meteorological.dustStorm"
"Fog",,"meteorological.fog"
"Freezing Drizzle",,"meteorological.freezingDrizzle"
"Freezing Rain",,"meteorological.freezingRain"
"Freezing Spray",,"meteorological.freezingSpray"
"Hail",,"meteorological.hail"
"Hurricane",,"meteorological.hurricane"
"Rain Fall",,"meteorological.rainFall"
"Snow Fall",,"meteorological.snowFall"
"Snow Squall",,"meteorological.snowSquall"
"Squall",,"meteorological.squall"
"Storm Surge",,"meteorological.stormSurge"
"Thunderstorm",,"meteorological.thunderstorm"
"Tornado",,"meteorological.tornado"
"Tropical Storm",,"meteorological.tropicalStorm"
"Waterspout",,"meteorological.waterspout"
"Winter Storm",,"meteorological.winterStorm"
"Missing Person",,"missingPerson"
"Child Abduction Emergency","http://en.wikipedia.org/wiki/Amber_Alert","missingPerson.amberAlert"
"Missing Vulnerable Person",,"missingPerson.missingVulnerablePerson"
"Missing Senior Citizen","http://en.wikipedia.org/wiki/Silver_Alert","missingPerson.silver"
"Emergency Support Facility",,"publicService.emergencySupportFacility"
"Emergency Support Service",,"publicService.emergencySupportService"
"School Closure",,"publicService.schoolClosure"
"School Lockdown",,"publicService.schoolLockdown"
"Service or Facility",,"publicService.serviceOrFacility"
"Transit",,"publicService.transit"
"Railway Accident",,"railway.railwayAccident"
"Railway Hijacking",,"railway.railwayHijacking"
"Bridge Closed",,"roadway.bridgeClosure"
"Hazardous Road Conditions",,"roadway.hazardousRoadConditions"
"Road Accident",,"roadway.roadwayAccident"
"Road Closed",,"roadway.roadwayClosure"
"Road Delay",,"roadway.roadwayDelay"
"Road Hijacking",,"roadway.roadwayHijacking"
"Road Usage Condition",,"roadway.roadwayUsageCondition"
"Traffic Report",,"roadway.trafficReport"
"Arctic Outflow",,"temperature.arcticOutflow"
"Cold Wave",,"temperature.coldWave"
"Flash Freeze",,"temperature.flashFreeze"
"Frost",,"temperature.frost"
"Heat and Humidity",,"temperature.heatAndHumidity"
"Heat Wave",,"temperature.heatWave"
"Wind Chill",,"temperature.windChill"
"Gale Wind",,"wind.galeWind"
"Hurricane Force Wind",,"wind.hurricaneForceWind"
"Storm Force Wind",,"wind.stormForceWind"
"Strong Wind",,"wind.strongWind"
"Building Collapsed",,"other.buildingCollapsed"
"People Trapped",,"other.peopleTrapped"
"Power Failure",,"other.powerFailure"
