Name,Enabled,Visible,Base,Default,Folder,URL,URL2,URL3,Attribution,"Zoom Levels"
"OpenStreetMap (MapQuest)","True",,,"True",,"//otile1.mqcdn.com/tiles/1.0.0/osm/","//otile2.mqcdn.com/tiles/1.0.0/osm/","//otile3.mqcdn.com/tiles/1.0.0/osm/","Tiles Courtesy of <a href=""http://open.mapquest.co.uk/"" target=""_blank"">MapQuest</a> <img src=""//developer.mapquest.com/content/osm/mq_logo.png"" border=""0"">",
"OpenStreetMap (Humanitarian)","True",,,,,"//a.tile.openstreetmap.fr/hot/","//b.tile.openstreetmap.fr/hot/","//c.tile.openstreetmap.fr/hot/","Tiles Courtesy of <a href=""http://hot.openstreetmap.org/"" target=""_blank"">Humanitarian OpenStreetMap Team</a>",
"OpenStreetMap (Standard)","False",,,,,"//a.tile.openstreetmap.org/","//b.tile.openstreetmap.org/","//c.tile.openstreetmap.org/","Tiles Courtesy of <a href=""http://www.openstreetmap.org/"" target=""_blank"">OpenStreetMap</a>",
"OpenStreetMap (Landscape)","False",,,,,"http://a.tile3.opencyclemap.org/landscape/","http://b.tile3.opencyclemap.org/landscape/","http://c.tile3.opencyclemap.org/landscape/","Tiles Courtesy of <a href=""http://www.opencyclemap.org/"" target=""_blank"">OpenCycleMap</a>",
"OpenStreetMap (Cycle Map)","False",,,,,"http://a.tile.opencyclemap.org/cycle/","http://b.tile.opencyclemap.org/cycle/","http://c.tile.opencyclemap.org/cycle/","Tiles Courtesy of <a href=""http://www.opencyclemap.org/"" target=""_blank"">OpenCycleMap</a>",
"OpenStreetMap (Transport Map)","False",,,,,"http://a.tile2.opencyclemap.org/transport/","http://b.tile2.opencyclemap.org/transport/","http://c.tile2.opencyclemap.org/transport/","Tiles Courtesy of <a href=""http://www.opencyclemap.org/"" target=""_blank"">OpenCycleMap</a>",
"OpenStreetMap (Labels)","False","False","False",,,"http://casa.oobrien.com/maptiler/labelsonly/",,,"Labels overlay CC-by-SA by <a href=""http://oobrien.com/oom/"" target=""_blank"">OpenOrienteeringMap</a>/<a href=""http://www.openstreetmap.org/"">OpenStreetMap</a> data",
"OpenStreetMap (Relief)","False","False","False",,,"http://toolserver.org/~cmarqu/hill/",,,"Relief by <a href=""http://hikebikemap.de/"" target=""_blank"">Hike &amp; Bike Map</a>",
"OpenStreetMap (Taiwan)","False",,,,,"http://tile.openstreetmap.tw/tiles/",,,,
"OpenStreetMap (Sahana)","False",,,,,"http://geo.eden.sahanafoundation.org/tiles/",,,,
