uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
AUTHENTICATED,Authenticated,,pr,pentity,,,READ,,,,,
AUTHENTICATED,Authenticated,,pr,person_search,,,READ,,,,,For Autocompletes
AUTHENTICATED,Authenticated,,supply,,,,READ,,,,,
SITE_ADMIN,Relief Camp Coordinator,,cr,shelter,,,ALL,,,,,
SITE_ADMIN,Relief Camp Coordinator,,req,req,,,ALL,,,,,
ORG_ADMIN,District Coordinator,,cr,shelter,,,ALL,,,,,
ORG_ADMIN,District Coordinator,,req,req,,,ALL,,,,,
CONTROL_CENTRE,Control Centre Staff,,cr,shelter,,,READ,,,,,
CONTROL_CENTRE,Control Centre Staff,,inv,warehouse,,,ALL,,,,,
CONTROL_CENTRE,Control Centre Staff,,req,req,,,READ,,,,,
