Abrv,Name,SubsectorOf,Comments
Shelter,Shelter & NFIs,,HCT sector
Food Security,Food Security and Nutrition,,HCT sector
Coordination,"Coordination, information management and needs assessments",,HCT sector
Health,Health,,HCT sector
WASH,Water and Sanitation,,HCT sector
Education,Education,,HCT sector
Protection,Protection,,HCT sector
Child,Child Protection,Protection,HCT sector
Gender,Gender,Protection,HCT sector
Animal,Animal Protection,Protection,
ER,Early Recovery,,
SAR,Search and Rescue,,
Other,Other,,Prompt to enter more details in comments
Logs,Logistics,,IASC Cluster
ETC,Emergency Telecommunications,,IASC Cluster
