"Organisation","Branch","Resource Type","Country","L1","L2","L3","L4","Quantity","Comments"
"Seattle Fire Department",,"Staff",,,,,,5300,
"Tacoma Fire Department",,"Staff",,,,,,2300,
"Seattle Police Department",,"Staff",,,,,,8054,
"Tacoma Police Department ",,"Staff",,,,,,2394,
"Port of Seattle",,"Staff",,,,,,800,
"Port of Tacoma",,"Staff",,,,,,300,
"Port of Everett",,"Staff",,,,,,200,
"Foss Maritime",,"Staff",,,,,,1500,
"Crowley Maritime Corporation",,"Staff",,,,,,1200,
"Maersk Line",,"Staff",,,,,,1980,
"Seattle Fire Department",,"Offices",,,,,,3,
"Tacoma Fire Department",,"Offices",,,,,,4,
"Seattle Police Department",,"Offices",,,,,,5,
"Tacoma Police Department ",,"Offices",,,,,,2,
"Port of Seattle",,"Offices",,,,,,3,
"Port of Tacoma",,"Offices",,,,,,4,
"Port of Everett",,"Offices",,,,,,5,
"Foss Maritime",,"Offices",,,,,,6,
"Crowley Maritime Corporation",,"Offices",,,,,,1,
"Maersk Line",,"Offices",,,,,,3,
"Seattle Fire Department",,"Vehicles",,,,,,452,
"Tacoma Fire Department",,"Vehicles",,,,,,1562,
"Seattle Police Department",,"Vehicles",,,,,,1231,
"Tacoma Police Department ",,"Vehicles",,,,,,232,
"Port of Seattle",,"Vehicles",,,,,,2513,
"Port of Tacoma",,"Vehicles",,,,,,355,
"Port of Everett",,"Vehicles",,,,,,53,
"Foss Maritime",,"Vehicles",,,,,,443,
"Crowley Maritime Corporation",,"Vehicles",,,,,,345,
"Maersk Line",,"Vehicles",,,,,,34,
"Seattle Fire Department",,"Generators",,,,,,235,
"Tacoma Fire Department",,"Generators",,,,,,271,
"Seattle Police Department",,"Generators",,,,,,257,
"Tacoma Police Department ",,"Generators",,,,,,2344,
"Port of Seattle",,"Generators",,,,,,34,
"Port of Tacoma",,"Generators",,,,,,434,
"Port of Everett",,"Generators",,,,,,34,
"Foss Maritime",,"Generators",,,,,,67,
"Crowley Maritime Corporation",,"Generators",,,,,,54,
"Maersk Line",,"Generators",,,,,,71,
"Seattle Fire Department",,"Boats",,,,,,134,
"Tacoma Fire Department",,"Boats",,,,,,65,
"Seattle Police Department",,"Boats",,,,,,36,
"Tacoma Police Department ",,"Boats",,,,,,373,
"Port of Seattle",,"Boats",,,,,,364,
"Port of Tacoma",,"Boats",,,,,,544,
"Port of Everett",,"Boats",,,,,,45,
"Foss Maritime",,"Boats",,,,,,534,
"Crowley Maritime Corporation",,"Boats",,,,,,367,
"Maersk Line",,"Boats",,,,,,34,
