uid,role,description,controller,function,table,entity,uacl,oacl,Notes
ANONYMOUS,Anonymous,,org,organisation,,any,READ,,Allow new users to see orgs during registration 
ANONYMOUS,Anonymous,,,,org_organisation,any,READ,,Allow new users to see orgs during registration 
ANONYMOUS,Anonymous,,default,index,auth_user,,READ,,Allow users to decode the modified_by field
ANONYMOUS,Anonymous,,inv,,,any,READ,,
ANONYMOUS,Anonymous,,org,,,any,READ,,
ANONYMOUS,Anonymous,,pr,,,any,READ,,
ANONYMOUS,Anonymous,,req,,,any,READ,,
ANONYMOUS,Anonymous,,supply,,,any,READ,,
ANONYMOUS,Anonymous,,,,pr_group_membership,any,READ,,
ANONYMOUS,Anonymous,,gis,,,,READ,,
AUTHENTICATED,Authenticated,,cr,,,any,READ,,
AUTHENTICATED,Authenticated,,default,person,,,READ|CREATE|UPDATE,,
AUTHENTICATED,Authenticated,,,,gis_location,,READ|CREATE|UPDATE,,
AUTHENTICATED,Authenticated,,gis,index,,,READ,,
AUTHENTICATED,Authenticated,,gis,config,,,READ|CREATE,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,
AUTHENTICATED,Authenticated,,gis,geocode_r,,,READ,,
AUTHENTICATED,Authenticated,,gis,hdata,,,READ,,
AUTHENTICATED,Authenticated,,gis,hierarchy,,,READ,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,
AUTHENTICATED,Authenticated,,gis,location,,,READ,,
AUTHENTICATED,Authenticated,,pr,contact,,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,pr,contact_emergency,,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,gis_config,,READ|CREATE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,gis_layer_bing,,READ,,
AUTHENTICATED,Authenticated,,,,gis_layer_coordinate,,READ,,
AUTHENTICATED,Authenticated,,,,gis_layer_empty,,READ,,
AUTHENTICATED,Authenticated,,,,gis_layer_feature,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_geojson,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_georss,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_google,,READ,,
AUTHENTICATED,Authenticated,,,,gis_layer_gpx,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_kml,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_openstretmap,,READ,,
AUTHENTICATED,Authenticated,,,,gis_layer_theme,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_tms,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_wfs,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_wms,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,gis_layer_xyz,,READ|CREATE,,
AUTHENTICATED,Authenticated,,,,hrm_human_resource,,,READ,
AUTHENTICATED,Authenticated,,,,hrm_training,,,READ,
AUTHENTICATED,Authenticated,,,,pr_address,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_contact,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_contact_emergency,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_education,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_group_membership,,,READ,
AUTHENTICATED,Authenticated,,,,pr_identity,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_image,,,READ|CREATE|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_person,,,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_physical_description,,,READ|CREATE|UPDATE,
USER,Normal User,,cr,,,any,READ,,
USER,Normal User,,cr,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,inv,,,any,READ,,
USER,Normal User,,inv,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,org,,,any,READ,,
USER,Normal User,,org,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,pr,,,any,READ,,
USER,Normal User,,pr,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,req,,,any,READ,,
USER,Normal User,,req,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,supply,,,any,READ,,
USER,Normal User,,supply,,,,READ|CREATE|UPDATE,READ|CREATE|UPDATE|DELETE,
USER,Normal User,,,,pr_address,,READ,READ|CREATE|UPDATE,
USER,Normal User,,,,pr_contact,,READ,READ|CREATE|UPDATE,
USER,Normal User,,,,pr_contact_emergency,,READ,READ|CREATE|UPDATE,
USER,Normal User,,,,pr_education,,READ,,
USER,Normal User,,,,pr_group_membership,,READ,,
USER,Normal User,,,,pr_identity,,READ,,
USER,Normal User,,,,pr_image,,READ,,
USER,Normal User,,,,pr_person,,READ,,
USER,Normal User,,,,pr_physical_description,,READ,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,admin,user,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,cr,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,inv,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,org,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,pr,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,req,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,supply,,,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,supply,,,any,READ,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_address,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_contact,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_contact_emergency,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_education,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_group_membership,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_identity,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_image,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_pentity,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_person,,ALL,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,,,pr_physical_description,,ALL,,
