Catalog,Category,Item Name,Unit of Measure,Brand
Default,Other Rescue Equipment,4 people search deluxe rescue kits,Piece,
Default,First Aid Kits,Ambu bag,Piece,
Default,Fire Fighting Gears,Aska Water Mist Cum compressed Air foam base,Piece,
Default,Radio set,Base Station,Piece,Motorola
Default,Stretchers,Basket foldable stretcher,Piece,
Default,Stretchers,Basket Stretcher,Piece,
Default,Other Rescue Equipment,Binocular,Piece,
Default,Equipment,Blue star AC System,Piece,Blue Star
Default,Rescue boot,boot,Piece,
Default,Furniture,Computer table,Piece,
Default,Stretchers,Confined space rescue stretcher,Piece,
Default,Urban Search and Rescue Equipment,Crib block set,Piece,
Default,Other Rescue Equipment,Crowbar,Piece,
Default,Computer & Peripherals,Desktop,Piece,
Default,Computer & Peripherals,Desktop computer,Piece,
Default,repeater system,Digital Repeater System,Piece,Motorola
Default,Radio set,Digital VHF Handset,Piece,Motorola
Default,Pulleys,Double Pully,Piece,
Default,Suits,Dry suits,Piece,
Default,Ropes,Dynamic Rope,Piece,
Default,Anchors,Easy Anchor webbing,Piece,
Default,Anchors,Easy Enchor Cable,Piece,
Default,Other Rescue Equipment,Edge protector,Piece,
Default,Urban Search and Rescue Equipment,Elbow pad,Piece,
Default,Other Rescue Equipment,Emergency Kits bags,Piece,
Default,Urban Search and Rescue Equipment,Emergency lighting tower,Piece,
Default,Fire Fighting Gears,Extinguisher Type A,Piece,
Default,Fire Fighting Gears,"Extinguisher Type A,B,C",Piece,
Default,Fire Fighting Gears,Extinguisher Type B,Piece,
Default,Fire Fighting Gears,Extinguisher Type B.C,Piece,
Default,Fire Fighting Gears,Extinguisher Type C,Piece,
Default,Ascender/Descender,Fall arrester/belay device/international devi,Litre,
Default,Computer & Peripherals,Fax machine (Panasonic),Piece,
Default,Computer & Peripherals,Fax Machines,Piece,
Default,First Aid Kits,First aid box,Piece,
Default,Ropes,Floating rope,Piece,
Default,Stretchers,Foldable Stretcher,Piece,
Default,Harness,Full body harness,Piece,
Default,Other Rescue Equipment,Hammer,Piece,
Default,Handsets programming cablle,handset,Piece,Dell
Default,Radio set,"Handsets (VHF, ICOM, Motorola)",Piece,Motorola
Default,Searchlight,Head Light,Piece,
Default,Harness,Hip/seat harness,Piece,
Default,Urban Search and Rescue Equipment,Hydraulic RAM,Piece,
Default,Urban Search and Rescue Equipment,Knee pad,Litre,
Default,Other Rescue Equipment,Knife,Piece,
Default,Computer & Peripherals,Laptop,Piece,
Default,Gloves,Leather Gloves,Piece,
Default,Searchlight,LED Search Light,Piece,
Default,River Rescue Equipment,Life vest/jacket,Piece,
Default,Urban Search and Rescue Equipment,Lifting bag & accessories,Piece,
Default,Bridle,Lifting bridle for basket stretcher,Piece,
Default,Urban Search and Rescue Equipment,Lightweight rectangular tent(Box A and box B),Piece,
Default,River Rescue Equipment,Line throwing gun,Piece,
Default,Computer & Peripherals,Loudspeaker/siren,Piece,
Default,Computer & Peripherals,Mac Book Pro,Piece,Apple
Default,First Aid Kits,Manikin/dummy,Piece,
Default,Urban Search and Rescue Equipment,Mask,Piece,
Default,Anchors,Multi Anchors plates,Piece,
Default,First Aid Kits,Neck collar,Piece,
Default,Stretchers,Ordinary stretcher/Easy Evac Stretcher,Piece,
Default,Urban Search and Rescue Equipment,Petrol driven jack hammer,Piece,
Default,Computer & Peripherals,Photocopier Machines,Piece,
Default,Other Rescue Equipment,Pickaxe,Piece,
Default,Urban Search and Rescue Equipment,Piton,Piece,
Default,Carabiners,Plain Carabiner,Piece,
Default,Urban Search and Rescue Equipment,Power chain,Piece,
Default,Urban Search and Rescue Equipment,Power unit for hydraulic rescue equipment,Piece,
Default,Computer & Peripherals,Printer,Piece,
Default,Computer & Peripherals,Printer (HP Laserjet P2055d),Piece,
Default,Prusiks,Prusik Cord,Piece,
Default,Figure of 8,Rappel 8,Piece,
Default,Bridle,Ready-made- bridle,Piece,
Default,River Rescue Equipment,Rescue boat,Piece,
Default,Rescue boot,Rescue boot,Piece,
Default,Urban Search and Rescue Equipment,Rescue Circular Saw with cutting blades,Piece,
Default,Helmet,Rescue hard hat,Piece,
Default,Furniture,Revolving Chair,Piece,
Default,River Rescue Equipment,Ring Buoy,Piece,
Default,Gloves,Ring rope gloves,Piece,
Default,Gloves,Ringer rope gloves,Piece,
Default,Urban Search and Rescue Equipment,Rock driller,Piece,
Default,Other Rescue Equipment,Rope Ladder,Piece,
Default,Slings,Rope Sling (Piece),Piece,
Default,Fire Fighting Gears,Rosenbauer fire fighting leather gloves,Piece,
Default,Fire Fighting Gears,Rosenbauer Fireman's turnout suit-jacket,Piece,
Default,Fire Fighting Gears,Rosenbauer Fireman's turnout suit-trouser,Piece,
Default,Fire Fighting Gears,Rosenbauer power extinguisher,Piece,
Default,Fire Fighting Gears,Rosenbauer protective helmet,Piece,
Default,Fire Fighting Gears,Rosenbauer protective slip-on fire boots,Piece,
Default,Other Rescue Equipment,Rucksack bag,Piece,
Default,Other Rescue Equipment,Safety goggles,Piece,
Default,Other Rescue Equipment,Saw,Piece,
Default,Carabiners,Screw Carabiner,Piece,
Default,Carabiners,Screw Carabiner D Shape,Piece,
Default,Carabiners,Screw Carabiners O Shape,Piece,
Default,Urban Search and Rescue Equipment,Search Camera,Piece,
Default,Harness,Seat harness,Piece,
Default,Urban Search and Rescue Equipment,Self-contained breathing apparatus (SCBA) set,Piece,
Default,Ropes,Semi-static rope,Piece,
Default,Other Rescue Equipment,Shovel,Piece,
Default,Pulleys,Single pulley,Piece,
Default,Stretchers,SKED Stretcher,Piece,
Default,Other Rescue Equipment,Spade,Piece,
Default,Urban Search and Rescue Equipment,Spare 300 bar cylinders for SCBA,Piece,
Default,Stretchers,Spine Board,Piece,
Default,Ropes,Static Rope,Piece,
Default,Prusiks,Tandum Prusik,Piece,
Default,Slings,Tape Sling (Roll),Piece,
Default,Computer & Peripherals,Telephone,Piece,
Default,Searchlight,Torches,Piece,
Default,Harness,Triangular evacuation harness,Piece,
Default,Other Rescue Equipment,Tripod rescue system,Piece,
Default,Computer & Peripherals,UPS Backup,Piece,
Default,Satellite Equipment,VHF handset,Piece,tk
Default,Helmet,Water helmet,Piece,
Default,River Rescue Equipment,Water throw bag,Piece,
Default,Computer & Peripherals,Web Camera,Piece,
Default,Suits,Wet suits,Piece,
Default,Other Rescue Equipment,Whistle,Piece,
Default,Furniture,White board,Piece,
