Name,Country,L1,L2,L3,L4
Wangdicholing Hospital,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Chamkhar
BHU,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Zhabjethang
BHU,BT,Bumthang,Chhume,Phurjoen,Ungsang
BHU,BT,Bumthang,Tang,Dazur,Yezrang
BHU,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Dhur
BHU,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,Pangkhar
Wangdue Hospital (Jatshokha),BT,Wangduephodrang,Thedtsho,RinchhengangMaed,Chagzamphakha
Punakha Hospital,BT,Punakha,Guma,Guma -Wolakha,Gumakha
phuntshogthang BHU,BT,Samdrupjongkhar,Phuntsthothang,,
Tashi Gatsel MI room,BT,Chhukha,Bjachho,Tashi Gatshel,Tashi Gatsel
Pema Gatshel Hospital,BT,Pemagatshel,Shumer,Bartsheri,Bartsheri
Samtse General Hospital,BT,Samtse,Samtse Dzongkhag Thromde,,Yugo(Daragoan)
Bartsham BHU,BT,Trashigang,Bartsham,Trashang,Trashang
Thinleygang BHU,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,Tangho
Tarphel BHU II,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Dzongkhag Hospital,BT,Tsirang,Kikorthang,Maenchhana,Maenchhana(Mithun)
BHU,BT,Lhuentse,Jaray,Ladrong,Ladrong
Bali Hospital,BT,Haa,Haa Town,,
Kuzhuchen BHU,BT,Thimphu,Kawang,Kuzhugchen,
Wangdicholing hospital,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Wangduecholing
Daga BHU,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Gelephu Referel hospital,BT,Sarpang,Gelephu,Pemathang,
Panbang Hospital,BT,Zhemgang,Ngangla,Panbang_Sonamthang,Panbang
Gem Dorji,BT,Trongsa,Tangsibji,Tangsibji,Tashiling
Thangrong,BT,Monggar,Thangrong,Ngaru_Pongtang,
Yangtse Dzongkhag Hospital,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Tongchen
Dagapela Hospital,BT,Dagana,Gozhi,Gozhi Bar,Gozhi Baar
Lhamoizingkha BHU,BT,Dagana,Lhamoizingkha,,
Khagochen BHU,BT,Dagana,Kana,Dalithang-Gangyab,Khagochen
Bjurugang BHU,BT,Dagana,Kana,Bjurugang,Bjurugang
Nimtola BHU,BT,Dagana,Dorona,Nimtola,Nimtola
Akhochen BHU,BT,Dagana,Khipisa,Akhochen,Akochen
Drujegang BHU,BT,Dagana,Drugyelgang,Budipang-pangna,Pangna
Tsangkha BHU,BT,Dagana,Tsangkha,Tshangkha,Tshangkha
Laja BHU,BT,Dagana,Lajab,Barna,Aechephu
Dawakha,BT,Paro,Doga,Dawakha_Tshongkha,Tshongkha
Tarphel Sub post,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Dungzam BHU,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Dungzam
BHU1,BT,Sarpang,Chhudzom,Jangchubling,Jangchubling(Pankhey)
BHU,BT,Lhuentse,Minjay,Boo-Dur_Kupi-Nyalsa,Boo-dur
BHU,BT,Lhuentse,Jaray,Ladrong,Ladrong
BHU,BT,Lhuentse,Khoma,Berpa_Khoma,Khoma
BHU,BT,Lhuentse,Kurtoe,Dungkar,
BHU,BT,Lhuentse,Menbi,Tagmochhu_Gorgan,Tagmochhu
BHU,BT,Lhuentse,Metsho,Gortshom_Tshangthrom-Maed,Gortshom
BHU,BT,Lhuentse,Jaray,Yabi_Zangkhar,Zangkhar
BHU,BT,Lhuentse,Jaray,Ladrong,Ladrong
BHU,BT,Lhuentse,Tsenkhar,Autsho_Chharbi,Autsho
BHU,BT,Lhuentse,Tsenkhar,Dekaling_Tshochhen,Tshochhen
Resirbo Hospital,BT,Trashigang,Lumang,Riserboo - Tsangpo,Riserboo
Trashigang Hospital,BT,Trashigang,Samkhar,Maelphel - Samkhar,Malphel
Tshangpo BHU 1,BT,Trashigang,Thrimshing,Tsangpo- Lhakhang jab,Tsangpo
Rangjung BHU 1,BT,Trashigang,Shongphu,Changmi - Rangjoong,Rangjung
Kanglung BHU 1,BT,Trashigang,Kanglung,Mertsham-Thragom,Thragom
