Template,Name,Date,Country,L1,L2,L3,L4
Initial Disaster Assessment (IDA),Earthquake,05-Apr-2021,BT,Thimphu,Ge-nyen,,
Detailed Damage Assessment,Earthquake,12-Jul-2019,BT,Pemagatshel,Dungmin,,
Detailed Damage Assessment,Earthquake,12-Jul-2019,BT,Pemagatshel,Dungmin,Bangyuel,
Detailed Damage Assessment,Structural Fire,23-Aug-2019,BT,Zhemgang,Phangkhar,Shalingtoed_Tashibi,Tashibi
Detailed Damage Assessment,GLOF,09-Apr-2020,BT,Zhemgang,Goshing,Lamthang,Babsar
Detailed Damage Assessment,Windstorm,08-Apr-2020,BT,Monggar,Drepoong,Drepoong,
Detailed Damage Assessment,Structural Fire,,BT,Monggar,Shermuhung,Gangmung,Gangmung
Detailed Damage Assessment,Windstorm,10-Apr-2020,BT,Zhemgang,Bjoka,Barpong_Namirgang,Barpong
Detailed Damage Assessment,Windstorm,10-Apr-2020,BT,Zhemgang,Bjoka,Kamati,Kamati
Detailed Damage Assessment,Windstorm,10-Apr-2020,BT,Zhemgang,Nangkor,Goling,Zhobling
Detailed Damage Assessment,Windstorm,10-Apr-2020,BT,Zhemgang,Trong,Dangkhar_Trong,Tingbi Pam
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Zhemgang,Trong,Zhemgang Thromde,Trong
Detailed Damage Assessment,Forest Fire,11-Apr-2020,BT,Dagana,Tsendagang,Samarchhu,Darey
Detailed Damage Assessment,GLOF,02-Apr-2020,BT,Punakha,Chubu,Ngoedrupchu,Chimchina
Detailed Damage Assessment,GLOF,,BT,Monggar,Mongar,Gyalpoizhing_Wangling,
Detailed Damage Assessment,GLOF,12-Apr-2020,BT,Monggar,Tsakaling,Nyartsi_Tsakaling,
Detailed Damage Assessment,GLOF,10-Apr-2020,BT,Monggar,Tsamang,Thuenmong_Tokari,Tokari
Detailed Damage Assessment,Thunder & Lightning,09-Apr-2020,BT,Monggar,Chaskhar,Borphai_Chagsakhar,Warjam
Detailed Damage Assessment,Windstorm,,BT,Chhukha,Loggchina,,
Detailed Damage Assessment,Windstorm,,BT,Chhukha,Phuentshogling,Pekarling_Rigzinling,
Detailed Damage Assessment,Windstorm,10-Apr-2020,BT,Chhukha,Bongo,Gedu_Miritsemo,Shingchikha
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Lamthang,
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Lamthang,Lumtang
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Lamthang,Silingbi
Detailed Damage Assessment,Windstorm,16-Apr-2020,BT,Zhemgang,Goshing,Budhashi,Boksar
Detailed Damage Assessment,Windstorm,16-Apr-2020,BT,Zhemgang,Goshing,Budhashi,Zhangzhaling
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Budhashi,Yungkhorpong
Detailed Damage Assessment,Windstorm,16-Apr-2020,BT,Zhemgang,Goshing,Budhashi,Zurphag
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Budhashi,Budhashi
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Lamthang,Dzongphu
Detailed Damage Assessment,Windstorm,15-Apr-2020,BT,Zhemgang,Goshing,Budhashi,
Detailed Damage Assessment,Structural Fire,04-Jan-2020,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,Metsaga
Detailed Damage Assessment,Structural Fire,17-Apr-2020,BT,Chhukha,Bongo,Gedu_Miritsemo,Pakshikha
Detailed Damage Assessment,Windstorm,,BT,Tsirang,Kilkhorthang,Maenchhana,
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Mendrelgang,Pemashong_Samsh- ing Gaden,Pemashong(Sarkigaon)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Patsaling,Patshaling Maed_ Tsakaling,Patshaling Maed
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Kilkhorthang,Dekiling,Dekiling(Lower Bockray)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Kilkhorthang,Dekiling,Dekiling(Lower Bockray)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Kilkhorthang,Tashiyangjong,
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Doonglagang,Khirithang,
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Tsirangtoed,Tagthang_Wangphu,Tagthang(Bhaktar)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Tsirangtoed,Kabelzhing,Kabelzhing(Tsirang Toed)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Rangthaling,Charingma_Rangth- angling,Charingma (Zulphay- gaon)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Tsolingkhar,Droobchhugang,Alenchi(Alaichey)
Detailed Damage Assessment,Windstorm,09-Apr-2020,BT,Tsirang,Rangthaling,Neymedsa,Neymedsa (Nevarey)
Detailed Damage Assessment,Thunder & Lightning,11-Apr-2020,BT,Tsirang,Mendrelgang,Pemashong_Samsh- ing Gaden,Pemashong(Sarkigaon)
Detailed Damage Assessment,Thunder & Lightning,,BT,Samtse,Samtse Dzongkhag Thromde,,
