Catalog,Category Code,Category,Item Name,Unit of Measure
Default,Assets,Assets,Radio,piece
Default,Assets,Assets,Tower ladder,piece
Default,Assets,Assets,Command Unit,piece
Default,Assets,Assets,Tanker Truck,piece
Default,Assets,Assets,Motor boat,piece
Default,Assets,Assets,Safety line,piece
Default,Assets,Assets,Life jacket,piece
Default,Assets,Assets,Robot,piece
Default,Assets,Assets,Digging equipment,piece
Default,Assets,Assets,Scanning device,piece
Default,Assets,Assets,Pump,piece
Default,Assets,Assets,Dog,piece
Default,Assets,Assets,Sledge,piece
Default,Assets,Assets,Helicopter,piece
Default,Assets,Assets,Protective clothing,piece
Default,Assets,Assets,Gloves,piece
Default,Assets,Assets,Face shields,piece
Default,Assets,Assets,Goggles,piece
Default,Assets,Assets,Facemasks,piece
Default,Assets,Assets,Sampling device,piece
Default,Assets,Assets,Sample container,piece
Default,Assets,Assets,Sanitizer,piece
Default,Assets,Assets,Helmet,piece
Default,Assets,Assets,Thermal Blanket,piece
Default,Assets,Assets,Axe,piece
Default,Assets,Assets,Drinking water,piece
Default,Assets,Assets,Cooler box,piece
Default,Vehicles,Vehicles,Bus,piece
Default,Vehicles,Vehicles,Fire Truck,piece
