Project Name,Country,L1
Flood Risk Reduction Survey,BT,Chhukhha
Flood Risk Reduction Survey,BT,Zhemgang
Gewog CBDRM,BT,Lhuentse,
Land management project,BT,Monggar
Land management project,BT,Lhuentse
Road Constraction,BT,Haa
Hazard mapping,BT,Bumthang
Hazard mapping,BT,Gasa
wangchu Basin,BT,Thimphu
SAR,BT,Pemagatshel
Boomdelying Samsar Project,BT,Paro
Serkang chu Flood protection,BT,Trashiyangtse
Bridge constrcution,BT,Sarpang
BHU restoration,BT,Sarpang
Flood protection wall at Kurichu,BT,Dagana
Flood protection wall at Kurichu,BT,Monggar
ooooo,BT,Paro
GLOF & EWS,BT,Dagana
Flood Mitigation,BT,Dagana
early warning system,BT,Trongsa
constrcuction of irrigation channal,BT,Sarpang
Land management project,BT,Lhuentse
Melphay stream protection,BT,Thimphu
Melphay stream protection,BT,Trashigang
Construction of Fire Hydrant at Rukubji Village,BT,Wangduephodrang
Restoration of Farm road,BT,Thimphu
Restoration of Farm road,BT,Sarpang
JICA flood siren,BT,Bumthang
Ratay Khola bank protection Project,BT,Tsirang
Construction of Fire hydrant,BT,Wangduephodrang
DIMS Project,BT,Samtse
Swiss red cross,BT,Pemagatshel
Swiss red cross,BT,Punakha
Methidrang stream embankment,BT,Trashigang
IT Lab Mitigation Project,BT,Zhemgang
Project SASEC,BT,Bumthang
IT Lab Mitigation Project,BT,Zhemgang
Hydro-electric power cooperation,BT,Wangduephodrang

