Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Site,Points,Trackable,Style,Opacity,Folder,Visible,Enabled,Cluster Threshold,Refresh
Airports,All Active Airports,transport,airport,airport,Airport,{name} (T('Airport')),name,~.obsolete=False,,True,,,,,False,,,
Bridges,All Bridges,transport,bridge,bridge,Bridge,{name} (T('Bridge')),name,,,True,,,,,False,,,
Cultural Sites,All Active Cultural Sites,org,facility,temple,Church,{name} (T('Cultural Site')),name,"~.obsolete=False&site_facility_type.facility_type_id$name=Cultural Site",,True,,,,,False,,,
Education Facilities,All Active Schools,edu,school,school,School,{name} (T('Education Facility')),name,~.obsolete=False,,True,,,,,False,,,
Health Facilities,All Active Hospitals,hms,hospital,hospital,Medical Facility,{name} (T('Health Facility')),name,~.obsolete=False,,True,,,,,False,,,
Population,For summary page,stats,demographic_data,,,{location_id}: {value},"location_id,value",,,,,"[{'prop':'value','fillOpacity':0.5}]",0.5,,,False,0,0
Heliports,All Active Heliports,transport,heliport,helicopter,Heliport,{name} (T('Heliport')),name,~.obsolete=False,,True,,,,,False,,,
Projects,,project,location,project,,{name} (T('Project'))<br />{location_id},"name,location_id",,,,,,,,False,,,
Shelters,All Active Shelters,cr,shelter,shelter,Campground,{name} (T('Shelter'))<br />T('Population') {population}<br />T('Capacity') {capacity_day},"name,population,capacity_day",~.status__ne=1,,True,,,,,False,,,
Training Events,Used for Search Results,hrm,training_event,,,{course_id} (T('Training Event'))<br />{site_id}<br />{start_date},"course_id,site_id,start_date",,,True,,,,,,False,,
Warehouses,,inv,warehouse,warehouse,Warehouse,{name} (T('Warehouse')),name,&~.obsolete=False,,True,,,,,False,,,
Water Sources,,water,reservoir,water,Water Hydrant,{name} (T('Water Source')),name,,,True,,,,,False,,,
