"Name","Comments","Notes"
"Advocacy",,
"Assessment and Community/Beneficiary Identification",,
"Auxiliary Role",,
"Awareness Raising",,
"Bdrt (Branch Disaster Response Teams)",,
"Behaviour Change Communication",,
"Better Programming Initiative Guidance",,
"Blood Banking",,
"Blood Donor Recruitment",,
"Boq and Cost Estimation",,
"Branch Planning",,
"Capacity Building",,
"Capacity Building of Governance",,
"Capacity Building of Management Staff",,
"Capacity Building of Staff",,
"Capacity Building of Volunteers","training and mobilisation",
"Catchment Protection",,
"CDRT (Community Disaster Response Teams)",,
"Children's Education",,
"Clean-Up Campaign",,
"Climate Change Adaptation ",,
"Climate Change Mitigation",,
"Club 25 / Pledge 25",,
"Coastal Conservation ",,
"Community Action Planning",,"DRR"
"Community Based Health and First Aid (Cbhfa)",,
"Community Disaster Awareness",,
"Community Early Warning Systems",,
"Community Health Committees",,
"Community Health Initiative/Projects",,
"Community Health Risk Assessments",,
"Community Mobilisation",,
"Community Organisation",,
"Community Preparedness",,
"Construction Activities",,
"Construction of Water Supply Systems","gravity-fed, shallow wells, boreholes",
"Contingency/Preparedness Planning",,
"Contractual Agreements (Community/Individual)",,
"Contractual Agreements (Governmental)",,
"Coordination and Partnerships",,
"Database Development",,
"Desluding ",,
"Disaster Law",,
"Disease Prevention",,
"Distribution of Food",,
"Distribution of Non-Food Items",,
"DM Planning",,
"Early Warning Systems",,
"Education & Advocacy",,
"Emergency Householdwater Treatment and Storage",,
"Emergency Water Supply",,
"Enterprise Development Training ","Financial, Planning, etc",
"Evacuation Drills",,
"Feeding Programmes",,
"Financial Risk Sharing ","community funds, etc",
"Financial Services","savings, credit, insurance",
"First Aid",,
"Food Security ",,
"Food Supplementation",,
"Hand Washing Facilities",,
"Health Awareness, Promotion",,
"Health Facilities - Construction and Operation",,
"Health Policy, Strategy Development",,
"House Design",,
"IEC Materials",,
"Immunisation Campaigns",,
"Improved Production Techniques","demonstration, training and support",
"Infant and Young Child Feeding",,
"Installation of Rainwater Harvesting Systems",,
"Insurance ",,
"Irrigation and Watershed Management",,
"Knowledge Management ",,
"Latrine Construction","emergency and permanent",
"Legal Approvals",,
"Logistics & Warehouses",,
"Mainstreaming DRR",,"DRR"
"Markets/Marketing Analysis, Linkages and Support",,
"Medical Supplies and Equipment",,
"Mobile Health Units",,
"Monitoring and Evaluation",,
"NDRT (National Disaster Response Teams)",,"DRR"
"Nutrition",,
"Nutritional Assessments",,
"Organisational Preparedness – Nhq and Branches",,
"Participatory Hygiene Promotion",,
"Peer Support",,
"Planning and Construction of Drainage Systems ",,
"Policy Development",,
"Post Harvest Storage and Management",,
"Programme Preparation and Action Plan, Budget & Schedule",,
"Project Assessments and Planning",,
"Provision of Inputs","seeds, tools, fertilizers, fishing nets, other equipment for livelihoods activities",
"Provision of Tools and Equipment",,
"Psychosocial Support","tools/guidelines/trainings in cross-cultural contexts",
"Rangeland, Fisheries and Forest Management",,
"RDRT (Regional Disaster Response Teams)",,
"Referral",,
"Resource Transfers for Acquiring Assets","cash, voucher, food aid",
"Resource Transfers for Replacing/ Provisioning Or Consumption","cash, vouchers, food aid",
"Risk Management and Quality Assurance",,
"Risk Transfer",,
"Sanitation",,
"School RC Units Development",,
"School Safety and Children Education,",,
"Simulation ",,
"Site Planning",,
"Site Selection",,
"Situation Monitoring/Community Surveillance",,
"Small Scale Mitigation",,
"Social Mobilisation",,
"Solid Waste Management",,
"Sops and Guidelines Development",,
"Spraying of Vectors",,
"Stockpiling, Prepositioning of Supplies",,
"Strategy Development",,
"Tools and Guidelines Development",,
"Training ",,
"Training of Community/First Responders ",,
"Training of Master Trainers/Trainers",,
"Tree  and Mangrove Planting ",,
"VCA (Vulnerability and Capacity Assessment)",,
"Vector Control",,
"Vocational Training and Employment Skills",,
"Volunteer Insurance",,
"Volunteer Recognition",,
"Volunteer Recruitment","normal and ViE too",
"Volunteer Training",,
"Volunteering in Emergencies Guidelines/Toolkit",,
"Volunteering in Pandemic Emergency Situations",,
"Water Testing",,
"Youth Leadership Development",,
