"Name","Comments","Notes"
"Blood Donation and Services",,
"Branch Capacity Development ",,
"Capacity Development","training and development, institutional strengthening, institutional learning",
"CBDRM ",,
"Civil Society/NGOs","civic action, collective community action, community-based organization (CBO) action, grassroots action, integrative DRR, non-governmental organization (NGO) action",
"Climate Change","adaptation to climate change, sustainable development",
"Communicable Diseases","Including emerging and re-emerging diseases, vaccine preventable diseases, HIV, TB",
"Community health",,
"Community-based DRR","local knowledge, local risk mapping",
"Complex Emergency","multiple hazard crisis, humanitarian crisis, conflict",
"Critical Infrastructure","communications systems, health facilities, 'lifelines', power and energy, emergency evacuation shelters, financial infrastructure, schools, transportation, waste disposal, water supplies",
"Disaster Risk Management","civil protection, contingency and emergency planning, early recovery, preparedness",
"Diversifying Livelihoods",,
"Donor Driven Housing Reconstruction",,
"Drainage",,
"Early Warning","risk knowledge, monitoring and warning service, risk communication, response capability, disaster preparedness, risk modelling",
"Economics of DRR","cost benefit analysis, disaster risk financing, financial effects of disasters, poverty and disaster risk, risk sharing, socio-economic impacts of disasters",
"Education & School Safety","learning, safe schools",
"Emergency Health",,
"Environment","sustainable development, environmental degradation, ecosystems and environmental management",
"Epidemic/Pandemic Preparedness",,
"Excreta Disposal",,
"Financial System Development",,
"Gender","gendered vulnerability, gender-sensitive disaster risk management",
"GIS & Mapping","geographic information systems, hazard exposure mapping, vulnerability mapping, risk mapping",
"Governance","disaster risk reduction policy and legislation, National Platform for disaster risk reduction, Regional Platforms for disaster risk reduction",
"Health & Health Facilities","capacity of health practitioners, mental health",
"Housing Repair and Retrofitting ",,
"Human Resource development ",,
"Hygiene Promotion",,
"Information Management","disaster databases, disaster information, disaster risk information portals, ICT",
"Information Technology",,
"Infrastructure Development",,
"Maternal, Newborn and Child Health",,
"Media","disaster reporting, disaster information dissemination",
"Medical Services",,
"Member Base Development",,
"Non-Communicable Diseases",,
"Nutrition",,
"Owner Driven Housing Reconstruction",,
"Partnerships ",,
"PASSA",,
"PMER development",,
"Private-Public Partnerships","corporate social responsibility, private sector engagement in DRR",
"Programme Planning and Management ",,
"Protecting Livelihoods",,
"Psychosocial Support",,
"Recovery","building back better, long-term recovery and reconstruction, rehabilitation, shelter",
"Replacing or Provisioning Livelihoods",,
"Resource Mobilization","Fundraising, income generation, in-kind support, partnership",
"Restarting Livelihoods",,
"Risk Identification & Assessment","risk assessment, loss data, disaster risk management",
"Risk Transfer & Insurance","disaster insurance, contingency funding, micro-insurance, post-disaster loans, risk financing, risk insurance, risk sharing, pooling",
"Road Safety",,
"School Health",,
"Sexual and Reproductive Health",,
"Social Impacts & Resilience","coping capacity, loss absorption, loss acceptance, psychosocial support, social vulnerability, trauma prevention",
"Social Inclusion / Diversity",,
"Solid Waste Management",,
"Strengthening Livelihoods",,
"Structural Safety","building codes, building standards, building materials, construction, retrofitting",
"Transitional Shelter Construction ",,
"Urban Risk & Planning","urban planning, urban management",
"Vector Control",,
"Violence Prevention",,
"Volunteer and Staff Management",,
"Vulnerable Populations",,
"Water","drinking water, freshwater, irrigation, potable water, water and sanitation, water resource management",
"Water Supply",,
"Youth Development",,
